target,output,question
office,office,Where is Mary? 
kitchen,kitchen,Where is Sandra? 
bathroom,bathroom,Where is Daniel? 
bedroom,bedroom,Where is John? 
bedroom,bedroom,Where is John? 
bedroom,bedroom,Where is Daniel? 
garden,garden,Where is John? 
kitchen,kitchen,Where is Mary? 
hallway,hallway,Where is Sandra? 
kitchen,kitchen,Where is Mary? 
bathroom,bathroom,Where is Daniel? 
bathroom,bathroom,Where is Sandra? 
office,office,Where is John? 
kitchen,kitchen,Where is John? 
bedroom,bedroom,Where is Sandra? 
bedroom,bedroom,Where is John? 
kitchen,kitchen,Where is Daniel? 
hallway,hallway,Where is Daniel? 
bedroom,bedroom,Where is Mary? 
office,office,Where is Sandra? 
