from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,lr_scheduler,max_n_segments,num_mem_tokens,model_path,num_steps,exact_match,k2,freeze_model_weights
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,64,linear,1,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_qs_from_cpt_0-1/run_1,15000.0,0.9526143670082092,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,64,linear,1,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_from_cpt_0-1/run_1,15000.0,0.9444444179534912,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,64,linear,1,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_from_cpt_0-1/run_2,15000.0,0.9411764740943909,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,64,linear,1,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_from_cpt_0-1/run_3,15000.0,0.9542483687400818,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,2,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_qs_from_cpt_1-2/run_1,100.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,2,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_qs_from_cpt_1-2/run_1,10000.0,0.9399999976158142,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,4,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_qs_from_cpt_2-4/run_1,10000.0,0.7829999923706055,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,6,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_6x512_mem16_bs64_bptt--1_qs_from_cpt_4-6/run_1,10000.0,0.8519999980926514,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,8,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_qs_from_cpt_6-8/run_1,10000.0,0.8709999918937683,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,2,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_from_cpt_1-2/run_1,10000.0,0.8899999856948853,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,4,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_from_cpt_2-4/run_1,10000.0,0.8149999976158142,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,6,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_6x512_mem16_bs64_bptt--1_from_cpt_4-6/run_1,10000.0,0.7680000066757202,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,8,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_from_cpt_6-8/run_1,10000.0,0.7490000128746033,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,4,linear,16,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_from_cpt_8-16/run_1,10000.0,0.7279999852180481,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,linear,32,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_from_cpt_16-32/run_1,10000.0,0.6959999799728394,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,4,linear,16,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_qs_from_cpt_8-16/run_1,10000.0,0.8849999904632568,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,linear,32,16,/home/jovyan/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_qs_from_cpt_16-32/run_1,10000.0,0.859000027179718,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,1,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_qs_from_cpt_0-1_eval_mf50_from_dataset_qa1-10/run_1,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,1,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_from_cpt_0-1_eval_mf50_from_dataset_qa1-10/run_2,,0.9989989995956421,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,1,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_from_cpt_0-1_eval_mf50_from_dataset_qa1-10/run_3,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,2,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_cpt_2x512_eval_mf50_from_dataset_qa1-10/run_1,,0.9049049019813538,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,2,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_cpt_2x512_eval_mf50_from_dataset_qa1-10/run_1,,0.9049049019813538,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,2,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_cpt_2x512_eval_mf50_from_dataset_qa1-10/run_1,,0.9049049019813538,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,4,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_from_cpt_4x512_eval_mf50_from_dataset_qa1-10/run_1,,0.7447447180747986,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,4,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_from_cpt_4x512_eval_mf50_from_dataset_qa1-10/run_1,,0.7457457184791565,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,2,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_qs_from_cpt_2x512_eval_mf50_from_dataset_qa1-10/run_1,,0.9949949979782104,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,4,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_qs_from_cpt_4x512_eval_mf50_from_dataset_qa1-10/run_1,,0.7747747898101807,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,1,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa2_two-supporting-facts/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_qs_from_cpt_0-1_eval_mf50_from_dataset_qa1-10/run_1,,0.9284995198249817,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,1,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa2_two-supporting-facts/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_from_cpt_0-1_eval_mf50_from_dataset_qa1-10/run_2,,0.921450138092041,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,1,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa2_two-supporting-facts/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_from_cpt_0-1_eval_mf50_from_dataset_qa1-10/run_3,,0.9295065402984619,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,2,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa2_two-supporting-facts/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_cpt_2x512_eval_mf50_from_dataset_qa1-10/run_1,,0.8277945518493652,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,2,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa2_two-supporting-facts/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_cpt_2x512_eval_mf50_from_dataset_qa1-10/run_1,,0.8298086524009705,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,4,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa2_two-supporting-facts/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_from_cpt_4x512_eval_mf50_from_dataset_qa1-10/run_1,,0.635448157787323,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,4,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa2_two-supporting-facts/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_from_cpt_4x512_eval_mf50_from_dataset_qa1-10/run_1,,0.635448157787323,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,2,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa2_two-supporting-facts/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_qs_from_cpt_2x512_eval_mf50_from_dataset_qa1-10/run_1,,0.8529707789421082,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,4,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa2_two-supporting-facts/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_qs_from_cpt_4x512_eval_mf50_from_dataset_qa1-10/run_1,,0.6646525859832764,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,1,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa3_three-supporting-facts/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_qs_from_cpt_0-1_eval_mf50_from_dataset_qa1-10/run_1,,0.8769230842590332,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,1,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa3_three-supporting-facts/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_from_cpt_0-1_eval_mf50_from_dataset_qa1-10/run_2,,0.8666666746139526,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,1,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa3_three-supporting-facts/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_from_cpt_0-1_eval_mf50_from_dataset_qa1-10/run_3,,0.8717948794364929,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,2,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa3_three-supporting-facts/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_cpt_2x512_eval_mf50_from_dataset_qa1-10/run_1,,0.8427350521087646,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,2,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa3_three-supporting-facts/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_cpt_2x512_eval_mf50_from_dataset_qa1-10/run_1,,0.8444444537162781,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,4,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa3_three-supporting-facts/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_from_cpt_4x512_eval_mf50_from_dataset_qa1-10/run_1,,0.6700854897499084,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,64,linear,4,16,/home/jovyan/rmt/runs/babilong_multitask/cross_task/qa3_three-supporting-facts/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_from_cpt_4x512_eval_mf50_from_dataset_qa1-10/run_1,,0.668376088142395,-1,False
