,target,output,question
0,bedroom,,What is the bathroom east of?
1,bedroom,"well, the, the, the, the, the, the, the",What is west of the kitchen?
2,bathroom,,What is north of the garden?
3,bedroom,,What is south of the kitchen?
4,bedroom,"church, to the church, to the church, to, the, to",What is east of the kitchen?
5,garden,Answer: The bathroom is west of the hallway.,What is the bathroom west of?
6,kitchen,,What is east of the bedroom?
7,bathroom,Answer: The garden south of the bedroom is the garden of the,What is the garden south of?
8,kitchen,,What is south of the office?
9,office,"and they, and they",What is east of the hallway?
10,garden,,What is north of the office?
11,garden,,What is south of the kitchen?
12,bathroom,"Well, her, her, and, her, and, her, and",What is east of the kitchen?
13,garden,"the, ands, the, the, the, the, the,",What is west of the kitchen?
14,garden,"she't'er way to
she'er'er'er",What is north of the bedroom?
15,garden,Answer: The garden is east of the hallway.,What is east of the hallway?
16,hallway,,What is east of the office?
17,office,,What is south of the bathroom?
18,garden,,What is the bedroom north of?
19,garden,,What is the kitchen west of?
20,garden,,What is the office east of?
21,garden,,What is the bathroom south of?
22,bathroom,Answer: The bathroom is north of the bedroom.,What is north of the bedroom?
23,bathroom,"Answer: The kitchen.

Question: What is the difference between",What is the bedroom south of?
24,hallway,Answer: The office.,What is the bedroom west of?
25,office,"ine in the
ine, with the",What is east of the bathroom?
26,office,so,What is north of the bedroom?
27,hallway,"west, the most of the most of the most of the west, most",What is west of the bathroom?
28,garden,"he. ""Yes, the
""Yes, the
""Yes,",What is the bathroom north of?
29,garden,"was, and the, and the, and, and, and, and",What is north of the office?
30,bedroom,,What is east of the kitchen?
31,kitchen,Answer: The bathroom east of the kitchen is the one that is,What is the bathroom east of?
32,bathroom,"he, and he, and he, and he, and he, and",What is north of the garden?
33,kitchen,"the, and, and, and, and, and, and, and",What is the bedroom west of?
34,bedroom,,What is the kitchen south of?
35,garden,,What is the bathroom east of?
36,office,"```sufragious,",What is south of the hallway?
37,bedroom,"s, the,y, the, which,y, the, which",What is north of the bathroom?
38,bedroom,"""man's, to the
""",What is the bathroom east of?
39,office,well-well-well-well-well-well-well-well,What is north of the bedroom?
40,bathroom,,What is south of the kitchen?
41,bedroom,,What is west of the office?
42,kitchen,"he, and she was, and she had, and she was, she",What is the garden south of?
43,garden,"of the, and, and, and, and, and, and,",What is south of the bedroom?
44,garden,"her, her, her, her, her, her, the, her",What is the office south of?
45,hallway,,What is the office east of?
46,garden,"m, the, the, the, the, the, the, the",What is south of the office?
47,garden,"her, her, her, and so, her, her, and so",What is west of the bedroom?
48,garden,,What is east of the hallway?
49,garden,"the, the, the, the, the, the, the, the",What is the office south of?
50,bedroom,,What is the hallway north of?
51,garden,"oh, the
oh, the
oh, the
oh, and",What is north of the bathroom?
52,hallway,"the
the


""Well, the
well, the",What is the bedroom north of?
53,bathroom,,What is east of the garden?
54,bathroom,,What is west of the bedroom?
55,garden,Answer: The east of the hallway is the bedroom.,What is east of the hallway?
56,hallway,,What is the bedroom east of?
57,kitchen,"well, the ill, and in thewis, in thewit",What is west of the hallway?
58,hallway,,What is south of the bedroom?
59,kitchen,"she, she, she, ""she, she, ""she, she",What is the garden north of?
