Unnamed: 0,target,output,question
0,football,"Answer: The football.

Question: What did Geert do to the quartermaster?

Answer:",What did Fred give to Jeff? 
1,Fred,"Answer: Fred

Question: What did the girl say to Brice?

Answer: ""But the",Who gave the football to Jeff? 
2,football,"Answer: The football.

Question: What did Fred do to Jeff?

Answer: He handed the",What did Fred give to Jeff? 
3,Jeff,"Answer: Jeff.

Question: What did Fred do with the ring?

Answer: He slipped a",Who did Fred give the football to? 
4,Fred,"Answer: Fred.

Question: What is the difference between a man and a woman?

Answer:",Who did Jeff give the football to? 
5,Jeff,"Answer: The apple was given by the lady who was the subject of the
conundrum.

Question",Who gave the apple? 
6,Bill,"Answer: The apple was handed to Bill.

Question: What is the difference between a man who has had",Who received the apple? 
7,apple,"Answer: The apple

Question: What did Fred give to Bill?

Answer: The apple",What did Bill give to Fred? 
8,apple,"Answer: The apple.

Question: What did Fred give to Bill?

Answer: The apple.",What did Bill give to Fred? 
9,Fred,"Answer: Bill.







End of the Project Gutenberg EBook of The",Who received the apple? 
10,Mary,"Answer: The milk was received by Mary.

Question: Who received the milk?

Answer: The",Who received the milk? 
11,milk,"Context: He evidently thinks that
the United States of America are quite worth while. 1871",What did Mary give to Bill? 
12,Bill,"Answer: Mary

Question: Who gave the milk to Mary?

Answer: Bill

Question:",Who received the milk? 
13,Bill,,Who did Mary give the milk to? 
14,milk,"Answer: The milk.

Question: What did Bill give to Mary?

Answer: The milk.",What did Mary give to Bill? 
15,Jeff,"Answer: Fred

Question: What did Zoie do when she heard the crash of breaking glass?",Who received the football? 
16,Fred,"Answer: Fred

Question: What did Alfred do when he found out that he had three babies?",Who gave the football to Jeff? 
17,football,"""But it is not,"" he went on, ""and that is a point gained. Now,"" he
contin",What did Fred give to Jeff? 
18,Jeff,Answer: Fred,Who received the football? 
19,Mary,"Answer: Mary.

Question: Who gave the apple?

Answer: Bill.

Question:",Who gave the milk? 
20,milk,"Answer: The milk.

Question: What did Jeff give to Mary?

Answer: The milk.",What did Jeff give to Mary? 
