,target,output,result,question
0,bedroom, hallway,0.0,What is the bathroom east of?
1,bedroom, hallway,0.0,What is west of the kitchen?
2,bathroom, bathroom,1.0,What is north of the garden?
3,bedroom, bedroom,1.0,What is south of the kitchen?
4,bedroom,212,0.0,What is east of the kitchen?
5,garden, garden,1.0,What is the bathroom west of?
6,kitchen, kitchen,1.0,What is east of the bedroom?
7,bathroom, bedroom,0.0,What is the garden south of?
8,kitchen,1,0.0,What is south of the office?
9,office, office,1.0,What is east of the hallway?
10,garden, garden,1.0,What is north of the office?
11,garden,1,0.0,What is south of the kitchen?
12,bathroom, bathroom,1.0,What is east of the kitchen?
13,garden, bedroom,0.0,What is west of the kitchen?
14,garden, office,0.0,What is north of the bedroom?
15,garden,1,0.0,What is east of the hallway?
16,hallway,,0.0,What is east of the office?
17,office, kitchen,0.0,What is south of the bathroom?
18,garden,1,0.0,What is the bedroom north of?
19,garden, The garden,1.0,What is the kitchen west of?
20,garden,1,0.0,What is the office east of?
21,garden, kitchen,0.0,What is the bathroom south of?
22,bathroom,33,0.0,What is north of the bedroom?
23,bathroom,1,0.0,What is the bedroom south of?
24,hallway, office,0.0,What is the bedroom west of?
25,office, office,1.0,What is east of the bathroom?
26,office,1,0.0,What is north of the bedroom?
27,hallway, hallway,1.0,What is west of the bathroom?
28,garden, office,0.0,What is the bathroom north of?
29,garden, The garden,1.0,What is north of the office?
30,bedroom,1,0.0,What is east of the kitchen?
31,kitchen, hallway,0.0,What is the bathroom east of?
32,bathroom, bathroom,1.0,What is north of the garden?
33,kitchen,1,0.0,What is the bedroom west of?
34,bedroom, bedroom,1.0,What is the kitchen south of?
35,garden,,0.0,What is the bathroom east of?
36,office, office,1.0,What is south of the hallway?
37,bedroom, bedroom,1.0,What is north of the bathroom?
38,bedroom, office,0.0,What is the bathroom east of?
39,office, office,1.0,What is north of the bedroom?
40,bathroom,1,0.0,What is south of the kitchen?
41,bedroom,"60 State St., Chicago.",0.0,What is west of the office?
42,kitchen,1,0.0,What is the garden south of?
43,garden,1,0.0,What is south of the bedroom?
44,garden, The hallway,0.0,What is the office south of?
45,hallway, bedroom,0.0,What is the office east of?
46,garden, garden,1.0,What is south of the office?
47,garden, The garden is west of the bedroom.,1.0,What is west of the bedroom?
48,garden, garden,1.0,What is east of the hallway?
49,garden,1,0.0,What is the office south of?
50,bedroom, the garden,0.0,What is the hallway north of?
51,garden, office,0.0,What is north of the bathroom?
52,hallway, kitchen,0.0,What is the bedroom north of?
53,bathroom, bathroom,1.0,What is east of the garden?
54,bathroom,1,0.0,What is west of the bedroom?
55,garden,,0.0,What is east of the hallway?
56,hallway,1,0.0,What is the bedroom east of?
57,kitchen,1,0.0,What is west of the hallway?
58,hallway, hallway,1.0,What is south of the bedroom?
59,kitchen, bedroom,0.0,What is the garden north of?
60,hallway, kitchen,0.0,What is the bedroom north of?
61,bedroom, bedroom,1.0,What is south of the hallway?
62,kitchen,,0.0,What is the hallway north of?
63,hallway,1,0.0,What is west of the bedroom?
64,bedroom, bedroom,1.0,What is east of the garden?
65,office,1,0.0,What is the bedroom north of?
66,bathroom, hallway,0.0,What is the bedroom north of?
67,office, bedroom,0.0,What is the garden south of?
68,kitchen, garden,0.0,What is the bathroom west of?
69,garden, the garden,1.0,What is the hallway east of?
70,bathroom,1,0.0,What is south of the bedroom?
71,kitchen,1,0.0,What is the garden south of?
72,garden,1,0.0,What is the bedroom south of?
73,bathroom, bathroom,1.0,What is north of the office?
74,bathroom, office,0.0,What is the hallway north of?
75,bedroom, bedroom,1.0,What is south of the hallway?
76,bedroom, bathroom,0.0,What is the hallway east of?
77,bathroom, bathroom,1.0,What is north of the office?
78,kitchen,1,0.0,What is east of the garden?
79,hallway, office,0.0,What is the kitchen south of?
80,garden, The garden,1.0,What is west of the office?
81,office, kitchen,0.0,What is the bedroom west of?
82,kitchen,1,0.0,What is the hallway south of?
83,garden,"16: Demarquay, _Dict.",0.0,What is the office west of?
84,bathroom, bathroom,1.0,What is north of the hallway?
85,office, office,1.0,What is west of the garden?
86,office, The office,1.0,What is west of the garden?
87,garden, The garden,1.0,What is east of the bathroom?
88,bathroom, bathroom,1.0,What is north of the office?
89,kitchen, kitchen,1.0,What is the bedroom west of?
90,office,238,0.0,What is the bathroom south of?
91,office,1012,0.0,What is east of the bedroom?
92,bedroom, hallway,0.0,What is south of the office?
93,bathroom, bedroom,0.0,What is the garden west of?
94,garden, The hallway,0.0,What is the bedroom west of?
95,hallway,1.93,0.0,What is north of the garden?
96,bedroom,1,0.0,What is the kitchen west of?
97,kitchen, office,0.0,What is west of the bedroom?
98,bathroom, bedroom,0.0,What is the kitchen north of?
99,garden, south,0.0,What is the office north of?
100,bedroom, bedroom,1.0,What is east of the hallway?
101,kitchen, kitchen,1.0,What is south of the hallway?
102,bedroom, bathroom,0.0,What is the office west of?
103,bathroom,1,0.0,What is the kitchen north of?
104,hallway, garden,0.0,What is west of the bedroom?
105,bedroom,1,0.0,What is west of the kitchen?
106,office,1,0.0,What is the kitchen south of?
107,bathroom, bedroom,0.0,What is west of the garden?
108,bedroom, bedroom,1.0,What is the bathroom south of?
109,bathroom, bedroom,0.0,What is the kitchen west of?
110,garden,1,0.0,What is the hallway west of?
111,hallway,1,0.0,What is the kitchen south of?
112,office, office,1.0,What is south of the bathroom?
113,hallway, hallway,1.0,What is the office west of?
114,bedroom,1,0.0,What is the kitchen north of?
115,office, bedroom,0.0,What is the garden east of?
116,bedroom,35th,0.0,What is the hallway south of?
117,bedroom, bedroom,1.0,What is the garden west of?
118,hallway, hallway,1.0,What is north of the office?
119,office, office,1.0,What is west of the hallway?
120,bedroom, bedroom,1.0,What is the bathroom north of?
121,kitchen,"181 Pearl St., N.",0.0,What is the hallway north of?
122,office, office,1.0,What is east of the bathroom?
123,bathroom,1,0.0,What is north of the hallway?
124,bathroom, hallway,0.0,What is the bedroom north of?
125,kitchen, office,0.0,What is west of the garden?
126,bathroom,1,0.0,What is north of the kitchen?
127,hallway,1,0.0,What is the bedroom east of?
128,garden, kitchen,0.0,What is the bedroom south of?
129,hallway, hallway,1.0,What is east of the bathroom?
130,garden,1,0.0,What is the bedroom east of?
131,kitchen,1,0.0,What is south of the bathroom?
132,kitchen, kitchen,1.0,What is east of the garden?
133,bathroom, office,0.0,What is the hallway east of?
134,office, bedroom,0.0,What is the hallway east of?
135,kitchen,1,0.0,What is the garden east of?
136,bathroom, kitchen,0.0,What is the bedroom south of?
137,hallway,1,0.0,What is the garden east of?
138,kitchen, the garden,0.0,What is south of the hallway?
139,hallway, hallway,1.0,What is west of the kitchen?
140,kitchen, kitchen,1.0,What is north of the garden?
141,office, office,1.0,What is the kitchen west of?
