,target,output,question
0,football,"the first to the
the
the
the
the 
the first on the
 Carl on the
the first on",What did Fred give to Jeff? 
1,Fred,"You. He got the little to the little to the
his
his
the
his
he
the time the",Who gave the football to Jeff? 
2,football,"--the <the
     the
     the
     the
     the
     the
     the
     the",What did Fred give to Jeff? 
3,Jeff,"Mary's horse-much a part the  The horse, the same the ""the horse to the ""the ""the """,Who did Fred give the football to? 
4,Fred,Jeff the football on the the last to form the  the footballs to the  the football to the  the  the,Who did Jeff give the football to? 
5,Jeff,I'ms the first time the same gins the same g the same g the same the same the milk to the same,Who gave the apple? 
6,Bill,the milk and the same way the man in the same to the same to the tide the same it the... I have the,Who received the apple? 
7,apple,"Mary, the milk on the

 Mary's the milk on the almost on the same the

 Mary
 the

 Mary,",What did Bill give to Fred? 
8,apple,"On the  the same and the same, 
the 
 The

 The  the 
 

 Mary, and the 
 the",What did Bill give to Fred? 
9,Fred,way in the milk to the people in the people in the milk have been have a  the milk in the milk in the,Who received the apple? 
10,Mary,"J.M. He was not the
     J. The present the 10 time in a time and the   the",Who received the milk? 
11,milk,"to the 
 
 
 
 
 
 
 Mary to the apple 
 
 
 
 
 Jeff the 
 
 
 the apple",What did Mary give to Bill? 
12,Bill,"""the ""the ""m ""the ""the ""the ""m ""the
the
the
the ""m """,Who received the milk? 
13,Bill,"the same the same the guard the same the"" the man in a ghon the same the day on the man on the",Who did Mary give the milk to? 
14,milk,"On the ""on Hart on the on the on the on the on the on the on the on the on the on the",What did Mary give to Bill? 
15,Jeff,"the ""C scout the 
 Mary's the 
 the milk the 
 the  the first  the  Mary  Mary to",Who received the football? 
16,Fred,"The
 Mary a
the
the
 the
 the
 the   the   the she the one the
 the one",Who gave the football to Jeff? 
17,football,"You a little, the ""his to the same to the same to the little to the same to the same to the next",What did Fred give to Jeff? 
18,Jeff,"the lead the about the leading the pea the pea the milk about the about the the 77 about the the the 
the",Who received the football? 
19,Mary,"the man on the man to the first time the man the man on the man the man on the pirate the 
the",Who gave the milk? 
20,milk,"the same the 
the 
the 
the 1 the 1 the 
the to the 1 the 1 the",What did Jeff give to Mary? 
