,target,output,question
0,no,no,Is Sandra in the bedroom? 
1,yes,yes,Is Sandra in the bedroom? 
2,no,no,Is Sandra in the bedroom? 
3,no,no,Is Mary in the bathroom? 
4,no,no,Is Mary in the kitchen? 
5,no,no,Is Mary in the office? 
6,no,no,Is Daniel in the kitchen? 
7,yes,yes,Is John in the garden? 
8,yes,yes,Is John in the garden? 
9,yes,yes,Is Daniel in the bathroom? 
10,no,no,Is John in the bathroom? 
11,yes,yes,Is Sandra in the hallway? 
12,no,no,Is Mary in the garden? 
13,no,no,Is Sandra in the hallway? 
14,yes,yes,Is Mary in the kitchen? 
15,no,no,Is John in the bathroom? 
16,no,no,Is Sandra in the hallway? 
17,yes,yes,Is John in the garden? 
18,no,no,Is John in the kitchen? 
19,no,no,Is Sandra in the kitchen? 
20,no,no,Is John in the garden? 
21,yes,yes,Is Mary in the hallway? 
22,yes,yes,Is Daniel in the hallway? 
23,no,no,Is Sandra in the hallway? 
24,yes,yes,Is Mary in the kitchen? 
25,no,yes,Is John in the hallway? 
26,no,no,Is John in the office? 
27,no,no,Is John in the office? 
28,no,no,Is Sandra in the garden? 
29,no,no,Is Daniel in the office? 
30,no,no,Is John in the office? 
31,no,no,Is Sandra in the bathroom? 
32,no,no,Is Sandra in the hallway? 
33,yes,yes,Is Daniel in the kitchen? 
34,no,no,Is John in the bathroom? 
35,yes,yes,Is Mary in the bathroom? 
36,no,no,Is Daniel in the hallway? 
37,no,no,Is Daniel in the hallway? 
38,yes,yes,Is Sandra in the kitchen? 
39,yes,yes,Is Daniel in the office? 
40,yes,yes,Is Mary in the garden? 
41,no,no,Is John in the kitchen? 
42,yes,yes,Is Mary in the bedroom? 
43,no,no,Is John in the garden? 
44,yes,yes,Is John in the kitchen? 
45,no,no,Is John in the bathroom? 
46,no,no,Is John in the bathroom? 
47,no,no,Is Daniel in the bathroom? 
48,yes,yes,Is John in the office? 
49,no,no,Is John in the bathroom? 
50,yes,yes,Is Sandra in the bathroom? 
51,no,no,Is Sandra in the bathroom? 
52,yes,yes,Is Mary in the hallway? 
53,yes,yes,Is Sandra in the kitchen? 
54,yes,yes,Is Sandra in the kitchen? 
55,no,no,Is Mary in the bedroom? 
56,no,no,Is John in the hallway? 
57,no,no,Is John in the hallway? 
58,no,no,Is Mary in the bathroom? 
59,no,no,Is Mary in the garden? 
60,no,no,Is Sandra in the office? 
61,yes,yes,Is Mary in the bathroom? 
62,no,no,Is Sandra in the office? 
63,no,no,Is Mary in the bathroom? 
64,no,no,Is John in the office? 
65,no,no,Is John in the garden? 
66,no,no,Is Mary in the bedroom? 
67,yes,yes,Is Mary in the bathroom? 
68,no,no,Is Mary in the office? 
69,yes,yes,Is Sandra in the bathroom? 
70,no,no,Is Sandra in the hallway? 
71,no,no,Is Sandra in the kitchen? 
72,no,no,Is Sandra in the kitchen? 
73,yes,yes,Is John in the kitchen? 
