,target,output,result,question
0,office," Before the bathroom, the apple was in John's hand.",0.0,Where was the apple before the bathroom? 
1,office," Before the hallway, the apple was in the kitchen.",0.0,Where was the apple before the hallway? 
2,office," Before the hallway, the apple was in the kitchen.",0.0,Where was the apple before the hallway? 
3,bathroom, The football was in the garden before the garden.,0.0,Where was the football before the garden? 
4,bathroom, The football was in the garden before the garden.,0.0,Where was the football before the garden? 
5,garden," Before the bathroom, the apple was with Sandra.",0.0,Where was the apple before the bathroom? 
6,kitchen, The milk was in the office.,0.0,Where was the milk before the office? 
7,kitchen," Before the office, the apple was in the orchard.",0.0,Where was the apple before the office? 
8,kitchen," Before the office, the apple was in the orchard.",0.0,Where was the apple before the office? 
9,garden, The apple was in the bedroom before Daniel discarded it.,0.0,Where was the apple before the bedroom? 
10,garden, Daniel got the apple.,0.0,Where was the apple before the bedroom? 
11,garden," Before the bathroom, the milk was in the kitchen.",0.0,Where was the milk before the bathroom? 
12,garden," Before the bathroom, the milk was in the kitchen.",0.0,Where was the milk before the bathroom? 
13,garden," Before the bathroom, the milk was in the kitchen.",0.0,Where was the milk before the bathroom? 
14,kitchen," Before the garden, the football was in the house.",0.0,Where was the football before the garden? 
15,kitchen," Before the garden, the football was in the house.",0.0,Where was the football before the garden? 
16,garden, The milk was in the kitchen before it was taken to the bedroom.,0.0,Where was the milk before the bedroom? 
17,garden, The milk was in the kitchen.,0.0,Where was the milk before the bedroom? 
18,bedroom," Before the bathroom, the football was at the football field.",0.0,Where was the football before the bathroom? 
19,garden," Before Mary went to the hallway, the football was in the living room.",0.0,Where was the football before the hallway? 
20,garden, The football was in the office before Sandra took it.,0.0,Where was the football before the office? 
21,hallway," Before the garden, the football was in John's possession.",0.0,Where was the football before the garden? 
22,office, The milk was in the kitchen before it was picked up by Sandra.,0.0,Where was the milk before the kitchen? 
23,kitchen, The milk was at the store before the bedroom.,0.0,Where was the milk before the bedroom? 
24,bathroom," Before the bedroom, the football was with Sandra.",0.0,Where was the football before the bedroom? 
25,office, The football was in the bedroom before it was dropped.,0.0,Where was the football before the bedroom? 
26,garden, The football was in the office before it was dropped by Sandra.,0.0,Where was the football before the office? 
27,garden, The football was in the office before it was dropped by Sandra.,0.0,Where was the football before the office? 
28,garden, The apple was in the office before the office.,0.0,Where was the apple before the office? 
29,bathroom," Before the hallway, the apple was in the kitchen.",0.0,Where was the apple before the hallway? 
30,office, The apple was in the kitchen.,0.0,Where was the apple before the kitchen? 
