,target,output,result,question
0,hallway, The milk is in the fridge.,0.0,Where is the milk? 
1,bathroom, The milk is in the kitchen.,0.0,Where is the milk? 
2,bedroom, The milk is in the basement.,0.0,Where is the milk? 
3,bathroom, The apple is in the ground.,0.0,Where is the apple? 
4,office, The football is in Howkins.,0.0,Where is the football? 
5,office, The apple is in the tree.,0.0,Where is the apple? 
6,garden, The football is in the field.,0.0,Where is the football? 
7,office, The apple is in the tree.,0.0,Where is the apple? 
8,office, The football is in the field.,0.0,Where is the football? 
9,garden, The football is in Howkins.,0.0,Where is the football? 
10,bedroom, The football is in John's chest.,0.0,Where is the football? 
11,kitchen, The milk is in the kitchen.,1.0,Where is the milk? 
12,office," The football is in the Howkins, W., Hillmorton Grounds, Rugby.",0.0,Where is the football? 
13,bathroom, The milk is in the fridge.,0.0,Where is the milk? 
14,bedroom, The apple is in the tree.,0.0,Where is the apple? 
15,bathroom, The apple is in the tree.,0.0,Where is the apple? 
16,garden," The football is in Howkins, W., Hillmorton Grounds, Rugby.",0.0,Where is the football? 
17,kitchen, The milk is in the fridge.,0.0,Where is the milk? 
18,bedroom, The football is in the stadium.,0.0,Where is the football? 
19,office, The milk is in the fridge.,0.0,Where is the milk? 
20,bedroom, The apple is in the tree.,0.0,Where is the apple? 
21,bedroom, The football is in his chest.,0.0,Where is the football? 
22,bathroom, The milk is in the fridge.,0.0,Where is the milk? 
23,kitchen, The football is in the field.,0.0,Where is the football? 
24,office, The milk is in the fridge.,0.0,Where is the milk? 
25,kitchen, The milk is in the fridge.,0.0,Where is the milk? 
26,garden, The milk is in the kitchen.,0.0,Where is the milk? 
27,kitchen, The football is in the world.,0.0,Where is the football? 
28,kitchen," The football is in Howkins, W., Hillmorton Grounds, Rugby.",0.0,Where is the football? 
29,kitchen, The milk is in the fridge.,0.0,Where is the milk? 
30,kitchen, The football is in the Hillmorton Grounds.,0.0,Where is the football? 
31,bedroom, The football is in the there.,0.0,Where is the football? 
32,bathroom, The apple is in the ground.,0.0,Where is the apple? 
33,bathroom, The football is in the Hillmorton Grounds.,0.0,Where is the football? 
34,office, The football is in Mary's chest.,0.0,Where is the football? 
35,bedroom, The milk is in the fridge.,0.0,Where is the milk? 
36,bathroom, The football is in the field.,0.0,Where is the football? 
37,office, The milk is in the fridge.,0.0,Where is the milk? 
38,hallway, The football is in the field.,0.0,Where is the football? 
39,garden, The apple is in the vicinity.,0.0,Where is the apple? 
40,bedroom, The football is in Barrow Hall.,0.0,Where is the football? 
41,kitchen, The football is in Barrow Hall.,0.0,Where is the football? 
42,office, The apple is in the tree.,0.0,Where is the apple? 
43,bathroom, The milk is in the fridge.,0.0,Where is the milk? 
44,office, The milk is in the kitchen.,0.0,Where is the milk? 
45,bathroom, The football is in the world.,0.0,Where is the football? 
46,kitchen, The football is in Hillmorton Grounds.,0.0,Where is the football? 
47,bathroom, The football is in the world.,0.0,Where is the football? 
48,kitchen, The football is in the chest.,0.0,Where is the football? 
49,bathroom, The football is in Barrow Hall.,0.0,Where is the football? 
50,hallway, The football is in the field.,0.0,Where is the football? 
51,hallway, The football is in the backyard.,0.0,Where is the football? 
