,target,output,question
0,kitchen,The football was in the office.,Where was the football before the garden? 
1,bathroom,The apple was in the bathroom before the kitchen.,Where was the apple before the kitchen? 
2,kitchen,The apple was in the kitchen before the garden.,Where was the apple before the garden? 
3,garden,The apple was in the bathroom before the bedroom.,Where was the apple before the bedroom? 
4,kitchen,The football was in the bedroom before the bathroom.,Where was the football before the bathroom? 
5,office,The football was in the garden before the hallway.,Where was the football before the hallway? 
6,garden,Answer: The apple was in the kitchen before the bathroom.,Where was the apple before the bathroom? 
7,office,The milk was in the kitchen before the bathroom.,Where was the milk before the bathroom? 
8,hallway,The apple was in the bedroom before the bathroom.,Where was the apple before the bathroom? 
9,kitchen,The milk was in the kitchen before the garden.,Where was the milk before the garden? 
10,kitchen,The milk was in the kitchen before the bedroom.,Where was the milk before the bedroom? 
11,garden,The football was in the garden.,Where was the football before the hallway? 
12,hallway,The milk was in the garden.,Where was the milk before the kitchen? 
13,bedroom,The apple was in the bedroom before the bathroom.,Where was the apple before the bathroom? 
14,bedroom,The apple was in the kitchen before the bathroom.,Where was the apple before the bathroom? 
15,kitchen,The milk was in the kitchen before the office.,Where was the milk before the office? 
16,bedroom,The milk was in the bedroom before the kitchen.,Where was the milk before the kitchen? 
17,bathroom,The football was in the bedroom before the kitchen.,Where was the football before the kitchen? 
18,garden,The milk was in the kitchen before the office.,Where was the milk before the office? 
19,bathroom,The football was in the hallway before the bedroom.,Where was the football before the bedroom? 
20,kitchen,The milk was in the office.,Where was the milk before the office? 
21,kitchen,Answer: The apple was in the office before the garden.,Where was the apple before the garden? 
22,bedroom,The milk was in the kitchen before the office.,Where was the milk before the office? 
23,hallway,The apple was in the kitchen before the bedroom.,Where was the apple before the bedroom? 
24,bedroom,Answer: The apple was in the garden before the kitchen.,Where was the apple before the kitchen? 
25,bathroom,The apple was in the kitchen before the hallway.,Where was the apple before the hallway? 
26,bathroom,The milk was in the kitchen before the office.,Where was the milk before the office? 
27,office,The football was in the hallway before the bedroom.,Where was the football before the bedroom? 
28,bedroom,The football was in the bedroom.,Where was the football before the hallway? 
29,kitchen,The apple was in the kitchen before the bedroom.,Where was the apple before the bedroom? 
30,hallway,The football was in the bedroom before the bathroom.,Where was the football before the bathroom? 
31,kitchen,The milk was in the kitchen.,Where was the milk before the garden? 
32,office,Answer: The milk was in the kitchen.,Where was the milk before the garden? 
33,bedroom,The milk was in the kitchen before the garden.,Where was the milk before the garden? 
