Unnamed: 0,target,output,question
0,bedroom,"Answer: The hallway

The governor's proclamation of June 15 had been ignored. The",What is the bathroom east of?
1,kitchen,"Answer: The kitchen is south of the office.

Question: What is west of the bedroom?
Answer",What is south of the office?
2,garden,"Answer: The hallway

Question: What is west of the bedroom?
Answer: The garden",What is north of the office?
3,garden,"Answer: The bedroom is north of the kitchen.

Question: What is the kitchen south of?
Answer",What is the bedroom north of?
4,garden,"Answer: kitchen

Question: What is the garden north of?

Answer: bathroom

Question",What is the bathroom south of?
5,office,"Answer: The dining-room

Question: What is west of the bedroom?

Answer:",What is north of the bedroom?
6,bathroom,"Answer: The hallway

Question: What is west of the kitchen?
Answer: The bedroom",What is north of the garden?
7,bedroom,"Answer: The bathroom is west of the office.




THE MANUFACTURE",What is west of the office?
8,kitchen,"Answer: kitchen

Question: What is the bedroom north of?
Answer: kitchen

Question: What",What is the garden south of?
9,bathroom,"Answer: The hallway is north of the kitchen.

Question: What is the bedroom north of?",What is the hallway north of?
10,bedroom,"Answer: The bedroom is south of the hallway.

Question: What is west of the bedroom?",What is south of the hallway?
11,office,"Answer: The office is east of the bedroom.

Question: What is west of the bedroom?",What is east of the bedroom?
12,hallway,"Answer: The garden is north of the kitchen.

Question: What is the essence of the Sacr",What is north of the garden?
13,bedroom,"Answer: The garden is west of the kitchen.

Question: What is the name of the boy who was",What is the garden west of?
14,hallway,"Answer: The hallway is east of the bathroom.

Question: What is west of the bathroom?",What is east of the bathroom?
15,bathroom,"Answer: The office is west of the hall.

Question: What is the garden west of?",What is the office west of?
16,bathroom,"Answer: The kitchen.

Question: What is the name of the man who is the boss of the",What is west of the bedroom?
17,kitchen,"Answer: The bedroom is north of the hallway.

Question: What is west of the bedroom?",What is north of the hallway?
18,bathroom,"Answer: The garden is south of the kitchen.

Question: What is west of the garden?
Answer:",What is south of the kitchen?
19,office,"Answer: The hallway

Question: What is west of the bedroom?
Answer: The hallway",What is south of the bedroom?
20,bedroom,"Answer: bedroom


The hallway is south of the kitchen. The bedroom is north of the",What is west of the hallway?
21,office,"Answer: The office is east of the bedroom.

Question: What is west of the kitchen?
Answer",What is east of the bedroom?
22,bedroom,"Answer: kitchen

Question: What is the bedroom north of?
Answer: hallway

Question:",What is the hallway south of?
23,kitchen,"Answer: The kitchen is west of the bedroom.

Question: What is the kitchen south of?
Answer",What is west of the bedroom?
24,bedroom,Answer: The bedroom is south of the bathroom.,What is south of the bathroom?
25,hallway,"Answer: hallway

Question: What is east of the bathroom?

Answer: bedroom",What is west of the bathroom?
26,office,"Answer: The kitchen.

Question: What is west of the bedroom?
Answer: The garden.",What is south of the hallway?
27,bedroom,"Answer: The bedroom is east of the office.

Question: What is the name of the man who",What is east of the office?
28,garden,"Answer: The office is west of the bathroom.

Question: What is west of the garden?
Answer",What is west of the bathroom?
29,kitchen,Answer: The garden is north of the kitchen.,What is the garden north of?
30,office,"Answer: The office is east of the garden.

Question: What is west of the bedroom?",What is east of the garden?
31,bathroom,"Answer: bathroom


    1. Wapawkaneta, or the Rangers of the Oneida",What is south of the hallway?
32,garden,"Answer: The garden is east of the office.

Question: What is the difference between a school-m",What is east of the office?
33,bedroom,"Answer: The kitchen.

Question: What is west of the bedroom?
Answer: The hallway.",What is south of the hallway?
34,garden,"Answer: The hallway is east of the kitchen.

Question: What is the garden west of?",What is the hallway east of?
35,kitchen,"Answer: The kitchen is south of the hallway.

Question: What is west of the bedroom?",What is south of the hallway?
36,bathroom,"Answer: The kitchen is west of the hallway.

Question: What is the bedroom north of?",What is the kitchen west of?
37,kitchen,Answer: The bathroom is west of the kitchen.,What is the bathroom west of?
38,bathroom,"Answer: The garden is south of the kitchen.

Question: What is the name of the house where Grant",What is the garden south of?
39,bedroom,"Answer: The garden is south of the hallway.

Question: What is the bedroom north of?",What is the garden south of?
40,bedroom,"Answer: The kitchen is west of the bathroom.

Question: What is the name of the second son",What is west of the bathroom?
41,garden,"Answer: The garden is west of the office.

Question: What is east of the office?
Answer:",What is west of the office?
42,bathroom,"Answer: office

Question: What is east of the hallway?
Answer: John's office",What is west of the hallway?
43,hallway,"Answer: hallway

Question: What is west of the bedroom?
Answer: garden

Question:",What is north of the kitchen?
44,bathroom,"Answer: The hallway is north of the kitchen.

Question: What is the bedroom south of?",What is the hallway north of?
45,office,"Answer: The bedroom is south of the kitchen.

Question: What is the hallway north of?",What is the bedroom south of?
46,kitchen,"Answer: The kitchen

Question: What is the main purpose of the roof in central Europe?
Answer: To",What is west of the office?
47,bedroom,Answer: The bedroom is south of the office.,What is south of the office?
48,office,"Answer: The kitchen is east of the office.

Question: What is the office west of?",What is the kitchen east of?
49,hallway,"Answer: The hallway is south of the bathroom.


The hallway is south of the bathroom",What is south of the bathroom?
50,hallway,"Answer: The hallway.



CHAPTER XXVII. The following day, Dagobert",What is east of the bathroom?
51,bathroom,Answer: kitchen,What is the office south of?
52,office,"Answer: The hallway is east of the kitchen.

Question: What is west of the bedroom?",What is the hallway east of?
53,kitchen,"Answer: The bedroom is south of the hallway.


    ""The hallway is south of",What is the bedroom south of?
54,kitchen,"Answer: The hallway is west of the kitchen.

Question: What is the bedroom north of?",What is the hallway west of?
55,bathroom,"Answer: The bedroom is east of the bathroom.

Question: What is the garden west of?",What is the bedroom east of?
56,bedroom,"Answer: The kitchen is south of the bedroom.

Question: What is the bedroom north of?",What is the kitchen south of?
57,office,Answer: The kitchen is west of the bedroom.,What is the kitchen west of?
58,kitchen,"Answer: kitchen

Question: What is the bedroom north of?
Answer: kitchen

Question: What",What is the hallway south of?
59,office,"Answer: The bedroom is east of the kitchen.

Question: What is west of the bedroom?",What is the bedroom east of?
60,bathroom,Answer: hallway,What is east of the kitchen?
61,kitchen,"Answer: hallway

Question: What is the kitchen north of?
Answer: bathroom

Question:",What is the bathroom south of?
62,bedroom,Answer: The kitchen is north of the bedroom.,What is the kitchen north of?
63,kitchen,"Answer: The garden is east of the kitchen.




CHAPTER XI

THE MO",What is the garden east of?
64,kitchen,Answer: The kitchen is south of the hallway.,What is south of the hallway?
65,kitchen,Answer: The kitchen.,What is the garden east of?
66,hallway,"Answer: The garden is north of the bedroom.

Question: What is west of the bedroom?",What is north of the garden?
67,garden,"Answer: The bedroom is south of the bathroom.

Question: What is the garden west of?",What is the bedroom south of?
68,garden,"Answer: The hallway is south of the kitchen.

Question: What is west of the bedroom?",What is the hallway south of?
69,office,"Answer: hallway

Question: What is the best way to carry a roof with sand or gravel?",What is west of the kitchen?
70,bedroom,"Answer: The garden is east of the office.

Question: What is west of the office?",What is east of the office?
71,hallway,"Answer: The hallway is south of the kitchen.

Question: What is west of the bedroom?",What is south of the kitchen?
72,bedroom,"Answer: The bedroom is east of the garden.

Question: What is the bedroom's location",What is east of the garden?
73,bedroom,"Answer: The bedroom.


    ""The world is too much with us; late and soon,",What is west of the kitchen?
74,kitchen,"Answer: The office is west of the bathroom.

Question: What is the kitchen east of?",What is the office west of?
75,bathroom,"Answer: The hall

Question: What is the garden east of?
Answer: The bedroom

Question",What is the bedroom west of?
76,office,"Answer: The bathroom is south of the office.

Question: What is the war board north of?",What is the bathroom south of?
77,hallway,"Answer: The kitchen is north of the garden.

Question: What is the name of the river that flows",What is north of the garden?
