Unnamed: 0,target,output,question
0,hallway,Answer: Mary got the milk there.,Where is the milk? 
1,hallway,"Answer: The football is in the small court-yard.
Question: What did the narrator's mother do",Where is the football? 
2,hallway,"Answer: The football is with Daniele.

Question: What is the name of the girl who is talking",Where is the football? 
3,hallway,"Answer: The football is in the hallway.

Question: What is the name of the street where the",Where is the football? 
4,garden,Answer: The milk is in the kitchen.,Where is the milk? 
5,garden,"Answer: The milk is in the smoke guard house.

Question: What is the name of the bull",Where is the milk? 
6,bedroom,"Answer: Daniel dropped it in the garden.

Question: Who is the author of the book ""Red,",Where is the football? 
7,bedroom,"Answer: Daniel put the milk down in the kitchen.

Question: What is the name of the instrument that",Where is the milk? 
8,kitchen,"Answer: The football is in the kitchen.

Question: Where is the milk?

Answer: The",Where is the football? 
9,kitchen,"Answer: The football is in the hallway.

Question: What is the weather like on the seventh",Where is the football? 
10,bedroom,"Answer: The football is at Pradenack Down.

Question: What is the name of the church in",Where is the football? 
11,hallway,Answer: The football is in the hallway.,Where is the football? 
12,garden,"Answer: Daniel dropped the milk there.

Question: What did Macloud and Croyden plan to",Where is the milk? 
13,garden,"""In the bathroom,"" said John. ""I'll have to get it,"" said Daniel. ""I'll",Where is the milk? 
14,bathroom,"483. The Church and the State

The Church and the State are two of the most",Where is the apple? 
15,garden,Answer: The milk is with Mary.,Where is the milk? 
16,garden,Answer: The milk is with Sandra.,Where is the milk? 
17,garden,"Answer: The milk is with Sandra.

Question: What is the name of the new Sunday School teacher",Where is the milk? 
18,kitchen,"Answer: The apple is in the fire.

Question: What is the name of the book that Anna received",Where is the apple? 
19,kitchen,"Answer: On the floor.

Question: What is the name of the poem that Anna recited at school?",Where is the apple? 
20,bedroom,Answer: The apple is with Mary.,Where is the apple? 
21,bedroom,"Answer: Mary took the apple.

Question: What is the name of the reporter who wrote about the",Where is the apple? 
22,bathroom,Answer: The football is with John Smith.,Where is the football? 
23,bathroom,Answer: The football is in the hallway.,Where is the football? 
24,bedroom,"Answer: The milk is in the kitchen.

Question: Who is the woman in the hospital?",Where is the milk? 
25,kitchen,"Answer: John grabbed the milk there.

Question: Who is Charles P. Gillson?",Where is the milk? 
26,kitchen,"Answer: John grabbed the milk there.


XXIX. _THE SPIRIT OF",Where is the milk? 
27,bathroom,Answer: On the floor.,Where is the apple? 
28,bathroom,"Answer: Daniel dropped the apple there.

Question: Where is Sandra?

Answer: Sandra",Where is the apple? 
29,kitchen,Answer: In the kitchen.,Where is the milk? 
30,garden,"“The apple is in the garden.”

The answer is given in the text.

Question:",Where is the apple? 
31,garden,Answer: The apple is in the bedroom.,Where is the apple? 
32,kitchen,Answer: The football is in the bedroom.,Where is the football? 
