,target,output,question
0,cinema,The context does not provide information on where Fred was before he went to the kitchen. The text only,Where was Fred before the kitchen? 
1,kitchen,"Based on the context provided, Fred moved to the bedroom this morning, so before that, he was",Where was Fred before the bedroom? 
2,office,The text does not provide information about where Fred was before he went to the bedroom this morning. The,Where was Fred before the bedroom? 
3,cinema,"Based on the context provided, Fred journeyed to the bedroom this evening. Before that, he was",Where was Fred before the bedroom? 
4,park,"Based on the information provided in the context, Fred travelled to the school in the morning. Therefore",Where was Fred before the school? 
5,cinema,The context does not provide information about where Bill was before he went to the park. The only information,Where was Bill before the park? 
6,bedroom,"Based on the information provided in the context, Mary went back to the bedroom yesterday. Therefore, before",Where was Mary before the kitchen? 
7,office,"Based on the context provided, Fred journeyed to the office yesterday and went to the bedroom this morning",Where was Fred before the bedroom? 
8,bedroom,The text does not provide enough information to determine exactly where Bill was before going to the cinema in the,Where was Bill before the cinema? 
9,school,"The context states that Fred moved to the school yesterday. Therefore, before moving to the office this morning",Where was Fred before the office? 
10,school,"Based on the context provided, Julie was at school before going to the cinema this morning. The text",Where was Julie before the cinema? 
11,office,"Based on the context provided, Mary was in the office before she moved to the bedroom this evening.",Where was Mary before the bedroom? 
12,cinema,"Based on the context provided, Bill was at the cinema before he went to the park this evening.",Where was Bill before the park? 
13,office,"Based on the context provided, Bill was at the office before he moved to the park this afternoon.",Where was Bill before the park? 
14,office,"Based on the context provided, Fred went back to the office yesterday and traveled to the park this morning",Where was Fred before the park? 
15,school,"Based on the context provided, Bill journeyed to the cinema this morning. Before that, he went",Where was Bill before the cinema? 
16,bedroom,"Based on the context provided, Bill was in the bedroom before he went to the office this afternoon.",Where was Bill before the office? 
17,office,"Based on the context provided, Julie went to the cinema twice - once in the morning with Fred and",Where was Julie before the cinema? 
18,park,The context does not provide information about where Bill was before going to the cinema. The only information given,Where was Bill before the cinema? 
19,bedroom,Julie was at the park before going to the kitchen this afternoon. This is the most recent place mentioned,Where was Julie before the kitchen? 
20,school,"Based on the context provided, Bill traveled to the park this morning, but it doesn't specifically",Where was Bill before the park? 
21,school,The context does not provide information on where Fred was before he moved to the kitchen in the afternoon.,Where was Fred before the kitchen? 
22,kitchen,"Based on the context provided, Fred travelled to the kitchen this morning. Therefore, before going to",Where was Fred before the cinema? 
23,kitchen,"Based on the context provided, Mary was in the bedroom before she traveled to the office. The context",Where was Mary before the office? 
24,cinema,The context does not provide information about Bill's location immediately before he went to the office yesterday.,Where was Bill before the office? 
25,park,"Based on the context provided, Mary was at the park before going to the cinema. This is because",Where was Mary before the cinema? 
26,office,"Based on the context provided, Julie was at the office before she went to the school in the morning",Where was Julie before the school? 
27,cinema,"Based on the information provided in the context, Mary was at the kitchen before she moved to the office",Where was Mary before the office? 
28,school,The text does not provide information about where Fred was before he went to the office. It only ment,Where was Fred before the office? 
29,office,"Based on the context provided, Mary went to the bedroom this morning before she travelled to the cinema",Where was Mary before the cinema? 
30,office,"Based on the context provided, Mary went back to the office yesterday. However, the text does not",Where was Mary before the cinema? 
