Unnamed: 0,target,output,question
0,bedroom,"Answer: bedroom

Context: The garden is north of the kitchen. The bedroom is south of the kitchen.",What is the bathroom east of?
1,bedroom,"Answer: bedroom

Question: What is west of the bedroom?
Answer: hallway

Question: What is",What is west of the kitchen?
2,bathroom,"Answer: hallway

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is north of the garden?
3,bedroom,"Answer: bedroom

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is south of the kitchen?
4,bedroom,"Answer: bedroom

Question: What is east of the office?
Answer: bedroom

Question: What is",What is east of the kitchen?
5,garden,"Answer: garden

Context: The garden is east of the bathroom. The garden is west of the hallway.",What is the bathroom west of?
6,kitchen,"Answer: kitchen

Question: What is west of the bedroom?
Answer: garden

Question: What is",What is east of the bedroom?
7,bathroom,"Answer: bedroom

Context: The garden is north of the bedroom. The bathroom is north of the garden.",What is the garden south of?
8,kitchen,"Answer: garden

Context: The kitchen is south of the office. The garden is south of the kitchen.",What is south of the office?
9,office,"Answer: garden

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is east of the hallway?
10,garden,"Answer: garden

Context: The kitchen is west of the bedroom. The garden is east of the bedroom.",What is north of the office?
11,garden,"Answer: garden

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is south of the kitchen?
12,bathroom,"Answer: bedroom

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is east of the kitchen?
13,garden,"Answer: garden

Context: The bathroom is east of the kitchen. The garden is west of the kitchen.",What is west of the kitchen?
14,garden,"Answer: garden

Context: The garden is north of the bedroom. The bedroom is north of the office.",What is north of the bedroom?
15,garden,"Answer: garden

Context: The garden is west of the bathroom. The garden is east of the hallway.",What is east of the hallway?
16,hallway,"Answer: bathroom

Context: The kitchen is north of the bedroom. The kitchen is south of the living room",What is east of the office?
17,office,"Answer: office

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is south of the bathroom?
18,garden,"Answer: garden

Context: The kitchen is north of the bedroom. The garden is south of the bedroom.",What is the bedroom north of?
19,garden,"Answer: bedroom

Context: The garden is east of the kitchen. The bedroom is west of the kitchen.",What is the kitchen west of?
20,garden,"Answer: garden

Context: The bedroom is north of the kitchen. The garden is west of the kitchen.",What is the office east of?
21,garden,"Answer: garden

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is the bathroom south of?
22,bathroom,"Answer: bathroom

Context: The kitchen is south of the bedroom. The bathroom is north of the bedroom.",What is north of the bedroom?
23,bathroom,"Answer: bathroom

Context: The kitchen is south of the bedroom. The bedroom is south of the bathroom.",What is the bedroom south of?
24,hallway,"Answer: office

Context: The kitchen is north of the bedroom. The bedroom is north of the living room.",What is the bedroom west of?
25,office,"Answer: office

Context: The kitchen is west of the bathroom. The office is east of the bathroom.",What is east of the bathroom?
26,office,"Answer: office

Context: The kitchen is west of the bedroom. The bedroom is west of the hallway.",What is north of the bedroom?
27,hallway,"Answer: office

Context: The kitchen is north of the bedroom. The bathroom is west of the bedroom.",What is west of the bathroom?
28,garden,"Answer: office

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is the bathroom north of?
29,garden,"Answer: garden

Question: What is south of the bathroom?
Answer: garden

Question: What is",What is north of the office?
30,bedroom,"Answer: bedroom

Question: What is east of the office?
Answer: bedroom

Question: What is",What is east of the kitchen?
31,kitchen,"Answer: hallway

Question: What is the kitchen west of?
Answer: bathroom

Question: What is",What is the bathroom east of?
32,bathroom,"Answer: bedroom

Question: What is south of the garden?
Answer: bathroom

Question: What is",What is north of the garden?
33,kitchen,"Answer: hallway

Context: The kitchen is east of the bedroom. The hallway is west of the bedroom.",What is the bedroom west of?
34,bedroom,"Answer: bedroom

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is the kitchen south of?
35,garden,"Answer: garden

Context: The garden is west of the bathroom. The bedroom is west of the garden.",What is the bathroom east of?
36,office,"Answer: bathroom

Context: The kitchen is north of the bedroom. The bedroom is north of the bathroom.",What is south of the hallway?
37,bedroom,"Answer: bedroom

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is north of the bathroom?
38,bedroom,"Answer: office

Context: The kitchen is north of the bedroom. The bedroom is north of the bathroom.",What is the bathroom east of?
39,office,"Answer: office

Context: The kitchen is south of the bedroom. The kitchen is north of the office.",What is north of the bedroom?
40,bathroom,"Answer: bathroom

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is south of the kitchen?
41,bedroom,"Answer: bedroom

Context: The kitchen is south of the bedroom. The bathroom is south of the kitchen.",What is west of the office?
42,kitchen,"Answer: bedroom

Context: The kitchen is north of the garden. The bedroom is north of the kitchen.",What is the garden south of?
43,garden,"Answer: garden

Context: The garden is north of the bathroom. The garden is south of the bedroom.",What is south of the bedroom?
44,garden,"Answer: garden

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is the office south of?
45,hallway,"Answer: bedroom

Context: The kitchen is south of the bedroom. The hallway is south of the kitchen.",What is the office east of?
46,garden,"Answer: bedroom

Context: The garden is west of the office. The bedroom is west of the garden.",What is south of the office?
47,garden,"Answer: garden

Context: The garden is west of the bedroom. The bedroom is west of the bathroom.",What is west of the bedroom?
48,garden,"Answer: garden

Context: The garden is east of the hallway. The bedroom is west of the hallway.",What is east of the hallway?
49,garden,"Answer: garden

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is the office south of?
50,bedroom,"Answer: garden

Context: The kitchen is north of the garden. The garden is north of the bedroom.",What is the hallway north of?
51,garden,"Answer: office

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is north of the bathroom?
52,hallway,"Answer: garden

Example:
The garden is west of the bedroom. The bedroom is west of the kitchen",What is the bedroom north of?
53,bathroom,"Answer: bathroom

Question: What is east of the bathroom?
Answer: kitchen

Question: What is",What is east of the garden?
54,bathroom,"Answer: bathroom

Context: The office is east of the bedroom. The bathroom is west of the bedroom.",What is west of the bedroom?
55,garden,"Answer: garden

Context: The garden is east of the hallway. The bedroom is west of the hallway.",What is east of the hallway?
56,hallway,"Answer: hallway

Context: The bedroom is west of the kitchen. The bedroom is east of the hallway.",What is the bedroom east of?
57,kitchen,"Answer: garden

Example:
The garden is east of the hallway. The kitchen is west of the hallway",What is west of the hallway?
58,hallway,"Answer: garden

Example:
The garden is west of the bedroom. The bedroom is west of the kitchen",What is south of the bedroom?
59,kitchen,"Answer: bathroom

Question: What is the garden south of?
Answer: kitchen

Question: What is",What is the garden north of?
60,hallway,"Answer: bathroom

Context: The kitchen is north of the bedroom. The bathroom is north of the kitchen.",What is the bedroom north of?
61,bedroom,"Answer: bedroom

Context: The kitchen is north of the bedroom. The bedroom is north of the hallway.",What is south of the hallway?
62,kitchen,"Answer: garden

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is the hallway north of?
63,hallway,"Answer: garden

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is west of the bedroom?
64,bedroom,"Answer: bedroom

Context: The garden is east of the office. The bedroom is east of the garden.",What is east of the garden?
65,office,"Answer: garden

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is the bedroom north of?
66,bathroom,"Answer: hallway

Context: The kitchen is west of the bedroom. The bathroom is east of the bedroom.",What is the bedroom north of?
67,office,"Answer: bedroom

Question: What is the office north of?
Answer: garden

Question: What is",What is the garden south of?
68,kitchen,"Answer: garden

Question: What is the kitchen east of?
Answer: bathroom

Question: What is",What is the bathroom west of?
69,garden,"Answer: bathroom

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is the hallway east of?
70,bathroom,"Answer: bathroom

Context: The kitchen is west of the bedroom. The bathroom is east of the bedroom.",What is south of the bedroom?
71,kitchen,"Answer: office

Context: The kitchen is north of the garden. The office is south of the garden.",What is the garden south of?
72,garden,"Answer: garden

Context: The garden is west of the hallway. The garden is east of the bedroom.",What is the bedroom south of?
73,bathroom,"Answer: bathroom

Context: The kitchen is west of the bedroom. The bedroom is west of the office.",What is north of the office?
74,bathroom,"Answer: office

Context: The kitchen is north of the bedroom. The bedroom is north of the bathroom.",What is the hallway north of?
75,bedroom,"Answer: garden

Example:
The garden is west of the bedroom. The bedroom is west of the kitchen",What is south of the hallway?
76,bedroom,"Answer: bathroom

Context: The kitchen is north of the bedroom. The bathroom is south of the bedroom.",What is the hallway east of?
77,bathroom,"Answer: garden

Context: The kitchen is south of the bedroom. The bedroom is south of the bathroom.",What is north of the office?
78,kitchen,"Answer: bathroom

Context: The kitchen is east of the garden. The bathroom is east of the kitchen.",What is east of the garden?
79,hallway,"Answer: office

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is the kitchen south of?
80,garden,"Answer: garden

Context: The bedroom is east of the office. The garden is west of the office.",What is west of the office?
81,office,"Answer: office

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is the bedroom west of?
82,kitchen,"Answer: bathroom

Question: What is the hallway north of?
Answer: kitchen

Question: What is",What is the hallway south of?
83,garden,"Answer: bedroom

Context: The garden is east of the office. The bedroom is east of the garden.",What is the office west of?
84,bathroom,"Answer: bathroom

Context: The kitchen is west of the bedroom. The bedroom is west of the hallway.",What is north of the hallway?
85,office,"Answer: office

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is west of the garden?
86,office,"Answer: office

Context: The garden is west of the hallway. The office is west of the garden.",What is west of the garden?
87,garden,"Answer: garden

Context: The garden is west of the bedroom. The bedroom is west of the kitchen.",What is east of the bathroom?
88,bathroom,"Answer: bathroom

Context: The bedroom is south of the kitchen. The kitchen is south of the bathroom.",What is north of the office?
