,target,output,question
0,football,"football (Document[11]):""Fred gave the football to Jeff.""",What did Fred give to Jeff? 
1,Fred,"Fred (Document[119]):""Fred picked up the football there",Who gave the football to Jeff? 
2,football,"football (Document[11]):""Fred picked up the football there . It",What did Fred give to Jeff? 
3,Jeff,"Jeff (Document[12]):""Fred picked up the football there .",Who did Fred give the football to? 
4,Fred,"Fred (Document[119]):""Fred picked up the football there",Who did Jeff give the football to? 
5,Jeff,"Fred (Document[119]):""Fred picked up the apple there",Who gave the apple? 
6,Bill,"Fred (Document[119]):""Fred picked up the apple there",Who received the apple? 
7,apple,"apple (Document[12]):""Bill journeyed to the bedroom .",What did Bill give to Fred? 
8,apple,"apple (Document[11]):""Bill gave the apple to Fred.""",What did Bill give to Fred? 
9,Fred,"Fred (Document[11]):""Fred picked up the apple there .",Who received the apple? 
10,Mary,"Fred (Document[15]):""Fred journeyed to the bedroom",Who received the milk? 
11,milk,"milk (Document[14]):""Mary gave the milk to Bill.""",What did Mary give to Bill? 
12,Bill,"Fred (Document[129]):""Fred journeyed to the bed",Who received the milk? 
13,Bill,"Fred (Document[129]):""Mary picked up the apple there",Who did Mary give the milk to? 
14,milk,"milk (Document[11]):""Bill picked up the football there .",What did Mary give to Bill? 
15,Jeff,"Fred (Document[129]):""Fred picked up the apple there",Who received the football? 
16,Fred,"Fred (Document[119]):""Fred picked up the apple there",Who gave the football to Jeff? 
17,football,"apple (Document[12]):""Fred picked up the apple there . Fred",What did Fred give to Jeff? 
18,Jeff,"Fred (Document[129]):""Fred picked up the apple there",Who received the football? 
19,Mary,"Bill (Document[159]):""Bill (Document[15",Who gave the milk? 
20,milk,"milk (Document[11]):""Jeff went to the hallway .",What did Jeff give to Mary? 
21,Mary,"Bill (Document[11]):""Bill went to the garden . Mary",Who gave the milk to Jeff? 
22,Mary,"Mary (Document[11]):""Mary moved to the bathroom .",Who gave the milk to Jeff? 
23,Bill,"Bill (Document[10]):""Bill (Document[10]",Who gave the apple to Jeff? 
24,Jeff,"Bill (Document[119]):""Bill (Document[11",Who gave the apple? 
25,apple,"apple (Document[12]):""Jeff went back to the bathroom .",What did Jeff give to Fred? 
26,Fred,"Fred (Document[11]):""Fred picked up the apple there .",Who received the apple? 
27,Jeff,"Fred (Document[11]):""Fred picked up the apple there .",Who received the apple? 
28,Jeff,"Fred (Document[11]):""Fred (Document[11]",Who gave the apple? 
29,Fred,"Fred (Document[11]):""Jeff went to the bathroom .",Who did Jeff give the apple to? 
30,Mary,"Bill (Document[119]):""Bill took the milk there .",Who gave the milk? 
31,Bill,"Bill (Document[11]):""Bill gave the milk to Mary""",Who gave the milk? 
32,Bill,"Bill (Document[21]):""Bill gave the milk to Mary.""",Who gave the milk to Mary? 
33,milk,"milk (Document[29]):""Bill gave the milk to Mary.""",What did Bill give to Mary? 
34,apple,"apple (Document[12]):""Mary picked up the apple there . Mary",What did Mary give to Fred? 
35,Jeff,"Jeff (Document[12]):""Fred picked up the milk there .",Who did Fred give the milk to? 
36,Jeff,"Bill (Document[11]):""Bill went to the bathroom .",Who did Fred give the milk to? 
37,milk,"milk (Document[11]):""Fred picked up the apple there .",What did Jeff give to Mary? 
38,milk,"milk (Document[11]):""Bill journeyed to the bathroom",What did Jeff give to Mary? 
39,Fred,"Bill (Document[12]):""Bill went to the bathroom .",Who gave the apple? 
40,Mary,"Fred (Document[112]):""Fred picked up the milk there",Who gave the milk? 
41,milk,"apple (Document[12]):""Fred picked up the apple there . Mary",What did Mary give to Fred? 
42,Jeff,"Jeff (Document[12]):""Jeff journeyed to the garden .",Who gave the milk? 
43,Fred,"Fred (Document[12]):""Fred picked up the milk there .",Who received the milk? 
44,Mary,"Jeff (Document[11]):""Jeff picked up the milk there .",Who gave the milk? 
45,Bill,"Bill (Document[11]):""Bill (Document[11]):",Who did Mary give the milk to? 
46,milk,"apple (Document[12]):""Fred went to the office . Fred went",What did Mary give to Bill? 
47,Mary,"Bill (Document[11]):""Bill journeyed to the hallway",Who gave the milk? 
48,Mary,"Fred (Document[115]):""Bill journeyed to the hall",Who did Bill give the milk to? 
49,Bill,"Bill (Document[11]):""Bill journeyed to the hallway",Who gave the milk to Mary? 
50,Mary,"Mary (Document[10]):""Mary picked up the apple there .",Who gave the apple to Fred? 
51,Fred,"Fred (Document[119]):""Fred moved to the bathroom",Who gave the apple to Mary? 
52,apple,"apple (Document[100]):""Fred went to the garden . I",What did Fred give to Mary? 
53,apple,"apple (Document[151]):""Mary picked up the apple there .",What did Mary give to Jeff? 
54,apple,"apple (Document[11]):""Mary picked up the apple there . Mary gave",What did Mary give to Jeff? 
55,Fred,"Fred (Document[119]):""Fred picked up the football there",Who received the football? 
56,football,"football (Document[119]):""Bill went back to the hallway",What did Bill give to Fred? 
57,Bill,"Mary (Document[119]):""Mary picked up the apple there",Who gave the apple? 
58,Bill,"Fred (Document[12]):""Mary picked up the apple there .",Who did Mary give the apple to? 
59,Jeff,"Jeff (Document[11]):""Bill went back to the hallway",Who did Bill give the apple to? 
60,Jeff,"Fred (Document[12]):""Bill took the milk there . Who",Who did Bill give the apple to? 
61,Bill,"Mary (Document[119]):""Mary picked up the apple there",Who gave the apple to Jeff? 
62,Jeff,"Jeff (Document[11]):""Jeff took the football there . Jeff",Who gave the apple to Bill? 
