,target,output,question
0,kitchen,"Answer: The football is in the garden.
Question: Where is the football?
Answer: The football is in",Where is the football? 
1,garden,"Answer: In the cow. Question: Where is the
milk? Answer: In the cow. Question: Where is",Where is the milk? 
2,bedroom,"Answer: The apple is in the bedroom.

Question: Where is the apple?
Answer: The apple is",Where is the apple? 
3,bedroom,"Answer: The apple is in the kitchen.

Question: Where is the apple?
Answer: The apple is",Where is the apple? 
4,kitchen,Answer: In the garden. Question: Where is the garden? Answer: In the orchard. Question: Where is the,Where is the apple? 
5,hallway,"Context:

The apple is in the kitchen.

The apple is in the living room.",Where is the apple? 
6,kitchen,Answer: In the kitchen. Question: Where is the milk? Answer: In the kitchen. Question: Where is the milk,Where is the milk? 
7,garden,"Answer: The milk is in the kitchen.
Question: Where is the milk?
Answer: The milk is in",Where is the milk? 
8,bedroom,"Answer: The milk is in the kitchen.
Question: Where is the milk?
Answer: The milk is in",Where is the milk? 
9,bathroom,Answer: The milk is in the kitchen. Question: Where is the milk? Answer: The milk is in the kitchen.,Where is the milk? 
10,bathroom,"Answer: In the hallway.

Question: Where is the milk?

Answer: In the hallway.",Where is the football? 
11,bedroom,"Answer: The milk is in the kitchen.

Question: Where is the milk?
Answer: The milk is",Where is the milk? 
12,bathroom,"Answer: The apple is in the kitchen.

Question: Where is the apple?
Answer: The apple is",Where is the apple? 
13,kitchen,Answer: The football is in the kitchen. Question: Where is the football? Answer: The football is in the kitchen.,Where is the football? 
14,bedroom,Answer: The apple is in the kitchen. Question: Where is the apple? Answer: The apple is in the kitchen.,Where is the apple? 
15,garden,Answer: The apple is in the kitchen. Question: Where is the apple? Answer: The apple is in the kitchen.,Where is the apple? 
16,bedroom,"Answer: The football is in the bedroom.

Question: Where is the football?
Answer: The football is",Where is the football? 
17,bedroom,Answer: The apple is in the bedroom. Question: Where is the apple? Answer: The apple is in the bedroom.,Where is the apple? 
18,garden,"Answer: In the cow. Question: Where is the music? Answer: In the musician.

And if the musician",Where is the milk? 
19,garden,Answer: The milk is in the kitchen. Question: Where is the screwdriver? Answer: The screwdriver is in the,Where is the milk? 
20,office,"Answer: The apple is in the basket.
Question: Where is the basket?
Answer: The basket is in",Where is the apple? 
21,bedroom,"Answer: The milk is in the kitchen.
Question: Where is the milk?
Answer: The milk is in",Where is the milk? 
22,garden,"Answer: The milk is in the kitchen.
Question: Where is the milk?
Answer: The milk is in",Where is the milk? 
