from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,lr_scheduler,max_n_segments,num_mem_tokens,model_path,num_steps,exact_match,k2,freeze_model_weights
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,8,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_3,,0.9979979991912842,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,19532,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_19532x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_2,,0.1621621549129486,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,19532,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_19532x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_3,,0.18718717992305756,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,19532,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_19532x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_2,,0.14614614844322205,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,19532,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_19532x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_3,,0.15615615248680115,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,64,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_64x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_2,,0.5175175070762634,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,64,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_64x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_3,,0.8538538813591003,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,8,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_2,,0.6996996998786926,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,1024,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1024x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_2,,0.23723722994327545,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,2048,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2048x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_3,,0.17817817628383636,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,512,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_512x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_2,,0.2752752900123596,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,16,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_3,,0.9979979991912842,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,32,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_3,,0.9749749898910522,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,1,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_3,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,1,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_3,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,2,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_2,,0.9199199080467224,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,32,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_32x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_2,,0.5605605840682983,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,256,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_256x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_3,,0.3023023009300232,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,2,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_3,,0.9979979991912842,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,2,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_3,,0.9979979991912842,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,16,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_2,,0.6106106042861938,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,2048,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2048x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_2,,0.2122122049331665,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,1024,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1024x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_3,,0.18318317830562592,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,4,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_3,,0.9959959983825684,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,256,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_256x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_2,,0.3443443477153778,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,512,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_512x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_3,,0.22622622549533844,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,4,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_2,,0.8208208084106445,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,1,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_2,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,1,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_2,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,1,16,/home/booydar/rmt/runs/babilong_multitask/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_2,,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,4,linear,16,16,/home/booydar/rmt/runs/babilong_multitask/qa1-10/gpt2/linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_qs_from_cpt_8-16/run_2,10000.0,0.9139999747276306,-1,False
