,target,output,question
0,hallway,"John is in the hallway, waiting for Mrs. Lockitt to come and help him.",Where is John? 
1,bathroom,Mary is at the bathroom.,Where is Mary? 
2,kitchen,Sandra is mentioned in the passage as being present at the Charles Dickens reading in Rochester,Where is Sandra? 
3,hallway,"Sandra is in the kitchen.

""Sandra traveled to the kitchen.""",Where is Sandra? 
4,kitchen,Answer: Sandra is in the kitchen.,Where is Sandra? 
5,hallway,"Sandra is in the kitchen.

""Sandra went to the kitchen.""",Where is Sandra? 
6,garden,Sandra is in the kitchen.,Where is Sandra? 
7,hallway,Daniel is in the hallway.,Where is Daniel? 
8,office,Sandra is in the kitchen.,Where is Sandra? 
9,office,Answer: Daniel is in the garden.,Where is Daniel? 
10,kitchen,Mary is in the kitchen.,Where is Mary? 
11,garden,Mary is in the kitchen.,Where is Mary? 
12,office,Daniel is at the office.,Where is Daniel? 
13,bedroom,Mary is in the kitchen.,Where is Mary? 
14,bedroom,Mary is in the bedroom.,Where is Mary? 
15,kitchen,"John is in the kitchen. He is sitting at a table, looking at a book.",Where is John? 
16,garden,John is in the garden.,Where is John? 
17,kitchen,John is in the kitchen.,Where is John? 
18,office,Daniel is in the office.,Where is Daniel? 
19,kitchen,John is at the kitchen.,Where is John? 
20,hallway,"According to the passage, Mary is in heaven. The passage states: ""Mary trave",Where is Mary? 
21,office,"According to the passage, John is in Scotland. He is the brother of Jack Kirke and",Where is John? 
22,office,John is in the hallway.,Where is John? 
23,hallway,Sandra is at the office.,Where is Sandra? 
24,bedroom,Daniel is at the garden.,Where is Daniel? 
25,bedroom,"Sandra is in Scotland. She is the ""one maid"" that Jack Kirke has",Where is Sandra? 
26,bedroom,"According to the passage, Mary is in the kitchen. The passage states: ""Mary was",Where is Mary? 
27,kitchen,Daniel is in the kitchen.,Where is Daniel? 
28,kitchen,Daniel is at the bathroom.,Where is Daniel? 
29,kitchen,Daniel is at the bathroom.,Where is Daniel? 
30,hallway,"Sandra is in India, on a ship on board with her.",Where is Sandra? 
31,office,"According to the passage, John is in the office of the Minster furnaces. The passage",Where is John? 
32,kitchen,"Sandra is at the Minster farmhouse, where she was taken by Reuben after he",Where is Sandra? 
33,kitchen,Sandra is in the kitchen.,Where is Sandra? 
34,bathroom,Sandra is in the kitchen.,Where is Sandra? 
35,office,"According to the passage, Mary is at Tandridge, Garstang, in the county",Where is Mary? 
36,bathroom,Mary is in the bathroom. She is washing her hands.,Where is Mary? 
37,garden,"According to the passage, Mary is in the kitchen. The passage states: ""Mary was",Where is Mary? 
38,kitchen,"Sandra is in the kitchen, preparing dinner for Elaine and Colin.",Where is Sandra? 
39,bedroom,"Daniel is in the bedroom with Mary. He is lying on the bed, looking pale and",Where is Daniel? 
40,bathroom,Sandra is in the bathroom.,Where is Sandra? 
41,garden,Daniel is in the bedroom with Mary.,Where is Daniel? 
42,bathroom,"Sandra is in the kitchen, preparing dinner for her husband and the other artists who have",Where is Sandra? 
43,hallway,"Daniel is in the hallway, waiting for his card to be stamped so he can leave",Where is Daniel? 
44,garden,"Daniel went to the garden.

Answer: Daniel went to the garden.

Ex",Where is Daniel? 
45,kitchen,Mary is in the kitchen.,Where is Mary? 
46,hallway,Answer: Daniel is in the hallway.,Where is Daniel? 
47,bathroom,"Sandra is with her uncle, Mr. Morton, at his house called Milnwood",Where is Sandra? 
48,office,John is at the office.,Where is John? 
49,bedroom,John is in the bedroom.,Where is John? 
50,bedroom,John is in the hallway.,Where is John? 
51,office,"According to the passage, John is in the bedroom.

Answer: The passage states",Where is John? 
52,garden,John is at the office.,Where is John? 
53,garden,John is at the office.,Where is John? 
54,kitchen,Daniel is at the office.,Where is Daniel? 
55,bedroom,"Mary is in the church, sitting in the front pew. She is dressed in a beautiful",Where is Mary? 
56,kitchen,"Mary is in the kitchen.

Answer: Mary is in the kitchen.

Question",Where is Mary? 
57,hallway,"According to the passage, Mary is at the kitchen.",Where is Mary? 
58,garden,Daniel is in the garden.,Where is Daniel? 
59,hallway,"According to the text, Sandra is in the kitchen.",Where is Sandra? 
60,hallway,"According to the passage, Sandra is in the hallway.",Where is Sandra? 
61,office,Daniel is at the office.,Where is Daniel? 
62,bathroom,Sandra is in room No. 8 of Case's tenement building.,Where is Sandra? 
63,garden,Daniel is in the office.,Where is Daniel? 
64,garden,"Daniel is in the Indian country, somewhere up the river. He was taken by the Indians for",Where is Daniel? 
65,kitchen,John is in the kitchen.,Where is John? 
66,kitchen,John is in the kitchen.,Where is John? 
67,bathroom,Daniel is in the bathroom.,Where is Daniel? 
68,office,"Daniel is in the woods, near a coal pit. He is cold and tired and looking for",Where is Daniel? 
69,office,Daniel is in the office.,Where is Daniel? 
70,garden,Mary is in the garden.,Where is Mary? 
71,hallway,Sandra is in the hallway.,Where is Sandra? 
72,garden,"According to the text, Mary is in the office.",Where is Mary? 
73,bedroom,"According to the passage, Mary is in the kitchen. The passage states: ""Mary journey",Where is Mary? 
74,bathroom,"According to the passage, Mary is in the kitchen. The passage states: ""Mary journey",Where is Mary? 
75,kitchen,Daniel is in the kitchen.,Where is Daniel? 
76,kitchen,John is not mentioned in the excerpt provided. The excerpt focuses on the,Where is John? 
77,kitchen,Daniel is in the kitchen.,Where is Daniel? 
78,hallway,Daniel is in the kitchen.,Where is Daniel? 
79,office,Daniel is in the kitchen.,Where is Daniel? 
80,garden,"John is mentioned in the following passage:

""The Influence of Laurence S",Where is John? 
81,bathroom,John is in the garden.,Where is John? 
82,bedroom,Sandra is in the bedroom.,Where is Sandra? 
83,garden,Mary is in the kitchen.,Where is Mary? 
84,office,Daniel is at the office.,Where is Daniel? 
85,garden,Sandra is traveling to the garden.,Where is Sandra? 
86,garden,"According to the passage, Mary went to the garden.",Where is Mary? 
87,hallway,"John is John Adams, the second President of the United States.",Where is John? 
88,kitchen,Sandra is at the kitchen.,Where is Sandra? 
89,kitchen,"Daniel is in Virginia, visiting his brother William.",Where is Daniel? 
90,bathroom,"Sandra is staying with her grandmother in Canandaigua, New York.",Where is Sandra? 
91,bathroom,"According to the passage, John is in Rockville, Maryland. He is a merchant who has",Where is John? 
92,hallway,"Sandra is with her husband, Joe Flint, and their children in a small house in",Where is Sandra? 
93,bathroom,Sandra is in the bathroom.,Where is Sandra? 
94,bathroom,Sandra is in the bathroom.,Where is Sandra? 
95,kitchen,"John is at the Lizard, a place in Cornwall, England.",Where is John? 
96,kitchen,Sandra is working in the kitchen at Rushtons.,Where is Sandra? 
97,kitchen,"Based on the context, Mary is in the kitchen.",Where is Mary? 
98,bedroom,Mary is in the kitchen.,Where is Mary? 
99,bedroom,"Mary is in the bedroom.

[Illustration: 

MARE: PA",Where is Mary? 
100,bedroom,Mary is in the bedroom.,Where is Mary? 
101,bathroom,Sandra is in the bathroom.,Where is Sandra? 
102,office,"According to the passage, Mary is in the garden. The passage states: ""Mary was",Where is Mary? 
103,garden,Daniel is at the garden.,Where is Daniel? 
104,garden,Daniel is in the garden. He is walking toward the pine grove.,Where is Daniel? 
105,hallway,Mary is in the mountains with Professor Scotch. She was kidnapped by the bandits,Where is Mary? 
106,bedroom,"Daniel is in Huejugul el Alto, Mexico. He is with Frank Mer",Where is Daniel? 
107,bathroom,Daniel is in the bathroom.,Where is Daniel? 
108,office,Daniel is in the bathroom.,Where is Daniel? 
109,bedroom,John is in the kitchen.,Where is John? 
110,bathroom,Daniel is at the baths. He is going to take a bath.,Where is Daniel? 
111,bathroom,Daniel is in the French Quarter of New Orleans. He is walking along the balcony,Where is Daniel? 
112,kitchen,John is in the office.,Where is John? 
113,hallway,John is in the hallway.,Where is John? 
114,kitchen,Mary is being held captive by the two men who abducted her and Elaine.,Where is Mary? 
115,garden,Sandra is with Elaine Cavendish. She is her maid and companion. Sand,Where is Sandra? 
116,office,John is not mentioned in the passage. The passage only mentions the Zouaves and their activities,Where is John? 
117,kitchen,Mary is in the kitchen.,Where is Mary? 
118,bathroom,Daniel is not mentioned in the passage. The passage is about Bill and his adventures with G,Where is Daniel? 
119,office,Daniel is at the office.,Where is Daniel? 
120,bedroom,Daniel is in the bedroom.,Where is Daniel? 
121,bathroom,"Mary is in Dublin, Ireland. She is a patient of Dr. Inglis.",Where is Mary? 
122,bedroom,Daniel is in the kitchen.,Where is Daniel? 
123,hallway,Daniel is in the kitchen.,Where is Daniel? 
124,bedroom,Mary is in the kitchen.,Where is Mary? 
125,office,"According to the text, Sandra is a Shire horse bred by Mr. John Brad",Where is Sandra? 
126,garden,"According to the passage, John is in the garden.",Where is John? 
127,garden,"According to the passage, Daniel is Oswald Millbank's brother. Oswald",Where is Daniel? 
128,garden,Sandra is at the Simon plantation in Kentucky.,Where is Sandra? 
129,bathroom,Sandra is in the kitchen.,Where is Sandra? 
130,garden,Sandra is in the garden.,Where is Sandra? 
131,hallway,"Mary is in the garden, picking flowers. She is described as ""a little girl,",Where is Mary? 
132,bathroom,"Sandra is in the kitchen, hanging out the flag.",Where is Sandra? 
133,garden,"Sandra is lying beneath the Almond blossoms, where she and her lover used",Where is Sandra? 
134,kitchen,"John is in the kitchen, singing a song.",Where is John? 
135,bathroom,Sandra is in the bathroom.,Where is Sandra? 
