,target,output,question
0,bedroom,"Answer: The bathroom is east of the bathroom. The bathroom is
the bathroom of the Sovereign.

The",What is the bathroom east of?
1,bedroom,"Answer: The House of Commons has no right to pass a resolution
of the House of Commons, or to pass",What is west of the kitchen?
2,bathroom,"The answer is that it is north of the garden. The
      garden is a place of",What is north of the garden?
3,bedroom,"The answer is that the Central Government is in the middle of a

""Pekin Government"" crisis.",What is south of the kitchen?
4,bedroom,"Answer: The kitchen is east of the bedroom. The
door is open, and the door is open. The",What is east of the kitchen?
5,garden,"Answer: The garden is west of the bathroom.

Question: What is the bathroom east of?",What is the bathroom west of?
6,kitchen,"The answer was that the house was
solitary, and that the letters were of the same type as those of the",What is east of the bedroom?
7,bathroom,"What is the garden north of?

""I will not say what the garden is, but I will say what the",What is the garden south of?
8,kitchen,"Answer: It is the capital of the

King. The capital of the King is the capital of the State. The",What is south of the office?
9,office,"The answer is that the corridor of the
hallway is east of the garden. The corridor of the garden is east of",What is east of the hallway?
10,garden,"Answer: The office of the chief.

Question: What is south of the office?

Answer:",What is north of the office?
11,garden,"Answer: The garden is south of the kitchen.

Question: What is north of the kitchen?",What is south of the kitchen?
12,bathroom,"Ellen: The kitchen is east of the kitchen.

Jealous: The kitchen is east of the kitchen",What is east of the kitchen?
13,garden,"Answer: The garden is west of the kitchen.

Question: What is east of the kitchen? Answer: The garden",What is west of the kitchen?
14,garden,"Answer: The Wannias are quite content and well satisfied. The

Wannias are not in any",What is north of the bedroom?
15,garden,"Answer: The garden is east of the hallway. The
door of the garden is open, and the door is",What is east of the hallway?
16,hallway,"The show was held in the

London Hall of Fame, and was held in the

London Hall of",What is east of the office?
17,office,"A. B. Freeman-Mitford’s Hitchin Conqueror, one of whose sons, I�",What is south of the bathroom?
18,garden,"Answer: The bedroom north of the bedroom is the

most important of all the rooms in the house. It",What is the bedroom north of?
19,garden,"Answer: The kitchen is west of the kitchen.

Question: What is the kitchen east of?",What is the kitchen west of?
20,garden,"Answer: It is the office of the

police.

The horse was in a hurry, and the officer was",What is the office east of?
21,garden,"Answer: The kitchen.

Question: What is the bathroom north of?

Answer: The kitchen.",What is the bathroom south of?
22,bathroom,"The doctor's voice was as if he had been in a dream. ""I don't know. I don't",What is north of the bedroom?
23,bathroom,"""Well, I suppose it is a little

small room, but it is not very large. I have seen it",What is the bedroom south of?
24,hallway,Answer: The bedroom west of the bedroom. The bedroom west of the bedroom. The bedroom west of the bedroom.,What is the bedroom west of?
25,office,"The answer is, that the
door of the bathroom is open, and the door of the
door of the bathroom is",What is east of the bathroom?
26,office,"Answer: The bedroom is north of the house. The house is

north of the house. The house is",What is north of the bedroom?
27,hallway,"A. P. Hill's division, which had been engaged in the battle at Harper's Ferry,

was",What is west of the bathroom?
