,target,output,question
0,hallway,"Context: ""Whether you took the paper imputed to you from the library table",Where is the milk? 
1,hallway,"Context: ""I have no doubt, if you undertook to cultivate him,",Where is the football? 
2,hallway,"Label: hallway




                               CHAPTER XII.",Where is the football? 
3,hallway,"Label: hallway

Question: What is the name of the person who is a",Where is the football? 
4,garden,"Output: the hallway




                              CHAPTER XX. “I’",Where is the milk? 
5,garden,Label: garden,Where is the milk? 
6,bedroom,"Label: bedroom

<context>

Answer: Daniel took the football there",Where is the football? 
7,bedroom,"Output: the office


Question: Where is the football?

Output:",Where is the milk? 
8,kitchen,"Output: the office

<context>

Answer: Daniel went to the office",Where is the football? 
9,kitchen,"Output: hallway


Question: What is the name of the person who journey",Where is the football? 
10,bedroom,Label: bedroom,Where is the football? 
11,hallway,Context: Daniel went back to the garden. Colour excites no prejudices either,Where is the football? 
12,garden,"Label: hallway

<prompter> What is the name of the person",Where is the milk? 
13,garden,"Output: hallway
<prompter> What are the key points across these news",Where is the milk? 
14,bathroom,"Label: garden

Context: <prompter> Generate a sentence that means",Where is the apple? 
15,garden,Label: garden,Where is the milk? 
16,garden,"Label: bedroom



Context: The following article is from The Great Soviet",Where is the milk? 
17,garden,"Label: bathroom



Context: The letter was addressed to the care of",Where is the milk? 
18,kitchen,"Label: garden



<context>",Where is the apple? 
19,kitchen,"Label: hallway



<context>",Where is the apple? 
20,bedroom,"Label: bedroom

<context>
Pauline went to unpack the val",Where is the apple? 
21,bedroom,Label: bedroom,Where is the apple? 
22,bathroom,"Label: hallway




CHAPTER VI

""A L",Where is the football? 
23,bathroom,"Label: hallway

<context>",Where is the football? 
24,bedroom,"Label: bedroom

Question: Where is the football?

Label: hall",Where is the milk? 
25,kitchen,"Output: The kitchen


Question: Where is the football?

Output:",Where is the milk? 
26,kitchen,"Label: office
</question>

<prompter> What is the name",Where is the milk? 
27,bathroom,"Label: garden





<context>
Title: The Church'",Where is the apple? 
28,bathroom,"Label: garden

Context: The eyes of the supporters of the great war",Where is the apple? 
29,kitchen,"Label: bedroom


Context: The blasted pine rears its ga",Where is the milk? 
30,garden,"Label: garden

<context>

Answer: The apple is in the garden",Where is the apple? 
31,garden,"Label: garden

Context: The next morning, with eight picked men from Wolford",Where is the apple? 
32,kitchen,"Output: the bedroom

Question: Where is the bedroom?

Output",Where is the football? 
33,kitchen,"Output: garden

Question: What is the name of the man who was the right",Where is the apple? 
34,kitchen,Answer: garden,Where is the apple? 
35,office,"Label: hallway

<context>",Where is the milk? 
36,kitchen,"Label: hallway





<context>

Answer: Daniel",Where is the football? 
37,kitchen,"Label: hallway



<context>",Where is the football? 
38,kitchen,Label: hallway,Where is the football? 
39,bedroom,"Context: The Queen was now brought to trial. The court was composed of
twenty",Where is the milk? 
40,bedroom,Output: hallway.,Where is the milk? 
41,office,Label: bedroom,Where is the milk? 
42,office,"Output: the milk is in the bedroom.




[Illustration:",Where is the milk? 
43,office,"Context: The line of the Western
and Atlantic Railroad was more closely guarded.",Where is the milk? 
44,kitchen,"Label: bedroom

<prompter> What is the name of the person",Where is the apple? 
45,bedroom,"Context: The Maya language, however, affords a very natural etymology.",Where is the milk? 
46,office,Label: hallway,Where is the football? 
47,bathroom,"Output: the Empresa Alemania.

<context>

Answer: the",Where is the football? 
48,bathroom,"Label: bedroom

Context: The next day, I went to visit my Lord",Where is the football? 
49,bedroom,"Output: the Duke, and so left him. He was a great lover of music",Where is the milk? 
50,bathroom,"Context: ""I am glad to see you, sir,"" said the old man, as",Where is the milk? 
51,hallway,"Label: garden


Question: What is the name of the person who is thank",Where is the apple? 
52,kitchen,Output: the bathroom,Where is the football? 
53,kitchen,Label: the bathroom,Where is the football? 
54,kitchen,"Label: garden

<context>",Where is the football? 
55,bathroom,"Label: office


<context>

The bailiff was unable to",Where is the apple? 
56,bathroom,Label: bathroom,Where is the milk? 
57,kitchen,"Label: bathroom


Context: The old man, struck down by the fall",Where is the milk? 
58,kitchen,"Label: hallway

<context>",Where is the milk? 
59,bedroom,"Label: bedroom

<context>
John went to the bathroom. Daniel",Where is the apple? 
60,garden,"Output: bedroom



<context>",Where is the milk? 
61,garden,Context: The Sacrament of Baptism is the supernatural conjunction of matter and,Where is the milk? 
62,kitchen,Label: garden,Where is the football? 
63,kitchen,"Output: the office

<context>
Here, as in Baptism, the",Where is the football? 
64,kitchen,Label: office,Where is the football? 
65,kitchen,Label: hallway,Where is the football? 
66,kitchen,Label: hallway,Where is the football? 
67,bedroom,"Output: hallway

<context>

Answer: Daniel journeyed to the",Where is the milk? 
68,bedroom,"Label: bedroom

Context:

The King was pleased to appoint me to",Where is the milk? 
69,bedroom,"Label: hallway

Question: What is the name of the person who was the",Where is the football? 
70,garden,Context: John went back to the garden. The shutter in which a hole had been,Where is the apple? 
71,garden,"Label: The office

<context>

Answer: The apple was in the",Where is the apple? 
72,bathroom,"Label: bathroom

<context>

Answer: Daniel went to the bath",Where is the apple? 
73,bathroom,"Label: garden




[Decoration]


VII.",Where is the apple? 
74,bathroom,"Label: bedroom

<context>
I had been for some time in the",Where is the apple? 
75,office,"Context: ""I'll give you a piece of advice,"" said the old man,",Where is the apple? 
76,hallway,"Output: hallway

<context>
""I'll tell you what I",Where is the milk? 
77,hallway,"Output: the hallway


Question: What is the name of the person who",Where is the milk? 
78,hallway,Answer: cellar,Where is the milk? 
79,hallway,"Label: hallway


Context: ""I'm going to have a new",Where is the milk? 
80,bathroom,Output: the bathroom,Where is the football? 
81,bathroom,"Label: hallway

<context>
I do not mean to say that Harry",Where is the football? 
82,kitchen,"Label: bedroom


Question: What is the name of the man who is",Where is the football? 
83,kitchen,"Label: hallway

<context>
""But what a good time they'",Where is the football? 
84,kitchen,Label: hallway,Where is the football? 
85,bathroom,"Label: Aggie's overcoat pocket.

<context>",Where is the milk? 
86,kitchen,"Label: The office

<context>

Answer: The office
</context",Where is the apple? 
87,bathroom,"Label: hallway

<context>
Make the trousers and
wa",Where is the milk? 
88,bedroom,"Label: bedroom



Context: The following article is a work of fiction",Where is the football? 
89,kitchen,"Label: office

<context>",Where is the apple? 
90,kitchen,"Context: The kitchen is a large, well-lighted room, with a large",Where is the milk? 
91,kitchen,"Output: hallway


Context: The boy went to the bathroom. He",Where is the milk? 
