,target,output,question
0,bathroom,The most recent location of Mary is bathroom.,Where is Mary? 
1,kitchen,The most recent location of Sandra is bathroom.,Where is Sandra? 
2,kitchen,The most recent location of Mary is kitchen.,Where is Mary? 
3,kitchen,The most recent location of John is office.,Where is John? 
4,bedroom,The most recent location of Sandra is bedroom.,Where is Sandra? 
5,office,The most recent location of John is office.,Where is John? 
6,garden,The most recent location of Mary is garden.,Where is Mary? 
7,bathroom,The most recent location of Sandra is bathroom.,Where is Sandra? 
8,kitchen,The most recent location of Mary is kitchen.,Where is Mary? 
9,bedroom,The most recent location of John is bedroom.,Where is John? 
10,office,The most recent location of Daniel is office.,Where is Daniel? 
11,office,The most recent location of Daniel is kitchen.,Where is Daniel? 
12,bathroom,The most recent location of Mary is garden.,Where is Mary? 
13,bathroom,The most recent location of Sandra is kitchen.,Where is Sandra? 
14,bathroom,The most recent location of Sandra is bathroom.,Where is Sandra? 
15,hallway,The most recent location of Mary is hallway.,Where is Mary? 
16,kitchen,The most recent location of Sandra is kitchen.,Where is Sandra? 
17,office,The most recent location of Daniel is office.,Where is Daniel? 
18,kitchen,The most recent location of 'Sandra' is 'kitchen'.,Where is Sandra? 
19,bedroom,The most recent location of John is kitchen.,Where is John? 
20,hallway,The most recent location of Sandra is hallway.,Where is Sandra? 
21,bedroom,The most recent location of Mary is bedroom.,Where is Mary? 
22,bedroom,The most recent location of ’John’ is ’bedroom’.,Where is John? 
23,bedroom,The most recent location of Mary is bedroom.,Where is Mary? 
24,bedroom,The most recent location of ’Mary’ is ’bedroom’.,Where is Mary? 
25,garden,The most recent location of Mary is garden.,Where is Mary? 
26,bedroom,The most recent location of Daniel is bedroom.,Where is Daniel? 
27,office,"s re-check the entire text provided. It's a combination of ""Bill's Lapse"", ""A Doctor of the Old School"", and ""Bilson's Housekeeper"", plus others. The text is very long and I need to find the *absolute last* mention of Sandra.

    Searching ""Sandra"" from the *bottom* of the text up:
    - (Scanning ""Bilson's Housekeeper"" Part III) - Nothing.
    - (Scanning ""Bilson's Housekeeper"" Part II) - ""Sandra went to the office."" (Found near the end of part II).
    - (Wait, looking at the *end* of Part II): ""... 'Perhaps--don't you think?--I had better go first and tell her you want to see her. You see, she might'--He stopped. 'It was part of your promise, you know, that you were NOT to see her",Where is Sandra? 
28,office,The most recent location of Sandra is office.,Where is Sandra? 
29,garden,The most recent location of ’Sandra’ is ’garden’.,Where is Sandra? 
30,garden,The most recent location of Daniel is garden.,Where is Daniel? 
31,bathroom,The most recent location of Mary is bathroom.,Where is Mary? 
32,office,The most recent location of ’Mary’ is ’office’.,Where is Mary? 
33,kitchen,The most recent location of Sandra is bathroom.,Where is Sandra? 
34,garden,The most recent location of Sandra is garden.,Where is Sandra? 
35,kitchen,The most recent location of Sandra is kitchen.,Where is Sandra? 
36,kitchen,The most recent location of Sandra is kitchen.,Where is Sandra? 
37,garden,The most recent location of John is garden.,Where is John? 
