,target,output,question
0,bedroom,"hallway (Document[6]):""The hallway is east of the bathroom",What is the bathroom east of?
1,bedroom,"bedroom (Document[8]):""The hallway is south of the kitchen .",What is west of the kitchen?
2,bathroom,"bathroom (Document[138]):""The hallway is north of",What is north of the garden?
3,bedroom,"bathroom (Document[141]):""The hallway is south of",What is south of the kitchen?
4,bedroom,"bedroom (Document[194]):""The hallway is south of the",What is east of the kitchen?
5,garden,"bedroom (Document[229]):""The hallway is south of the",What is the bathroom west of?
6,kitchen,"garden (Document[119]):""The garden is west of the bed",What is east of the bedroom?
7,bathroom,"bedroom (Document[109]):""The garden is west of the bed",What is the garden south of?
8,kitchen,"kitchen (Document[19]):""The hallway is south of the kitchen",What is south of the office?
9,office,"the garden (Document[1675]):""The hallway is east of",What is east of the hallway?
10,garden,"garden (Answer: garden)

<context>
I visited also the Bod",What is north of the office?
11,garden,"bedroom (Document[109]):""The hallway is south of the",What is south of the kitchen?
12,bathroom,"bathroom (Document[12]):""The hallway is south of the",What is east of the kitchen?
13,garden,"garden (Document[119]):""The garden is west of the bed",What is west of the kitchen?
14,garden,"garden (Document[109]):""The garden is west of the bed",What is north of the bedroom?
15,garden,"garden (Document[7]):""The garden is east of the hallway.""",What is east of the hallway?
16,hallway,"hallway (Document[15]):""The hallway is east of the office.""",What is east of the office?
17,office,"the hallway (Document[19]):""The hallway is south of the",What is south of the bathroom?
18,garden,"the hallway (Document[109]):""The hallway is south of",What is the bedroom north of?
19,garden,"bedroom (Document[109]):""The hallway is south of the",What is the kitchen west of?
20,garden,"hallway (Document[21]):""The hallway is east of the office",What is the office east of?
21,garden,"hallway (Document[109]):""The hallway is south of the",What is the bathroom south of?
22,bathroom,"the hallway (Document[109]):""The hallway is south of",What is north of the bedroom?
23,bathroom,"the hallway (Document[109]):""The hallway is south of",What is the bedroom south of?
24,hallway,"the hallway (Document[62]):""The hallway is south of the",What is the bedroom west of?
25,office,"kitchen (Document[26]):""The hallway is south of the kitchen",What is east of the bathroom?
26,office,"hallway (Document[10th July, 1675]):""",What is north of the bedroom?
27,hallway,"hallway (Document[119]):""The hallway is south of the",What is west of the bathroom?
28,garden,"bedroom (Document[198]):""The hallway is south of the",What is the bathroom north of?
29,garden,"garden (Document[28]):""The garden is north of the office.""",What is north of the office?
30,bedroom,"bedroom (Document[109]):""The hallway is south of the",What is east of the kitchen?
31,kitchen,"bedroom (Document[109]):""The hallway is south of the",What is the bathroom east of?
32,bathroom,"bedroom (Document[12]):""The garden is west of the bedroom",What is north of the garden?
33,kitchen,"the hallway (Document[37]):""The hallway is south of the",What is the bedroom west of?
34,bedroom,"bedroom (Document[129]):""The hallway is south of the",What is the kitchen south of?
35,garden,"bedroom (Document[1661]):""The hallway is south of",What is the bathroom east of?
36,office,"office (Document[159]):""The hallway is south of the kitchen",What is south of the hallway?
37,bedroom,"bedroom (Document[58]):""The hallway is south of the bath",What is north of the bathroom?
38,bedroom,"bedroom (Document[63]):""The hallway is south of the kitchen",What is the bathroom east of?
39,office,"office (Document[129]):""The office is north of the bedroom",What is north of the bedroom?
40,bathroom,"bathroom (Document[196]):""The hallway is south of",What is south of the kitchen?
41,bedroom,"bedroom (Document[1884]):""The bedroom is west of",What is west of the office?
42,kitchen,"bedroom (Document[109]):""The garden is west of the bed",What is the garden south of?
43,garden,"garden (Document[119]):""The garden is west of the bed",What is south of the bedroom?
44,garden,"hallway (Document[159]):""The hallway is south of the",What is the office south of?
45,hallway,bedroom (Answer: The hallway is south of the kitchen. The bedroom is,What is the office east of?
46,garden,"garden (Document[119]):""The hallway is south of the",What is south of the office?
47,garden,"garden (Document[119]):""The garden is west of the bed",What is west of the bedroom?
48,garden,"garden (Document[60]):""The garden is east of the hallway",What is east of the hallway?
49,garden,"garden (Document[65]):""The garden is north of the office .",What is the office south of?
50,bedroom,"bedroom (Document[109]):""The hallway is north of the",What is the hallway north of?
51,garden,"the garden (Document[119]):""The garden is north of the bath",What is north of the bathroom?
52,hallway,"the hallway (Document[258]):""The hallway is north of",What is the bedroom north of?
53,bathroom,"bathroom (Document[310]):""The hallway is south of",What is east of the garden?
54,bathroom,"the garden (Document[109]):""The garden is west of the bed",What is west of the bedroom?
55,garden,"bedroom (Document[109]):""The garden is east of the hall",What is east of the hallway?
56,hallway,"the hallway (Document[102]):""The hallway is south of",What is the bedroom east of?
57,kitchen,"garden (Document[108]):""The hallway is south of the",What is west of the hallway?
58,hallway,"hallway (Document[193]):""The hallway is south of the",What is south of the bedroom?
59,kitchen,"bedroom (Document[10]):""The hallway is south of the kitchen",What is the garden north of?
60,hallway,"the hallway (Document[6]):""The hallway is south of the bed",What is the bedroom north of?
61,bedroom,"bedroom (Document[10]):""The hallway is south of the kitchen",What is south of the hallway?
62,kitchen,"bedroom (Document[119]):""The hallway is north of the",What is the hallway north of?
63,hallway,"garden (Document[119]):""The garden is west of the bed",What is west of the bedroom?
64,bedroom,"office (Document[109]):""The hallway is south of the kitchen",What is east of the garden?
65,office,"garden (Answer: The bedroom is north of the garden)

<context",What is the bedroom north of?
66,bathroom,"hallway (Document[88]):""The hallway is north of the bed",What is the bedroom north of?
67,office,"bedroom (Document[98]):""The garden is west of the bedroom",What is the garden south of?
68,kitchen,"the garden (Document[119]):""The garden is west of the bath",What is the bathroom west of?
69,garden,bedroom (Answer: The hallway is south of the kitchen. The bedroom is,What is the hallway east of?
70,bathroom,"the garden (Document[119]):""The garden is west of the bed",What is south of the bedroom?
71,kitchen,bedroom (Answer: The garden is west of the bedroom. The bedroom is,What is the garden south of?
72,garden,"the hallway (Document[408]):""The hallway is south of",What is the bedroom south of?
73,bathroom,"The hallway (Document[109]):""The hallway is north of",What is north of the office?
74,bathroom,"the office (Document[109]):""The hallway is north of the",What is the hallway north of?
75,bedroom,"bedroom (Document[109]):""The hallway is south of the",What is south of the hallway?
76,bedroom,"bedroom (Document[119]):""The hallway is south of the",What is the hallway east of?
77,bathroom,"garden (Answer: The office is north of the garden.)

Question: What",What is north of the office?
78,kitchen,"bedroom (Answer)

The garden is west of the bedroom. The bed",What is east of the garden?
79,hallway,bedroom (Answer: The hallway is south of the kitchen. The bedroom is,What is the kitchen south of?
80,garden,"garden (Document[119]):""The garden is west of the office",What is west of the office?
81,office,"garden (Answer)

<context>
""I sang to you when you",What is the bedroom west of?
82,kitchen,bedroom (Answer: The hallway is south of the kitchen. The bedroom is,What is the hallway south of?
83,garden,"garden (Document[346]):""The garden is east of the office",What is the office west of?
84,bathroom,"office (Document[357]):""The hallway is south of the kitchen",What is north of the hallway?
85,office,"The office (Document[119]):""The garden is west of the bed",What is west of the garden?
86,office,"hallway (Document[119]):""The hallway is south of the",What is west of the garden?
87,garden,"garden (Document[119]):""The garden is east of the bath",What is east of the bathroom?
88,bathroom,"bathroom (Document[119]):""The hallway is south of",What is north of the office?
89,kitchen,"the hallway (Document[103]):""The hallway is south of",What is the bedroom west of?
90,office,"bedroom (Document[134]):""The hallway is south of the",What is the bathroom south of?
91,office,"the hallway (Document[310]):""The hallway is south of",What is east of the bedroom?
92,bedroom,"bedroom (Document[7]):""The hallway is south of the office .",What is south of the office?
93,bathroom,"bedroom (Document[10]):""The garden is west of the bedroom",What is the garden west of?
94,garden,"garden (Document[20]):""The hallway is west of the bed",What is the bedroom west of?
95,hallway,"hallway (Document[752]):""The hallway is north of the",What is north of the garden?
96,bedroom,"bedroom (Document[756]):""The hallway is south of the",What is the kitchen west of?
97,kitchen,"the office (Document[150]):""The office is west of the kitchen",What is west of the bedroom?
98,bathroom,"bedroom (Document[109]):""The hallway is south of the",What is the kitchen north of?
99,garden,"bedroom (Document[354]):""The hallway is south of the",What is the office north of?
100,bedroom,"bedroom (Document[105]):""The hallway is south of the",What is east of the hallway?
101,kitchen,"bedroom (Document[24]):""The hallway is south of the kitchen",What is south of the hallway?
102,bedroom,bedroom (Answer: The hallway is south of the kitchen. The bedroom is,What is the office west of?
103,bathroom,"bedroom (Document[119]):""The hallway is south of the",What is the kitchen north of?
104,hallway,"garden (Document[129]):""The hallway is west of the",What is west of the bedroom?
105,bedroom,"bedroom (Document[175]):""The hallway is south of the",What is west of the kitchen?
106,office,"bedroom (Answer)
</example>

<context>
The hallway",What is the kitchen south of?
107,bathroom,"bedroom (Document[109]):""The garden is west of the bed",What is west of the garden?
108,bedroom,"bedroom (Document[109]):""The garden is west of the bed",What is the bathroom south of?
109,bathroom,"bedroom (Document[102]):""The hallway is south of the",What is the kitchen west of?
110,garden,bedroom (Answer: The hallway is south of the kitchen. The bedroom is,What is the hallway west of?
111,hallway,"bedroom (Answer)

The hallway is south of the kitchen. The bed",What is the kitchen south of?
112,office,"office (Document[112]):""The office is south of the bathroom",What is south of the bathroom?
113,hallway,"bedroom (Document[109]):""The hallway is south of the",What is the office west of?
114,bedroom,"bedroom (Document[119]):""The hallway is south of the",What is the kitchen north of?
115,office,"bedroom (Document[100]):""The garden is west of the bed",What is the garden east of?
116,bedroom,"bedroom (Document[102]):""The hallway is south of the",What is the hallway south of?
117,bedroom,"bedroom (Document[105]):""The garden is west of the bed",What is the garden west of?
118,hallway,"hallway (Document[119]):""The hallway is north of the",What is north of the office?
119,office,"The office (Document[119]):""The hallway is south of the",What is west of the hallway?
120,bedroom,"bedroom (Document[109]):""The hallway is south of the",What is the bathroom north of?
121,kitchen,"bedroom (Document[109]):""The hallway is north of the",What is the hallway north of?
122,office,"office (Answer: office)

<context>
The hallway is south of",What is east of the bathroom?
123,bathroom,"bedroom (Answer)

<context>
""The Duchess's somewhat",What is north of the hallway?
124,bathroom,"the hallway (Document[119]):""The hallway is north of",What is the bedroom north of?
125,kitchen,"bedroom (Document[109]):""The garden is west of the bed",What is west of the garden?
126,bathroom,"garden (Document[119]):""The garden is north of the bath",What is north of the kitchen?
127,hallway,"garden (Document[119]):""The garden is east of the bed",What is the bedroom east of?
128,garden,"the hallway (Document[119]):""The hallway is south of",What is the bedroom south of?
129,hallway,"bedroom (Document[109]):""The hallway is south of the",What is east of the bathroom?
130,garden,"hallway (Document[109]):""The hallway is east of the",What is the bedroom east of?
131,kitchen,"bedroom (Answer)

<context>
The hallway is south of the",What is south of the bathroom?
132,kitchen,"bedroom (Document[10]):""The garden is west of the bedroom",What is east of the garden?
133,bathroom,bedroom (Answer: The hallway is south of the kitchen. The bedroom is,What is the hallway east of?
134,office,"bedroom (Answer: hallway)

Question: What is the hallway west",What is the hallway east of?
135,kitchen,"bedroom (Document[109]):""The garden is west of the bed",What is the garden east of?
136,bathroom,"kitchen (Document[129]):""The hallway is south of the",What is the bedroom south of?
137,hallway,"bedroom (Answer: bedroom)

<context>
degree, but",What is the garden east of?
138,kitchen,"bedroom (Document[10]):""The hallway is south of the kitchen",What is south of the hallway?
139,hallway,"hallway (Document[109]):""The hallway is west of the",What is west of the kitchen?
140,kitchen,"bedroom (Document[109]):""The garden is west of the bed",What is north of the garden?
141,office,"bedroom (Document[109]):""The hallway is south of the",What is the kitchen west of?
142,bathroom,"bedroom (Document[109]):""The hallway is south of the",What is the kitchen north of?
143,bathroom,"garden (Document[119]):""The garden is west of the bed",What is east of the kitchen?
144,bathroom,"bedroom (Document[109]):""The hallway is south of the",What is east of the garden?
145,kitchen,"bedroom (Document[109]):""The hallway is south of the",What is the office south of?
146,hallway,"bedroom (Document[109]):""The garden is west of the bed",What is the kitchen north of?
147,hallway,"the hallway (Document[109]):""The hallway is south of",What is the bedroom west of?
148,bathroom,"bathroom (Document[109]):""The office is north of the",What is the office west of?
149,hallway,"hallway (Document[26]):""The hallway is south of the office",What is the office south of?
150,bathroom,"bedroom (Document[109]):""The hallway is south of the",What is north of the hallway?
151,garden,"hallway (Document[109]):""The hallway is east of the",What is the bathroom east of?
152,kitchen,"bedroom (Answer)

<context>
""I'm not sure,""",What is the bathroom east of?
153,hallway,"hallway (Document[2]):""The hallway is south of the kitchen .",What is south of the kitchen?
154,hallway,"bedroom (Document[109]):""The hallway is south of the",What is south of the office?
155,garden,"garden (Document[119]):""The garden is west of the bed",What is the bedroom west of?
156,office,"the bathroom (Document[119]):""The garden is west of the",What is south of the bedroom?
157,bathroom,"bathroom (Document[119]):""The hallway is north of",What is north of the garden?
158,garden,"the office (Answer: office)

<context>
""I'm glad",What is the bedroom east of?
159,bedroom,"bedroom (Document[10]):""The hallway is south of the kitchen",What is south of the kitchen?
160,hallway,"bedroom (Document[11]):""The hallway is north of the office",What is the office south of?
161,bathroom,"bedroom (Document[228]):""The garden is west of the bed",What is north of the garden?
162,hallway,"hallway (Document[229]):""The hallway is east of the",What is east of the bathroom?
163,hallway,bedroom (Answer: The hallway is south of the kitchen. The bedroom is,What is the office east of?
164,bathroom,"garden (Document[119]):""The hallway is south of the",What is the office west of?
165,kitchen,"garden (Document[119]):""The garden is west of the bed",What is west of the bedroom?
166,office,"the office (Document[119]):""The hallway is north of the",What is north of the hallway?
167,garden,"garden (Document[119]):""The hallway is south of the",What is the office north of?
168,kitchen,"kitchen (Document[159]):""The hallway is south of the",What is west of the hallway?
169,bedroom,"bedroom (Document[109]):""The hallway is south of the",What is the garden south of?
170,hallway,"the hallway (Document[119]):""The hallway is south of",What is the bedroom north of?
171,bathroom,"bedroom (Document[119]):""The hallway is west of the",What is the hallway west of?
172,kitchen,"the office (Document[119]):""The hallway is south of the",What is north of the garden?
173,hallway,"bedroom (Document[119]):""The garden is west of the bed",What is the bathroom north of?
174,bathroom,"hallway (Document[109]):""The hallway is south of the",What is south of the office?
175,office,"office (Document[129]):""The hallway is south of the kitchen",What is east of the bathroom?
176,hallway,"the garden (Document[119]):""The garden is west of the bed",What is the bedroom west of?
