,target,output,result,question
0,football, Jeff gave the football to Mary.,1.0,What did Jeff give to Mary? 
1,Fred,903-908.] Fred handed the apple to Mary.,1.0,Who gave the apple? 
2,Fred, Fred,1.0,Who received the apple? 
3,Fred, Mary,0.0,Who received the football? 
4,Jeff, Bill,0.0,Who received the apple? 
5,Bill, Mary,0.0,Who gave the milk to Jeff? 
6,Bill, Jeff,0.0,Who did Mary give the football to? 
7,Fred, Mary,0.0,Who received the apple? 
8,Mary, Mary,1.0,Who did Fred give the apple to? 
9,apple, Mary gave Bill the apple.,1.0,What did Mary give to Bill? 
10,apple, Mary gave the apple to Fred.,1.0,What did Mary give to Fred? 
11,Bill, Mary,0.0,Who gave the football? 
12,Fred,1,0.0,Who gave the apple? 
13,football, Jeff gave the football to Fred.,1.0,What did Jeff give to Fred? 
14,Mary, Mary,1.0,Who gave the football to Fred? 
15,apple, Fred gave the apple to Bill.,1.0,What did Fred give to Bill? 
16,Bill, Bill,1.0,Who did Fred give the milk to? 
17,Mary, Mary,1.0,Who did Bill give the milk to? 
18,Bill, The lady,0.0,Who gave the milk? 
19,Fred, Fred,1.0,Who gave the football to Mary? 
20,Bill, Bill,1.0,Who gave the football? 
21,milk," Jeff gave the milk to Bill.

What did Bill give to Jeff?  Bill passed the milk",1.0,What did Jeff give to Bill? 
22,Bill, Bill,1.0,Who gave the milk to Fred? 
23,Mary, Jeff,0.0,Who gave the milk? 
24,Fred, Bill,0.0,Who gave the apple to Mary? 
25,milk, Milk,1.0,What did Fred give to Mary? 
26,football, Mary gave the football to Bill.,1.0,What did Mary give to Bill? 
27,Mary, Mary,1.0,Who gave the milk to Fred? 
28,Fred, Mary,0.0,Who received the milk? 
29,apple, Mary gave the apple to Bill.,1.0,What did Mary give to Bill? 
30,Fred," Jeff handed the apple to Fred.

Fred passed the apple to Jeff.

""You have paid me a",1.0,Who gave the apple? 
31,Mary, Bill,0.0,Who gave the apple to Bill? 
32,apple, an apple,1.0,What did Fred give to Mary? 
33,Mary, Mary,1.0,Who gave the milk to Jeff? 
34,apple, Jeff gave an apple to Mary.,1.0,What did Jeff give to Mary? 
35,Mary, Mary,1.0,Who did Bill give the football to? 
36,football, Mary gave the football to Jeff.,1.0,What did Mary give to Jeff? 
37,Fred,1,0.0,Who gave the apple to Bill? 
38,apple, Fred gave an apple to Bill.,1.0,What did Fred give to Bill? 
39,Bill, Bill,1.0,Who received the apple? 
40,Mary, Mary,1.0,Who gave the apple? 
41,Mary, Jeff,0.0,Who gave the football? 
42,Mary, Bill handed the apple to Mary.,1.0,Who did Bill give the apple to? 
43,Jeff, Jeff,1.0,Who gave the apple to Fred? 
44,apple, Bill gave the apple to Mary.,1.0,What did Bill give to Mary? 
45,Fred, Jeff,0.0,Who received the apple? 
