,target,output,question
0,hallway,"The milk is mentioned in the following context:

""Mary got the milk",Where is the milk? 
1,hallway,"The football is located in the hallway, as indicated by the passage: ""John got",Where is the football? 
2,hallway,The football is mentioned in the context as being in the hallway.,Where is the football? 
3,hallway,The football is mentioned in the context as being in the hallway.,Where is the football? 
4,garden,The milk is mentioned in the context as being obtained in Jaffnapatam,Where is the milk? 
5,garden,"The milk is located in the context at the following sentence:

""Sandra",Where is the milk? 
6,bedroom,"The football is located in the bedroom, as indicated by the context: ""Daniel",Where is the football? 
7,bedroom,The milk is in the kitchen.,Where is the milk? 
8,kitchen,The football is mentioned in the context as being dropped by Daniel.,Where is the football? 
9,kitchen,The football is located in the hallway.,Where is the football? 
10,bedroom,"The football is located in the garden, as indicated by the context: ""Daniel",Where is the football? 
11,hallway,"The football is missing from the context. It was last seen in the hallway, where",Where is the football? 
12,garden,The milk is in the kitchen.,Where is the milk? 
13,garden,The milk is mentioned in the context as being provided by Mary in the kitchen.,Where is the milk? 
14,bathroom,The apple is not explicitly mentioned in the provided text.,Where is the apple? 
15,garden,"The milk is mentioned in the context as being in the kitchen, where Mary grabbed it",Where is the milk? 
16,garden,"The milk is mentioned in the passage as being from goats or cows, specifically from",Where is the milk? 
17,garden,"The milk is mentioned in the context as being in the ""kitchen"" by Sandra",Where is the milk? 
18,kitchen,The apple is mentioned in the context as being grabbed by Daniel in the kitchen.,Where is the apple? 
19,kitchen,The apple is mentioned in the context as being discarded by Daniel when he picked up the,Where is the apple? 
20,bedroom,The apple is mentioned in the context as being taken by Mary from the table.,Where is the apple? 
21,bedroom,"The apple is located in the bedroom, specifically on the table where Kneirtje",Where is the apple? 
22,bathroom,"The football is located in the hallway, as indicated by the statement ""Daniel put",Where is the football? 
23,bathroom,The football is located in the kitchen.,Where is the football? 
24,bedroom,"The milk is located in the bedroom, as stated in the context: ""John grabbed",Where is the milk? 
25,kitchen,"The milk is located in the kitchen, as indicated by the statement ""Moses held",Where is the milk? 
26,kitchen,The milk is not explicitly mentioned in the given context.,Where is the milk? 
