,target,output,question
0,yes,yes,Is Julie in the cinema? 
1,no,no,Is Fred in the cinema? 
2,no,no,Is Mary in the school? 
3,maybe,no,Is Bill in the school? 
4,yes,no,Is Bill in the office? 
5,yes,no,Is Julie in the kitchen? 
6,no,maybe,Is Julie in the kitchen? 
7,yes,no,Is Bill in the bedroom? 
8,yes,yes,Is Mary in the school? 
9,yes,no,Is Fred in the school? 
10,yes,yes,Is Julie in the school? 
11,yes,yes,Is Mary in the school? 
12,yes,yes,Is Mary in the school? 
13,yes,yes,Is Fred in the park? 
14,no,no,Is Bill in the cinema? 
15,no,no,Is Fred in the cinema? 
16,no,no,Is Julie in the office? 
17,no,no,Is Mary in the kitchen? 
18,no,no,Is Bill in the kitchen? 
19,maybe,no,Is Bill in the park? 
20,yes,maybe,Is Fred in the cinema? 
21,yes,yes,Is Bill in the cinema? 
22,yes,yes,Is Bill in the bedroom? 
23,no,no,Is Bill in the kitchen? 
24,no,no,Is Julie in the school? 
25,no,maybe,Is Mary in the kitchen? 
26,yes,yes,Is Mary in the office? 
27,yes,no,Is Bill in the school? 
28,yes,yes,Is Fred in the bedroom? 
29,yes,yes,Is Mary in the cinema? 
30,maybe,no,Is Julie in the bedroom? 
31,no,no,Is Mary in the school? 
32,maybe,yes,Is Bill in the office? 
33,no,no,Is Fred in the kitchen? 
34,no,no,Is Julie in the cinema? 
35,yes,yes,Is Bill in the bedroom? 
36,no,no,Is Julie in the cinema? 
37,maybe,no,Is Bill in the school? 
38,yes,yes,Is Julie in the park? 
39,yes,yes,Is Bill in the cinema? 
40,no,no,Is Fred in the cinema? 
41,yes,yes,Is Fred in the school? 
42,yes,yes,Is Mary in the school? 
43,no,no,Is Mary in the bedroom? 
44,yes,no,Is Mary in the school? 
45,yes,maybe,Is Bill in the school? 
46,no,no,Is Julie in the park? 
47,no,no,Is Bill in the school? 
48,no,no,Is Mary in the cinema? 
49,maybe,maybe,Is Fred in the office? 
50,maybe,maybe,Is Bill in the kitchen? 
51,yes,no,Is Mary in the kitchen? 
52,no,no,Is Mary in the park? 
53,no,no,Is Julie in the park? 
54,maybe,no,Is Fred in the office? 
55,yes,yes,Is Fred in the school? 
56,no,no,Is Fred in the park? 
57,no,no,Is Fred in the cinema? 
58,no,no,Is Mary in the cinema? 
59,yes,yes,Is Julie in the office? 
60,no,no,Is Fred in the cinema? 
61,no,no,Is Bill in the park? 
62,maybe,no,Is Julie in the bedroom? 
63,yes,yes,Is Fred in the office? 
64,no,no,Is Fred in the kitchen? 
65,no,no,Is Fred in the office? 
66,no,maybe,Is Bill in the school? 
67,no,no,Is Fred in the cinema? 
68,no,no,Is Mary in the cinema? 
69,yes,yes,Is Mary in the cinema? 
70,yes,yes,Is Bill in the kitchen? 
71,no,maybe,Is Fred in the bedroom? 
72,maybe,maybe,Is Fred in the office? 
73,no,no,Is Julie in the bedroom? 
74,yes,no,Is Fred in the office? 
75,yes,yes,Is Bill in the bedroom? 
76,no,no,Is Mary in the office? 
77,no,yes,Is Julie in the bedroom? 
78,yes,yes,Is Mary in the cinema? 
79,yes,no,Is Mary in the office? 
80,yes,no,Is Fred in the bedroom? 
81,yes,yes,Is Bill in the bedroom? 
82,yes,no,Is Mary in the office? 
83,yes,yes,Is Julie in the school? 
84,yes,yes,Is Bill in the bedroom? 
85,no,no,Is Fred in the bedroom? 
86,no,no,Is Mary in the office? 
87,yes,Yes,Is Mary in the cinema? 
88,yes,no,Is Bill in the school? 
89,yes,yes,Is Mary in the office? 
90,yes,yes,Is Julie in the kitchen? 
91,yes,yes,Is Bill in the cinema? 
92,yes,no,Is Bill in the kitchen? 
93,maybe,yes,Is Bill in the office? 
94,no,no,Is Julie in the park? 
95,maybe,maybe,Is Fred in the kitchen? 
96,maybe,maybe,Is Julie in the school? 
97,no,no,Is Julie in the kitchen? 
98,yes,yes,Is Julie in the bedroom? 
99,no,no,Is Fred in the school? 
