from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,lr_scheduler,max_n_segments,num_mem_tokens,model_path,num_steps,exact_match,k2,freeze_model_weights
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,2,1,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem1_bs64_bptt--1_from_cpt_1-2/run_1,5000.0,0.9269269108772278,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,64,linear,1,1,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem1_bs64_bptt--1_from_cpt_0-1/run_1,1060.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,2,16,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_qs_from_cpt_1-2/run_1,5000.0,0.9980000257492065,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,64,linear,1,16,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_from_cpt_0-1/run_1,700.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,4,16,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_qs_from_cpt_2-4/run_1,5000.0,0.9980000257492065,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,16,linear,4,1,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_4x512_mem1_bs64_bptt--1_from_cpt_2-4/run_1,5000.0,0.8138138055801392,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,6,16,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_6x512_mem16_bs64_bptt--1_qs_from_cpt_4-6/run_1,5000.0,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,6,1,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_6x512_mem1_bs64_bptt--1_from_cpt_4-6/run_1,5000.0,0.759759783744812,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,8,16,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_qs_from_cpt_6-8/run_1,5000.0,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,4,linear,16,16,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_qs_from_cpt_8-16/run_1,5000.0,0.9959999918937683,-1,False
