,target,output,question
0,bathroom,The most recent location of Mary is bedroom.,Where is Mary? 
1,kitchen,The most recent location of Sandra is bathroom.,Where is Sandra? 
2,kitchen,The most recent location of Mary is the kitchen.,Where is Mary? 
3,kitchen,The most recent location of John is office.,Where is John? 
4,bedroom,The most recent location of Sandra is bedroom.,Where is Sandra? 
5,office,The most recent location of John is office.,Where is John? 
6,garden,The most recent location of 'Mary' is 'garden'.,Where is Mary? 
7,bathroom,Answer: The most recent location of Sandra is bathroom.,Where is Sandra? 
8,kitchen,The most recent location of Mary is kitchen.,Where is Mary? 
9,bedroom,The most recent location of John is bedroom.,Where is John? 
10,office,Answer: The most recent location of Daniel is office.,Where is Daniel? 
11,office,Answer: The most recent location of Daniel is hallway.,Where is Daniel? 
12,bathroom,Answer: The most recent location of Mary is garden.,Where is Mary? 
13,bathroom,The most recent location of ’Sandra’ is ’kitchen’.,Where is Sandra? 
14,bathroom,Answer: The most recent location of Sandra is bedroom.,Where is Sandra? 
15,hallway,Answer: The most recent location of Mary is office.,Where is Mary? 
16,kitchen,The most recent location of ’Sandra’ is ’bathroom’.,Where is Sandra? 
17,office,The most recent location of Daniel is office.,Where is Daniel? 
18,kitchen,Answer: The most recent location of Sandra is hallway.,Where is Sandra? 
19,bedroom,Answer: The most recent location of John is bathroom.,Where is John? 
20,hallway,Answer: The most recent location of Sandra is kitchen.,Where is Sandra? 
21,bedroom,Answer: The most recent location of Mary is bedroom.,Where is Mary? 
22,bedroom,The most recent location of 'John' is 'bedroom'.,Where is John? 
23,bedroom,The most recent location of Mary is bedroom.,Where is Mary? 
24,bedroom,The most recent location of Mary is bedroom.,Where is Mary? 
25,garden,Answer: The most recent location of Mary is the hallway.,Where is Mary? 
26,bedroom,The most recent location of Daniel is bedroom.,Where is Daniel? 
27,office,The most recent location of Sandra is bathroom.,Where is Sandra? 
28,office,The most recent location of Sandra is bathroom.,Where is Sandra? 
29,garden,The most recent location of Sandra is garden.,Where is Sandra? 
30,garden,The most recent location of Daniel is the garden.,Where is Daniel? 
31,bathroom,The most recent location of Mary is bathroom.,Where is Mary? 
32,office,Answer: The most recent location of Mary is office.,Where is Mary? 
33,kitchen,The most recent location of Sandra is bathroom.,Where is Sandra? 
34,garden,The most recent location of Sandra is bathroom.,Where is Sandra? 
35,kitchen,The most recent location of Sandra is kitchen.,Where is Sandra? 
36,kitchen,Answer: The most recent location of Sandra is kitchen.,Where is Sandra? 
37,garden,The most recent location of John is garden.,Where is John? 
38,garden,The most recent location of Sandra is kitchen.,Where is Sandra? 
39,bathroom,Answer: The most recent location of Sandra is garden.,Where is Sandra? 
40,bedroom,The most recent location of ’Mary’ is ’the bedroom’.,Where is Mary? 
