,target,output,question
0,bedroom,"Label: bedroom

<context>
""Come, Padre,"" continued Ros",What is the bathroom east of?
1,bedroom,Label: bedroom,What is west of the kitchen?
2,bathroom,"Label: hallway

<context>
""I have been thinking, Padre",What is north of the garden?
3,bedroom,Label: bedroom,What is south of the kitchen?
4,bedroom,"Label: bedroom

<context>
The hallway is south of the garden",What is east of the kitchen?
5,garden,"Output: hallway

<context>
""I'm going to have a",What is the bathroom west of?
6,kitchen,"Label: garden

<context>
Little Alice
fairly cried when",What is east of the bedroom?
7,bathroom,"Label: bedroom

Question: What is the garden north of?

Label",What is the garden south of?
8,kitchen,"Label: bedroom

<example>
The hallway is south of the office",What is south of the office?
9,office,"Label: bedroom

<context>
Came to visit me my Lord Chan",What is east of the hallway?
10,garden,"Label: hallway

<context>
I went to see Sir Thomas Bond'",What is north of the office?
11,garden,"Label: bedroom

<context>
The hallway is south of the kitchen",What is south of the kitchen?
12,bathroom,"Label: bedroom

<context>
The hallway is south of the kitchen",What is east of the kitchen?
13,garden,"Label: bedroom

<context>
""I have promised,"" said Edith",What is west of the kitchen?
14,garden,"Label: garden

<context>
The hallway is south of the kitchen.",What is north of the bedroom?
15,garden,"Label: bedroom

<context>
The hallway is south of the garden",What is east of the hallway?
16,hallway,"Label: bedroom

<context>
The hallway is east of the office",What is east of the office?
17,office,"Label: bedroom

<context>
The hallway is south of the kitchen",What is south of the bathroom?
18,garden,"Label: bedroom

<context>
[Illustration: ""HOPPS'",What is the bedroom north of?
19,garden,"Label: bedroom

<context>
The hallway is south of the kitchen",What is the kitchen west of?
20,garden,"Label: bedroom

<context>
The hallway is east of the office",What is the office east of?
21,garden,"Label: bedroom





<context>
--SYDNE",What is the bathroom south of?
22,bathroom,"Label: bathroom
<example>
The hallway is south of the kitchen.",What is north of the bedroom?
23,bathroom,"Label: bedroom

Question: What is the garden west of?

Label",What is the bedroom south of?
24,hallway,"Label: bedroom

<context>
_The proper reading of the line referred",What is the bedroom west of?
25,office,"Label: bedroom

<context>
My Lord (who was Admiral of",What is east of the bathroom?
26,office,"Label: hallway

<context>
The Duke of Ormond, and the",What is north of the bedroom?
27,hallway,"Label: bedroom

<example>
The hallway is west of the bath",What is west of the bathroom?
28,garden,"Label: bedroom

<context>
This conjecture
is founded on there",What is the bathroom north of?
29,garden,"Label: garden


Question: What is south of the garden?

Label",What is north of the office?
30,bedroom,"Context: _London, Published by J. Taylor High Holborn._]",What is east of the kitchen?
31,kitchen,"Output: hallway

<context>
The hallway is east of the bath",What is the bathroom east of?
32,bathroom,"Label: bedroom


<context>
The hallway is south of the",What is north of the garden?
33,kitchen,"Label: hallway

<context>
The bedroom is north of the hall",What is the bedroom west of?
34,bedroom,"Label: bedroom

<context>
'E
was only a workin",What is the kitchen south of?
35,garden,"Label: bedroom

<context>
The hallway is south of the kitchen",What is the bathroom east of?
36,office,"Label: bedroom

<context>
He told me in discourse that my",What is south of the hallway?
37,bedroom,Context: The hallway is south of the bathroom. The bedroom is north of,What is north of the bathroom?
38,bedroom,Context: The hallway is south of the kitchen. The bedroom is north of the,What is the bathroom east of?
39,office,"Label: office

<context>
This is the afternoon
when Bohemia is",What is north of the bedroom?
40,bathroom,"Label: bedroom




  TRANSCRIBER'S AM",What is south of the kitchen?
41,bedroom,Label: bedroom,What is west of the office?
42,kitchen,"Label: bedroom

<context>
""My dear,"" said a sensible Dutch",What is the garden south of?
43,garden,"Label: garden

<context>
The hallway is north of the bathroom",What is south of the bedroom?
44,garden,"Label: bedroom
</context>

Question: What is the office south of",What is the office south of?
45,hallway,"Output: bedroom
</example>
<example>
The hallway is north",What is the office east of?
46,garden,"Label: bedroom

<context>
The hallway is south of the kitchen",What is south of the office?
47,garden,"Label: garden

<context>
The hallway is south of the kitchen.",What is west of the bedroom?
48,garden,"Label: bedroom

<context>
The garden is east of the hallway",What is east of the hallway?
49,garden,"Label: bedroom

<context>
The hallway is south of the office",What is the office south of?
50,bedroom,"Label: bedroom

<context>
The hallway is north of the bed",What is the hallway north of?
51,garden,"Label: bedroom

<context>
The hallway is south of the kitchen",What is north of the bathroom?
52,hallway,"Label: garden

<context>
The hallway is south of the garden.",What is the bedroom north of?
53,bathroom,Label: bedroom,What is east of the garden?
54,bathroom,Label: bedroom,What is west of the bedroom?
55,garden,"Label: bedroom




[Illustration: HUMOROUS]",What is east of the hallway?
56,hallway,"Label: hallway

<context>
The
second was, however, we",What is the bedroom east of?
57,kitchen,"Label: garden

<context>
The hallway is south of the garden.",What is west of the hallway?
58,hallway,Label: hallway,What is south of the bedroom?
59,kitchen,"Label: bedroom



SCENE VII


_The same",What is the garden north of?
60,hallway,"Label: hallway

<context>
The hallway is south of the bed",What is the bedroom north of?
61,bedroom,"Label: bedroom

<context>
""Because his life may be more",What is south of the hallway?
62,kitchen,"Label: bedroom

<context>
""I have not the slightest doubt",What is the hallway north of?
63,hallway,Context: The garden is west of the bedroom. The bedroom is west of the,What is west of the bedroom?
64,bedroom,"Label: bedroom


Question: What is west of the bedroom?",What is east of the garden?
65,office,"Label: garden

<context>
The hallway is south of the garden.",What is the bedroom north of?
66,bathroom,"Label: garden

<context>
The hallway is north of the bedroom",What is the bedroom north of?
67,office,"Label: bedroom

<example>
The hallway is south of the garden",What is the garden south of?
68,kitchen,"Label: bedroom

<context>
The hallway is south of the kitchen",What is the bathroom west of?
69,garden,"Label: bedroom

<context>
""Mammy,"" she said,",What is the hallway east of?
70,bathroom,"Label: garden

<context>
The street was still, save for
the",What is south of the bedroom?
71,kitchen,"Output: bedroom

<context>
The hallway is south of the kitchen",What is the garden south of?
72,garden,"Label: bedroom

<context>
The hallway is south of the garden",What is the bedroom south of?
73,bathroom,"Output: hallway

<context>
A Frank Admission

It is",What is north of the office?
74,bathroom,"Label: bedroom

<context>
The hallway is north of the bed",What is the hallway north of?
75,bedroom,Label: bedroom,What is south of the hallway?
76,bedroom,"Label: bedroom

<context>
The hallway is north of the garden",What is the hallway east of?
77,bathroom,"Label: garden

<context>
Fancy

   Far in the Further",What is north of the office?
78,kitchen,"Label: bedroom

<context>
The hallway is south of the kitchen",What is east of the garden?
79,hallway,"Answer: bedroom

<context>
The hallway is south of the kitchen",What is the kitchen south of?
80,garden,"Label: bedroom

<context>
The dwelling-house
always seemed",What is west of the office?
81,office,"Output: hallway

<context>
""I sang to you when you asked me",What is the bedroom west of?
82,kitchen,"Label: bedroom

<context>
""Good bye, Margit,""",What is the hallway south of?
83,garden,"Label: bedroom

<context>
The
gums feel quite sore",What is the office west of?
84,bathroom,"Label: bedroom

<context>
The hallway is south of the office",What is north of the hallway?
85,office,"Label: bedroom

<context>
The hallway is south of the kitchen",What is west of the garden?
86,office,"Label: bedroom

<context>
The managing editor looked steadily down",What is west of the garden?
87,garden,"Label: garden

<context>
It grew silent and much cooler as the",What is east of the bathroom?
88,bathroom,"Label: bathroom

<context>
""I'm glad to make your",What is north of the office?
89,kitchen,"Label: hallway

<context>
The hallway is north of the bed",What is the bedroom west of?
90,office,"Label: bedroom

<context>
[Footnote 117: At",What is the bathroom south of?
91,office,"Label: the hallway

<context>
The hallway is south of the",What is east of the bedroom?
92,bedroom,"Label: bedroom

<context>
The hallway is south of the office",What is south of the office?
93,bathroom,"Label: bedroom

<context>
The hallway is south of the kitchen",What is the garden west of?
94,garden,"Label: garden

<context>
The hallway is west of the bedroom",What is the bedroom west of?
95,hallway,"Label: hallway

<context>
The hallway is north of the garden",What is north of the garden?
96,bedroom,"Label: bedroom

<context>
The hallway is south of the kitchen",What is the kitchen west of?
97,kitchen,"Label: bedroom

<context>
The hallway is south of the kitchen",What is west of the bedroom?
98,bathroom,"Label: bedroom

<context>
“I have been simply famishing for",What is the kitchen north of?
99,garden,"Label: bedroom

<context>
""I'm glad you've",What is the office north of?
100,bedroom,Output: bedroom,What is east of the hallway?
101,kitchen,"Output: bedroom
</example>
<example>
The hallway is north",What is south of the hallway?
102,bedroom,"Output: bedroom

<context>
The hallway is south of the kitchen",What is the office west of?
103,bathroom,"Output: bedroom
</example>
<example>
The garden is west of",What is the kitchen north of?
104,hallway,"Output: garden
</example>

<context>
The hallway is west",What is west of the bedroom?
105,bedroom,"Label: bedroom

<context>
The hallway is south of the kitchen",What is west of the kitchen?
