,target,output
0,hallway,Answer: John is in the hallway.
1,bathroom,Answer: Mary is in the bathroom.
2,kitchen,Answer: Sandra is in the kitchen.
3,hallway,Answer: Sandra is in the kitchen.
4,kitchen,Answer: Sandra is in the kitchen.
5,hallway,Answer: Sandra is in the kitchen.
6,garden,Answer: Sandra is in the kitchen.
7,hallway,Answer: Daniel is journeying to the hallway.
8,office,Answer: Sandra is in the kitchen.
9,office,Answer: Daniel is in the hallway.
10,kitchen,Answer: Mary is in the kitchen.
11,garden,Answer: Mary is in the kitchen.
12,office,Answer: Daniel is in the office.
13,bedroom,Answer: Mary is in the kitchen.
14,bedroom,Answer: Mary is in the kitchen.
15,kitchen,Answer: John is in the hallway.
16,garden,Answer: John is in the hallway.
17,kitchen,Answer: John is in the hallway.
18,office,Answer: Daniel is in the office.
19,kitchen,Answer: John is in the hallway.
20,hallway,Answer: Mary is in the kitchen.
21,office,Answer: John is in the office.
22,office,Answer: John is in the office.
23,hallway,Answer: Sandra is in the office.
24,bedroom,Answer: Daniel is in the bedroom.
25,bedroom,Answer: Sandra is in the bedroom.
26,bedroom,Answer: Mary went back to the kitchen.
27,kitchen,Answer: Daniel is in the kitchen.
28,kitchen,Answer: Daniel is in the kitchen.
29,kitchen,Answer: Daniel is in the bedroom.
30,hallway,Answer: Sandra is in the hallway.
31,office,Answer: John is in the office.
32,kitchen,Answer: Sandra is in the kitchen.
33,kitchen,Answer: Sandra is in the kitchen.
34,bathroom,Answer: Sandra is in the kitchen.
35,office,Answer: Mary is in the bedroom.
36,bathroom,Answer: Mary is in the bedroom.
37,garden,Answer: Mary is in the bedroom.
38,kitchen,Answer: Sandra is in the kitchen.
39,bedroom,Answer: Daniel is in the bedroom.
40,bathroom,Answer: Sandra is in the office.
41,garden,Answer: Daniel is in the garden.
42,bathroom,Answer: Sandra is in the office.
43,hallway,Answer: Daniel is in the garden.
44,garden,Answer: Daniel is in the garden.
45,kitchen,Answer: Mary went back to the kitchen.
46,hallway,Answer: Daniel is in the hallway.
47,bathroom,Answer: Sandra is in the garden.
48,office,Answer: John is in the office.
49,bedroom,Answer: John is in the office.
50,bedroom,Answer: John is in the hallway.
51,office,Answer: John is in the hallway.
52,garden,Answer: John is in the hallway.
53,garden,Answer: John is in the hallway.
54,kitchen,Answer: Daniel is in the bedroom.
55,bedroom,Answer: Mary went to the bedroom.
56,kitchen,Answer: Mary went to the bedroom.
57,hallway,Answer: Mary went to the bedroom.
58,garden,Answer: Daniel is in the bathroom.
59,hallway,Answer: Sandra is in the kitchen.
60,hallway,Answer: Sandra is in the hallway.
61,office,Answer: Daniel is in the office.
62,bathroom,Answer: Sandra is in the hallway.
63,garden,Answer: Daniel is in the garden.
64,garden,Answer: Daniel is in the office.
65,kitchen,Answer: John is in the kitchen.
66,kitchen,Answer: John is in the kitchen.
67,bathroom,Answer: Daniel is in the hallway.
68,office,Answer: Daniel is in the kitchen.
69,office,Answer: Daniel is in the bathroom.
70,garden,Answer: Mary is in the garden.
71,hallway,Answer: Sandra is in the bedroom.
72,garden,Answer: Mary is in the garden.
73,bedroom,Answer: Mary is in the garden.
74,bathroom,Answer: Mary is in the garden.
75,kitchen,Answer: Daniel is in the kitchen.
76,kitchen,Answer: John is in the kitchen.
77,kitchen,Answer: Daniel is in the kitchen.
78,hallway,Answer: Daniel is in the kitchen.
79,office,Answer: Daniel is in the kitchen.
80,garden,Answer: John is in the garden.
81,bathroom,Answer: John is in the garden.
82,bedroom,Answer: Sandra is in the kitchen.
83,garden,Answer: Mary went to the garden.
84,office,Answer: Daniel is in the garden.
85,garden,Answer: Sandra is in the garden.
86,garden,Answer: Mary is in the garden.
87,hallway,Answer: John is in the hallway.
88,kitchen,Answer: Sandra is in the garden.
89,kitchen,Answer: Daniel is in the kitchen.
90,bathroom,Answer: Sandra is in the kitchen.
91,bathroom,Answer: John is in the bathroom.
92,hallway,Answer: Sandra is in the kitchen.
