,target,output,question
0,hallway,"the bedroom (Document[375]):""The Pay Accounts must,",Where is the milk? 
1,hallway,"hallway (Document[33]):""John went to the hallway . I",Where is the football? 
2,hallway,"the hallway (Document[151]):""John went to the hallway",Where is the football? 
3,hallway,"hallway (Document[159]):""John went to the hallway .",Where is the football? 
4,garden,"hallway (Document[129]):""Mary went to the hallway",Where is the milk? 
5,garden,"the office (Document[6]):""For some moments the three Stranglers had",Where is the milk? 
6,bedroom,"bedroom (Document[119]):""Daniel journeyed to the bedroom",Where is the football? 
7,bedroom,"the office (Document[159]):""Mary journeyed to the bed",Where is the milk? 
8,kitchen,"the garden (Document[11]):""Daniel went to the garden . People used",Where is the football? 
9,kitchen,"the hallway (Document[129]):""Daniel journeyed to the hall",Where is the football? 
10,bedroom,"the garden (Document[119]):""John went back to the garden.""",Where is the football? 
11,hallway,"the hallway (Document[10]):""John went back to the hallway",Where is the football? 
12,garden,"Daniel's hand (Document[129]):""Daniel dropped the milk .",Where is the milk? 
13,garden,"Inverkip (Document[109]):""Ruby and Jack are sitting",Where is the milk? 
14,bathroom,"Mary picked it up (Document[119]):""Mary picked up",Where is the apple? 
15,garden,"the garden (Document[159]):""John went back to the garden .",Where is the milk? 
16,garden,"the garden (Document[159]):""Mary went to the garden .",Where is the milk? 
17,garden,"the bathroom (Document[159]):""Mary dropped the milk .",Where is the milk? 
18,kitchen,"the office (Document[159]):""I dined to - day with",Where is the apple? 
19,kitchen,"hallway (Document[i90]):""In addition to this memoir,",Where is the apple? 
20,bedroom,"bedroom (Document[103]):""Mary went back to the bed",Where is the apple? 
21,bedroom,"the bedroom (Document[105]):""Mary went back to the",Where is the apple? 
22,bathroom,"the hallway (Document[11]):""_Spurr._ (_to himself",Where is the football? 
23,bathroom,"hallway (Document[11]):""John went back to the hallway .",Where is the football? 
24,bedroom,"the hallway (Document[19]):""Mary went to the hallway",Where is the milk? 
25,kitchen,"the kitchen (Document[29]):""John travelled to the kitchen.""",Where is the milk? 
26,kitchen,"the kitchen (Document[36]):""John grabbed the milk there .",Where is the milk? 
27,bathroom,"the garden (Document[37]):""Sandra journeyed to the garden .",Where is the apple? 
28,bathroom,"the garden (Document[12]):""Sandra went to the office . You",Where is the apple? 
29,kitchen,"Daniel journeyed to the kitchen (Document[3]):""Daniel journeyed to the",Where is the milk? 
30,garden,"garden (Document[10]):""Daniel dropped the apple . If the one",Where is the apple? 
31,garden,"garden (Document[10]):""Daniel went back to the bedroom .",Where is the apple? 
32,kitchen,"the hallway (Document[119]):""Mary went back to the",Where is the football? 
33,kitchen,"the garden (Document[119]):""Mary went to the garden .",Where is the apple? 
34,kitchen,"the garden (Document[129]):""Mary went back to the garden",Where is the apple? 
35,office,"hallway (Document[15]):""Mary went to the hallway .",Where is the milk? 
36,kitchen,"the hallway (Document[129]):""Ruby went to the hall",Where is the football? 
37,kitchen,"John left the football (Document[119]):""John took the football there",Where is the football? 
38,kitchen,"John took the football there (Document[119]):""Another face than",Where is the football? 
39,bedroom,"hallway (Document[10]):""Sandra went to the office . John",Where is the milk? 
40,bedroom,"the hallway (Document[109]):""The chauffeur, the",Where is the milk? 
41,office,"the bedroom (Document[11]):""The tea-things were gone",Where is the milk? 
42,office,"bedroom (Document[119]):""John went to the bedroom .",Where is the milk? 
43,office,"the hallway (Document[109]):""A pig, because he",Where is the milk? 
44,kitchen,"garden (Document[112]):""Mary went to the garden .",Where is the apple? 
45,bedroom,"the hallway (Document[10]):""Hamor gives
him the",Where is the milk? 
46,office,"the office (Document[119]):""The prowess of their f",Where is the football? 
47,bathroom,"the hallway (Document[129]):""John travelled to the hall",Where is the football? 
48,bathroom,"the hallway (Document[119]):""John travelled to the hall",Where is the football? 
49,bedroom,"bedroom (Document[109]):""Mary picked up the milk there",Where is the milk? 
50,bathroom,"Daniel went back to the hallway (Document[119]):""The judge",Where is the milk? 
51,hallway,"hallway (Document[482]):""John went to the hallway .",Where is the apple? 
52,kitchen,"bathroom (Document[12]):""Sandra went to the bathroom",Where is the football? 
53,kitchen,"Sandra put down the football (Document[119]):""Sandra put",Where is the football? 
54,kitchen,"the hallway (Document[119]):""Daniel went back to the hall",Where is the football? 
55,bathroom,"bathroom (Document[119]):""John went to the bathroom",Where is the apple? 
56,bathroom,"bathroom (Document[10]):""John went to the bathroom .",Where is the milk? 
57,kitchen,"the bathroom (Document[119]):""John went to the bathroom",Where is the milk? 
58,kitchen,"the bathroom (Document[15]):""John went to the bathroom .",Where is the milk? 
59,bedroom,"bedroom (Document[119]):""John went to the bedroom .",Where is the apple? 
60,garden,"barn (Document[129]):""Gallegher had listened without",Where is the milk? 
61,garden,"the garden (Document[129]):""John travelled to the garden .",Where is the milk? 
62,kitchen,"John dropped the football (Document[6]):""Mordaunt had an experience",Where is the football? 
63,kitchen,"the garden (Document[100]):""John picked up the football there .",Where is the football? 
64,kitchen,"John's office (Document[119]):""John went to the office",Where is the football? 
65,kitchen,"the garden (Document[119]):""The smith seized it by the",Where is the football? 
66,kitchen,"the office (Document[119]):""Daniel went back to the office .",Where is the football? 
67,bedroom,"bedroom (Document[119]):""Daniel journeyed to the bedroom",Where is the milk? 
68,bedroom,"the office (Document[10]):""Daniel journeyed to the office . He",Where is the milk? 
69,bedroom,"the hallway (Document[19]):""John went to the hallway .",Where is the football? 
70,garden,"the garden (Document[17]):""John went back to the garden . Mary",Where is the apple? 
71,garden,"the garden (Document[209]):""Cameron took a single step",Where is the apple? 
72,bathroom,"the garden (Document[11]):""Sandra moved to the garden . He",Where is the apple? 
73,bathroom,"the garden (Document[119]):""John went back to the garden .",Where is the apple? 
74,bathroom,"the office (Document[11]):""John went back to the office . John",Where is the apple? 
75,office,"the garden (Document[119]):""Don Carlo went there to enter that",Where is the apple? 
76,hallway,"Fifth (Document[12]):""The Merchants is the only",Where is the milk? 
77,hallway,"hallway (Document[15]):""Mary went to the hallway .",Where is the milk? 
78,hallway,"hallway (Document[11]):""Mary left the milk . *",Where is the milk? 
79,hallway,"hallway (Document[119]):""Mary went to the hallway",Where is the milk? 
80,bathroom,"the hallway (Document[119]):""The reader will remember the experiments",Where is the football? 
81,bathroom,"the bathroom (Document[119]):""John got the football there .",Where is the football? 
82,kitchen,"the garden (Document[11]):""John went back to the garden . John",Where is the football? 
83,kitchen,"the hallway (Document[101]):""John went back to the hall",Where is the football? 
84,kitchen,"the hallway (Document[309]):""John went back to the hall",Where is the football? 
85,bathroom,"hallway (Document[129]):""John went to the hallway .",Where is the milk? 
86,kitchen,"the hallway (Document[100]):""John went back to the hall",Where is the apple? 
87,bathroom,"hallway (Document[93]):""John went back to the hallway .",Where is the milk? 
88,bedroom,"the hallway (Document[55]):""John went to the hallway .",Where is the football? 
89,kitchen,"the office (Document[142]):""Mary went back to the garden",Where is the apple? 
90,kitchen,"the hallway (Document[100]):""Mary went to the hall",Where is the milk? 
91,kitchen,"the hallway (Document[106]):""Mary got the milk there",Where is the milk? 
92,kitchen,"the hallway (Document[18]):""Mary went to the hallway",Where is the milk? 
93,kitchen,"the bedroom (Document[63]):""Mary went to the bedroom",Where is the milk? 
94,kitchen,"the hallway (Document[119]):""Mary went to the hall",Where is the milk? 
95,bathroom,"bedroom (Document[159]):""Mary journeyed to the bed",Where is the football? 
96,bathroom,"the bathroom (Document[159]):""The morning was fine, clear",Where is the football? 
97,bathroom,"hallway (Document[159]):""John put down the football . John",Where is the football? 
98,bathroom,"the bathroom (Document[346]):""John put down the football .",Where is the football? 
99,hallway,"garden (Document[351]):""Mary went to the garden .",Where is the milk? 
100,office,"the garden (Document[356]):""John journeyed to the garden .",Where is the milk? 
101,office,"the garden (Document[109]):""Mary went to the garden .",Where is the milk? 
102,kitchen,"the garden (Document[835]):""John went to the garden . Mary",Where is the milk? 
103,kitchen,"the office (Document[837]):""John went to the garden . Daniel",Where is the milk? 
104,bedroom,"the garden (Document[119]):""John went to the garden . Daniel",Where is the football? 
105,bathroom,"discarded (Document[129]):""The Union army now occupied the",Where is the football? 
106,bedroom,"bedroom (Document[119]):""Mary journeyed to the bed",Where is the milk? 
107,bathroom,"bathroom (Document[119]):""Mary went to the bath",Where is the apple? 
108,bedroom,"bedroom (Document[119]):""Mary picked up the milk there",Where is the milk? 
109,bathroom,"the hallway (Document[129]):""Mary journeyed to the",Where is the apple? 
110,bedroom,"the hallway (Document[27]):""Mary went back to the hall",Where is the football? 
111,bedroom,"hallway (Document[29]):""John picked up the football there . John",Where is the football? 
112,bedroom,"the hallway (Document[28]):""John went to the hallway .",Where is the football? 
113,bedroom,"John put down the football (Document[11]):""John put down the football",Where is the football? 
114,office,"Sandra's hand (Document[119]):""Sandra left the",Where is the apple? 
115,office,"the Temple (Document[100]):""The attractive improvements in the gard",Where is the football? 
116,hallway,"(Document[97]):""In 1773 he partly took his Zobe",Where is the football? 
117,office,"the office (Document[14]):""I went to see Sir Elias Le",Where is the milk? 
118,bedroom,"bathroom (Document[15]):""John went to the bathroom .",Where is the milk? 
119,bathroom,"John discarded the apple (Document[119]):""John grabbed",Where is the apple? 
120,hallway,"the hallway (Document[109]):""Sandra grabbed the",Where is the apple? 
121,bedroom,"the bathroom (Document[159]):""Mary journeyed to the",Where is the milk? 
122,garden,"John journeyed to the hallway (Document[15]):""John journeyed",Where is the apple? 
123,garden,"the hallway (Document[159]):""John picked up the football there",Where is the football? 
124,garden,"the hallway (Document[10]):""Ruby's dreams are",Where is the football? 
125,kitchen,"the hallway (Document[129]):""The sun streams brightly down",Where is the football? 
126,kitchen,"Mary picked up the football there (Document[19]):""Mary picked",Where is the football? 
127,kitchen,"the office (Document[21]):""Daniel went to the bathroom . Mary",Where is the football? 
128,bedroom,"the bathroom (Document[22]):""Mary picked up the football there",Where is the football? 
129,bedroom,"hallway (Document[119]):""Miss Maggie did not attend any",Where is the football? 
130,kitchen,"the hallway (Document[119]):""Daniel travelled to the hall",Where is the football? 
131,kitchen,"the hallway (Document[17]):""Rudolph journeyed to the",Where is the football? 
132,kitchen,"the office (Document[119]):""Sandra journeyed to the office",Where is the milk? 
133,hallway,"hallway (Document[159]):""Daniel went to the garden . In",Where is the football? 
134,hallway,"hallway (Document[219]):""John grabbed the football there",Where is the football? 
135,office,"hallway (Document[209]):""Mary moved to the hallway",Where is the football? 
136,office,"hallway (Document[159]):""Sandra went back to the hall",Where is the milk? 
137,office,"the hallway (Document[119]):""I was standing next to a",Where is the football? 
138,kitchen,"the hallway (Document[119]):""The girls totter out as",Where is the football? 
139,bathroom,"hallway (Document[147]):""The Deanery . The Deanery",Where is the football? 
140,bedroom,"hallway (Document[159]):""Daniel journeyed to the hallway",Where is the football? 
141,bedroom,"bedroom (Document[119]):""Daniel journeyed to the bedroom",Where is the football? 
142,bedroom,"hallway (Document[129]):""Daniel journeyed to the hallway",Where is the football? 
143,bedroom,"hallway (Document[15]):""Daniel journeyed to the hallway .",Where is the football? 
144,garden,"hallway (Document[10]):""Daniel journeyed to the hallway .",Where is the football? 
145,kitchen,"the bathroom (Document[119]):""John got the football there .",Where is the apple? 
146,bathroom,"the garden (Document[159]):""I will look in very shortly,""",Where is the milk? 
147,garden,"the garden (Document[159]):""Mary went to the garden .",Where is the milk? 
148,kitchen,"the bathroom (Document[159]):""Daniel went back to the bath",Where is the apple? 
149,kitchen,"hallway (Document[159]):""John went back to the hallway",Where is the apple? 
150,bedroom,"Sandra left the apple (Document[119]):""Sandra left the",Where is the apple? 
151,bedroom,"on the table (Document[119]):""The apple is on the table",Where is the apple? 
152,bedroom,"Sandra left the apple (Document[11]):""JANE. I",Where is the apple? 
153,kitchen,"the hallway (Document[129]):""Mary went back to the",Where is the football? 
154,kitchen,"the garden (Document[10]):""Mary went to the garden . This",Where is the football? 
155,hallway,"the bedroom (Document[119]):""John moved to the bedroom",Where is the football? 
156,hallway,"the hallway (Document[129]):""Sandra put down the football",Where is the football? 
157,bedroom,"the hallway (Document[119]):""John went back to the bed",Where is the milk? 
