Unnamed: 0,target,output,question
0,hallway,Answer: The most recent location of John is hallway.,Where is John? 
1,bathroom,"Example:
Daniel went back to the bathroom. Daniel went to the kitchen. Daniel went to the bathroom.",Where is Mary? 
2,kitchen,Answer: The most recent location of Sandra is kitchen.,Where is Sandra? 
3,hallway,Answer: The most recent location of Sandra is hallway.,Where is Sandra? 
4,kitchen,"Example:
Alan went to the kitchen. Alan went to the bathroom. Alan went to the garden.",Where is Sandra? 
5,hallway,,Where is Sandra? 
6,garden,Answer: The most recent location of Sandra is hallway.,Where is Sandra? 
7,hallway,Answer: The most recent location of Daniel is hallway.,Where is Daniel? 
8,office,"Example:
Alan went to the kitchen. Sandra went to the office. Alan went to the garden.",Where is Sandra? 
9,office,,Where is Daniel? 
10,kitchen,Answer: The most recent location of Mary is kitchen.,Where is Mary? 
11,garden,Answer: The most recent location of Mary is garden.,Where is Mary? 
12,office,Answer: The most recent location of Daniel is office.,Where is Daniel? 
13,bedroom,Answer: The most recent location of Mary is kitchen.,Where is Mary? 
14,bedroom,Answer: The most recent location of Mary is bedroom.,Where is Mary? 
15,kitchen,Answer: The most recent location of John is kitchen.,Where is John? 
16,garden,Answer: The most recent location of John is kitchen.,Where is John? 
17,kitchen,Answer: The most recent location of John is kitchen.,Where is John? 
18,office,Answer: The most recent location of Daniel is office.,Where is Daniel? 
19,kitchen,Answer: The most recent location of John is kitchen.,Where is John? 
20,hallway,Answer: The most recent location of Mary is hallway.,Where is Mary? 
21,office,Answer: The most recent location of John is office.,Where is John? 
22,office,Answer: The most recent location of John is office.,Where is John? 
23,hallway,"Example:
Daniel went back to the bathroom. The keynote of Roman architecture was the
Corinthian",Where is Sandra? 
24,bedroom,Answer: The most recent location of Daniel is bedroom.,Where is Daniel? 
25,bedroom,,Where is Sandra? 
26,bedroom,,Where is Mary? 
27,kitchen,Answer: The most recent location of Daniel is kitchen.,Where is Daniel? 
28,kitchen,"Example:
Daniel went to the bathroom. Daniel went to the kitchen. Daniel went back to the bathroom.",Where is Daniel? 
29,kitchen,Answer: The most recent location of Daniel is kitchen.,Where is Daniel? 
30,hallway,Answer: The most recent location of Sandra is hallway.,Where is Sandra? 
31,office,Answer: The most recent location of John is office.,Where is John? 
32,kitchen,Answer: The most recent location of Sandra is kitchen.,Where is Sandra? 
33,kitchen,Answer: The most recent location of Sandra is kitchen.,Where is Sandra? 
