,target,output,question
0,bedroom,the hallway,What is the bathroom east of?
1,bedroom,The bedroom is west of the kitchen.,What is west of the kitchen?
2,bathroom,The bathroom,What is north of the garden?
3,bedroom,The bathroom,What is south of the kitchen?
4,bedroom,The bedroom,What is east of the kitchen?
5,garden,The garden,What is the bathroom west of?
6,kitchen,The kitchen is east of the bedroom.,What is east of the bedroom?
7,bathroom,the bedroom.,What is the garden south of?
8,kitchen,The kitchen,What is south of the office?
9,office,The hallway is east of the garden.,What is east of the hallway?
10,garden,The garden is north of the office.,What is north of the office?
11,garden,The garden,What is south of the kitchen?
12,bathroom,The Ohio river,What is east of the kitchen?
13,garden,The bathroom.,What is west of the kitchen?
14,garden,The garden,What is north of the bedroom?
15,garden,The garden is east of the hallway.,What is east of the hallway?
16,hallway,The hallway is east of the office.,What is east of the office?
17,office,The office,What is south of the bathroom?
18,garden,the kitchen,What is the bedroom north of?
19,garden,the bedroom,What is the kitchen west of?
20,garden,the office,What is the office east of?
21,garden,the kitchen,What is the bathroom south of?
22,bathroom,The bathroom,What is north of the bedroom?
23,bathroom,The bathroom,What is the bedroom south of?
24,hallway,the bedroom is west of the bedroom.,What is the bedroom west of?
25,office,The muster-place is Lanrick mead.,What is east of the bathroom?
26,office,The hallway,What is north of the bedroom?
27,hallway,The hallway,What is west of the bathroom?
28,garden,The bathroom is north of the bathroom.,What is the bathroom north of?
29,garden,The garden,What is north of the office?
30,bedroom,The bedroom,What is east of the kitchen?
31,kitchen,the kitchen,What is the bathroom east of?
32,bathroom,The bathroom,What is north of the garden?
33,kitchen,the kitchen,What is the bedroom west of?
34,bedroom,the hallway,What is the kitchen south of?
35,garden,the garden.,What is the bathroom east of?
36,office,The bathroom.,What is south of the hallway?
37,bedroom,The bedroom is north of the bathroom.,What is north of the bathroom?
38,bedroom,The bathroom is west of the office.,What is the bathroom east of?
39,office,The office.,What is north of the bedroom?
40,bathroom,The bathroom,What is south of the kitchen?
41,bedroom,The bedroom,What is west of the office?
42,kitchen,the kitchen,What is the garden south of?
43,garden,The garden is south of the bedroom.,What is south of the bedroom?
44,garden,the office,What is the office south of?
45,hallway,the bedroom,What is the office east of?
46,garden,The garden,What is south of the office?
47,garden,The garden,What is west of the bedroom?
48,garden,The Bidwells,What is east of the hallway?
49,garden,the office,What is the office south of?
50,bedroom,the garden.,What is the hallway north of?
51,garden,The garden,What is north of the bathroom?
52,hallway,the garden.,What is the bedroom north of?
53,bathroom,The bathroom,What is east of the garden?
54,bathroom,The bathroom,What is west of the bedroom?
55,garden,The garden,What is east of the hallway?
56,hallway,the hallway,What is the bedroom east of?
57,kitchen,The kitchen is west of the hallway.,What is west of the hallway?
58,hallway,The garden,What is south of the bedroom?
59,kitchen,the bathroom,What is the garden north of?
60,hallway,The hallway is south of the bedroom.,What is the bedroom north of?
61,bedroom,The bedroom is south of the hallway.,What is south of the hallway?
62,kitchen,the kitchen,What is the hallway north of?
63,hallway,The hallway is west of the bedroom.,What is west of the bedroom?
64,bedroom,The bedroom is east of the garden.,What is east of the garden?
65,office,The bedroom is north of the garden.,What is the bedroom north of?
66,bathroom,the hallway,What is the bedroom north of?
67,office,the bedroom,What is the garden south of?
68,kitchen,The garden,What is the bathroom west of?
69,garden,the bathroom,What is the hallway east of?
70,bathroom,The bathroom,What is south of the bedroom?
71,kitchen,the kitchen,What is the garden south of?
72,garden,the hallway,What is the bedroom south of?
73,bathroom,The bathroom,What is north of the office?
74,bathroom,the office,What is the hallway north of?
75,bedroom,The bedroom,What is south of the hallway?
76,bedroom,the bedroom,What is the hallway east of?
77,bathroom,The bathroom is north of the office.,What is north of the office?
78,kitchen,The bathroom is east of the kitchen.,What is east of the garden?
79,hallway,the hallway,What is the kitchen south of?
80,garden,The garden,What is west of the office?
81,office,The office,What is the bedroom west of?
82,kitchen,the bathroom,What is the hallway south of?
83,garden,The bedroom is east of the garden.,What is the office west of?
84,bathroom,The Call to Preach,What is north of the hallway?
85,office,The office.,What is west of the garden?
86,office,The office.,What is west of the garden?
87,garden,The garden,What is east of the bathroom?
88,bathroom,The kitchen is north of the office.,What is north of the office?
89,kitchen,the hallway,What is the bedroom west of?
90,office,The office is north of the bathroom.,What is the bathroom south of?
91,office,The kitchen,What is east of the bedroom?
92,bedroom,The bedroom is south of the office.,What is south of the office?
93,bathroom,the bathroom,What is the garden west of?
94,garden,the bedroom.,What is the bedroom west of?
95,hallway,The garden is north of the kitchen.,What is north of the garden?
96,bedroom,the bathroom,What is the kitchen west of?
97,kitchen,kitchen,What is west of the bedroom?
98,bathroom,the bathroom,What is the kitchen north of?
99,garden,the office,What is the office north of?
100,bedroom,The bedroom,What is east of the hallway?
101,kitchen,The kitchen.,What is south of the hallway?
102,bedroom,the office,What is the office west of?
103,bathroom,the garden,What is the kitchen north of?
104,hallway,The hallway,What is west of the bedroom?
105,bedroom,The bedroom,What is west of the kitchen?
106,office,the hallway,What is the kitchen south of?
107,bathroom,The bathroom,What is west of the garden?
108,bedroom,The bathroom is south of the bedroom.,What is the bathroom south of?
109,bathroom,the garden,What is the kitchen west of?
110,garden,the bathroom.,What is the hallway west of?
111,hallway,the bathroom.,What is the kitchen south of?
112,office,The office,What is south of the bathroom?
113,hallway,the office,What is the office west of?
114,bedroom,the garden,What is the kitchen north of?
115,office,the house,What is the garden east of?
116,bedroom,the bedroom,What is the hallway south of?
117,bedroom,the house,What is the garden west of?
118,hallway,The hallway is north of the office.,What is north of the office?
119,office,The office,What is west of the hallway?
120,bedroom,the bedroom,What is the bathroom north of?
121,kitchen,the kitchen,What is the hallway north of?
122,office,The kitchen.,What is east of the bathroom?
123,bathroom,The bathroom is north of the hallway.,What is north of the hallway?
124,bathroom,the hallway,What is the bedroom north of?
125,kitchen,The office is west of the kitchen.,What is west of the garden?
126,bathroom,The bathroom,What is north of the kitchen?
127,hallway,the garden,What is the bedroom east of?
128,garden,the kitchen,What is the bedroom south of?
129,hallway,The hallway is east of the bathroom.,What is east of the bathroom?
130,garden,the hallway,What is the bedroom east of?
131,kitchen,The kitchen,What is south of the bathroom?
132,kitchen,The kitchen,What is east of the garden?
133,bathroom,the hallway west of,What is the hallway east of?
134,office,the bedroom.,What is the hallway east of?
135,kitchen,the kitchen,What is the garden east of?
136,bathroom,the kitchen,What is the bedroom south of?
137,hallway,the kitchen,What is the garden east of?
138,kitchen,The garden,What is south of the hallway?
139,hallway,The hallway,What is west of the kitchen?
140,kitchen,The kitchen,What is north of the garden?
141,office,the bathroom,What is the kitchen west of?
142,bathroom,The garden is north of the kitchen.,What is the kitchen north of?
143,bathroom,The bathroom is east of the kitchen.,What is east of the kitchen?
144,bathroom,The bathroom is east of the garden.,What is east of the garden?
145,kitchen,the kitchen,What is the office south of?
146,hallway,the hallway,What is the kitchen north of?
147,hallway,the kitchen,What is the bedroom west of?
148,bathroom,The office is west of the bathroom.,What is the office west of?
149,hallway,The bathroom,What is the office south of?
150,bathroom,The bathroom is north of the hallway.,What is north of the hallway?
151,garden,The hallway,What is the bathroom east of?
152,kitchen,The kitchen,What is the bathroom east of?
153,hallway,The hallway is south of the kitchen.,What is south of the kitchen?
154,hallway,The bedroom,What is south of the office?
