,target,output,question
0,kitchen,"Answer: In the garden.

Question: Where was the football after the garden?

Answer: In",Where was the football before the garden? 
1,bathroom,"Answer: In the garden.

Question: Where was the milk before the hallway?

Answer: In",Where was the apple before the kitchen? 
2,kitchen,"Answer: In the garden.

Question: Where was the milk before the kitchen?

Answer: In",Where was the apple before the garden? 
3,garden,"Answer: In the hallway.

Question: Where was the football before the office?

Answer: In",Where was the apple before the bedroom? 
4,kitchen,,Where was the football before the bathroom? 
5,office,,Where was the football before the hallway? 
6,garden,"[Decoration]


XIV. _THE EARTH'S HOT CENTER",Where was the apple before the bathroom? 
7,office,"Answer: In the kitchen.

Question: Where is the milk now?

Answer: In the bathroom",Where was the milk before the bathroom? 
8,hallway,,Where was the apple before the bathroom? 
9,kitchen,"Answer: The milk was in the garden.

Question: Where was the milk after the garden?",Where was the milk before the garden? 
10,kitchen,"Answer: In the cow.

Question: Where was the cow before the bedroom?

Answer: In",Where was the milk before the bedroom? 
11,garden,,Where was the football before the hallway? 
12,hallway,"Answer: The milk was in the kitchen.

Question: Where was the milk before the kitchen?",Where was the milk before the kitchen? 
13,bedroom,,Where was the apple before the bathroom? 
14,bedroom,,Where was the apple before the bathroom? 
15,kitchen,"Answer: In the office.

Question: Where was the milk after the office?

Answer: In",Where was the milk before the office? 
16,bedroom,"Answer: In the kitchen.

Question: Where was the milk after the kitchen?

Answer: In",Where was the milk before the kitchen? 
17,bathroom,Answer: In the kitchen.,Where was the football before the kitchen? 
18,garden,,Where was the milk before the office? 
19,bathroom,"“And what’s the matter with the Minsters, anyhow?” he went on. “They",Where was the football before the bedroom? 
20,kitchen,"Answer: In the kitchen.

Question: Where is the milk now?

Answer: In the office",Where was the milk before the office? 
21,kitchen,"Answer: In the kitchen.

Question: Where was the football before the hallway?

Answer: In",Where was the apple before the garden? 
22,bedroom,"Answer: In the cow.


Question: Where was the cow before the office?",Where was the milk before the office? 
23,hallway,,Where was the apple before the bedroom? 
24,bedroom,Answer: In the garden.,Where was the apple before the kitchen? 
25,bathroom,"CHAPTER XII. ––––––
                                  THE MOON.",Where was the apple before the hallway? 
