,target,output,question
0,kitchen,"Answer: The football is in the hallway.

Question: Where is the milk?

Answer: The",Where is the football? 
1,garden,Answer: In the refrigerator. Question: What is the milk? Answer: The milk is in the refrigerator. Question: What,Where is the milk? 
2,bedroom,Answer: In the basket. Question: Where is the basket? Answer: In the basket. Question: Where is the apple,Where is the apple? 
3,bedroom,"Answer: In the basket.

Question: Where is the basket?

Answer: On the table.",Where is the apple? 
4,kitchen,"Answer: In the kitchen.

you, for I have a message from your son-in-law,",Where is the apple? 
5,hallway,"Answer: In the basket.

Question: Where is the basket?

Answer: In the house.",Where is the apple? 
6,kitchen,"Answer: In the refrigerator.

Question: Where is the refrigerator?

Answer: In the kitchen.",Where is the milk? 
7,garden,"Answer: In the refrigerator.

Question: Where is the refrigerator?

Answer: In the kitchen.",Where is the milk? 
8,bedroom,Answer: In the kitchen. Question: Where is the milk? Answer: In the kitchen. Question: Where is the milk,Where is the milk? 
9,bathroom,"Answer: In the kitchen.

Question: Where is the milk?

Answer: In the kitchen.",Where is the milk? 
10,bathroom,Answer: In the parlor. Question: Where is the parlor? Answer: In the house. Question: Where is,Where is the football? 
11,bedroom,"Answer: In the kitchen.

Question: Where is the football?

Answer: In the bathroom.",Where is the milk? 
12,bathroom,"Answer: In the kitchen.

  [73] Appendix 23, ""The Use of the Corner.""",Where is the apple? 
13,kitchen,Answer: In the kitchen. Question: Where is the football? Answer: In the kitchen. Question: Where is the football,Where is the football? 
14,bedroom,"Answer: In the basket.

Question: Where is the basket?

Answer: On the table.",Where is the apple? 
15,garden,Answer: In the basket. Question: Where is the apple? Answer: In the basket. Question: Where is the apple,Where is the apple? 
16,bedroom,"Answer: In the garden. *       *       *       *       *

In 1863 the city",Where is the football? 
17,bedroom,"Answer: In the bedroom.




CHAPTER IV.


The next day, at dinner",Where is the apple? 
18,garden,Answer: In the refrigerator. Question: Where is the butter? Answer: In the refrigerator. Question: Where is the bread,Where is the milk? 
19,garden,Answer: In the refrigerator. Question: Where is the refrigerator? Answer: In the kitchen. Question: Where is the kitchen,Where is the milk? 
