,target,output,question
0,hallway,John travelled to the hallway.,Where is John? 
1,bathroom,Mary has journeyed to the bathroom.,Where is Mary? 
2,kitchen,Sandra journeyed to the kitchen.,Where is Sandra? 
3,hallway,Sandra has traveled to the hallway.,Where is Sandra? 
4,kitchen,Sandra moves between different rooms in the text. Here are the rooms mentioned,Where is Sandra? 
5,hallway,"Sandra is in Rodman, writing letters to her teacher, Mr.",Where is Sandra? 
6,garden,Sandra moved to the garden.,Where is Sandra? 
7,hallway,Daniel is in the hallway. He suggests taking the baby from Alfred and Z,Where is Daniel? 
8,office,"In the given context, Sandra is first in the kitchen and then later",Where is Sandra? 
9,office,Daniel is in the office.,Where is Daniel? 
10,kitchen,Mary has journeyed to the kitchen.,Where is Mary? 
11,garden,Mary has moved to the garden.,Where is Mary? 
12,office,Daniel went to the office.,Where is Daniel? 
13,bedroom,"In the given context, Mary moves to different places such as the kitchen,",Where is Mary? 
14,bedroom,Mary has moved to the bedroom.,Where is Mary? 
15,kitchen,John has moved to the hallway and later journeyed to the kitchen.,Where is John? 
16,garden,"John is in the context of the text, but there is no clear indication",Where is John? 
17,kitchen,"In the given context, John has made trips to the hallway, kitchen,",Where is John? 
18,office,Daniel is in the office.,Where is Daniel? 
19,kitchen,"In the context provided, John is in the garden.",Where is John? 
20,hallway,Mary is traveling to the hallway in the text.,Where is Mary? 
21,office,John is a person whose fame and accomplishments are being described in the context,Where is John? 
22,office,John is in the office.,Where is John? 
23,hallway,Sandra has moved to the office.,Where is Sandra? 
24,bedroom,Daniel has moved to the bedroom.,Where is Daniel? 
25,bedroom,"Sandra is not mentioned in the context provided, so it is not clear",Where is Sandra? 
26,bedroom,Mary went back to the kitchen after discovering that Ginger was in the,Where is Mary? 
27,kitchen,Daniel is in the kitchen. He went there after being scared by the sounds,Where is Daniel? 
28,kitchen,"In the given text, Daniel is mentioned in the context of the variation of",Where is Daniel? 
29,kitchen,Daniel has travelled to the kitchen.,Where is Daniel? 
30,hallway,"Sandra moved to the hallway. Therefore, she is no longer in the",Where is Sandra? 
31,office,John moved to the office.,Where is John? 
32,kitchen,Sandra has moved to the kitchen.,Where is Sandra? 
33,kitchen,"In the given context, Sandra has moved to different locations in the Amb",Where is Sandra? 
34,bathroom,"In the given context, Sandra moves to different rooms in the house at",Where is Sandra? 
35,office,"Mary is in the office, handing Brice a handkerchief",Where is Mary? 
36,bathroom,Mary and Brice have entered a buckeye thicket and are,Where is Mary? 
37,garden,"In the given context, Mary has moved to different places such as the bedroom",Where is Mary? 
38,kitchen,Sandra moved to the hallway.,Where is Sandra? 
39,bedroom,Daniel is in the bedroom.,Where is Daniel? 
40,bathroom,"Sandra went to the office at the beginning of the text, but there",Where is Sandra? 
41,garden,Daniel is in the garden.,Where is Daniel? 
42,bathroom,Sandra has gone to the bathroom.,Where is Sandra? 
43,hallway,Daniel is in the hallway.,Where is Daniel? 
44,garden,Daniel is currently in the garden.,Where is Daniel? 
45,kitchen,"Mary went back to the kitchen. Therefore, she is in the kitchen.",Where is Mary? 
46,hallway,Daniel is not mentioned in the given context. The context focuses on the visit,Where is Daniel? 
47,bathroom,"In the given context, Sandra moves to the bathroom at one point.",Where is Sandra? 
48,office,John moved to the office.,Where is John? 
49,bedroom,John is in the bedroom.,Where is John? 
50,bedroom,"John is in the context of the text, he is journeying or traveling",Where is John? 
51,office,John has journeyed to the office.,Where is John? 
52,garden,John has gone to the office.,Where is John? 
53,garden,"In the given context, John has moved to the office and then to the",Where is John? 
54,kitchen,"Daniel is in the kitchen. The text states that ""Daniel went back",Where is Daniel? 
55,bedroom,Mary is not mentioned in the given context. The context is about the gods,Where is Mary? 
56,kitchen,Mary traveled to the kitchen.,Where is Mary? 
57,hallway,"In the context provided, Mary has traveled to various places including the bedroom,",Where is Mary? 
58,garden,Daniel moved to the garden.,Where is Daniel? 
59,hallway,Sandra has returned to the office after visiting different rooms in the text.,Where is Sandra? 
60,hallway,"Sandra went back to the hallway. Therefore, she is in the hallway",Where is Sandra? 
61,office,"In the given context, Daniel is traveling to the office.",Where is Daniel? 
62,bathroom,Sandra is in the bathroom.,Where is Sandra? 
63,garden,"In the given context, Daniel is moving between different locations in the prison.",Where is Daniel? 
64,garden,Daniel has moved back to the bedroom after an encounter with Simon and his wife,Where is Daniel? 
65,kitchen,"In the context provided, John goes to the kitchen after mentioning the poor",Where is John? 
66,kitchen,John is mentioned in the context as a great Greek philosopher and theolog,Where is John? 
67,bathroom,Daniel has gone to the bathroom.,Where is Daniel? 
68,office,Daniel has moved to the office.,Where is Daniel? 
69,office,At the kitchen. Daniel went to the kitchen after his conversation with Emil,Where is Daniel? 
70,garden,Mary is in the garden.,Where is Mary? 
71,hallway,Sandra moved to the hallway.,Where is Sandra? 
72,garden,"In the given context, Mary has traveled to several places including the garden,",Where is Mary? 
73,bedroom,"In the given text, Mary has traveled to different places at different points in",Where is Mary? 
74,bathroom,"In the given context, Mary is traveling to different places such as the garden",Where is Mary? 
75,kitchen,Daniel went back to the kitchen.,Where is Daniel? 
76,kitchen,"In the given context, there is no mention of John's current location",Where is John? 
77,kitchen,"Daniel is currently in the kitchen. However, the context also mentions that",Where is Daniel? 
78,hallway,"Based on the context provided, Daniel is currently in the kitchen. The context",Where is Daniel? 
79,office,"In the given context, Daniel has gone back to the office.",Where is Daniel? 
80,garden,John was at home with the children and they were having a merry dinner,Where is John? 
81,bathroom,John traveled to the bathroom at some point during the day. The text does,Where is John? 
82,bedroom,Sandra is currently in the bedroom.,Where is Sandra? 
83,garden,Mary went to the garden.,Where is Mary? 
84,office,"In the given context, Daniel has traveled to the office.",Where is Daniel? 
85,garden,Sandra is not mentioned in the context provided. The text is discussing the,Where is Sandra? 
86,garden,"In the context provided, Mary is mentioned as having journeyed to the office",Where is Mary? 
87,hallway,John is at the garden.,Where is John? 
88,kitchen,Sandra went back to the kitchen.,Where is Sandra? 
89,kitchen,Daniel went back to the kitchen.,Where is Daniel? 
90,bathroom,Sandra has moved to the kitchen and later went back to the bathroom.,Where is Sandra? 
91,bathroom,John is not mentioned in the context provided. The context mentions his wife,Where is John? 
92,hallway,Sandra is moving from one room to another in Elmina's house,Where is Sandra? 
93,bathroom,"In the given context, Sandra is moving around different locations. Here are",Where is Sandra? 
94,bathroom,"In the given context, Sandra moves to different locations in the text such",Where is Sandra? 
95,kitchen,"John traveled to the kitchen. Therefore, he is in the kitchen during this",Where is John? 
96,kitchen,"Sandra moved to the kitchen. Therefore, she is in the kitchen.",Where is Sandra? 
97,kitchen,"In the given context, Mary journeyed to the bedroom.",Where is Mary? 
98,bedroom,Mary has traveled to the kitchen and the bedroom in the text.,Where is Mary? 
99,bedroom,Mary has traveled to the kitchen and to the bedroom in the given context.,Where is Mary? 
100,bedroom,"In the context provided, Mary is mentioned twice. The first time, she",Where is Mary? 
101,bathroom,Sandra is in the bathroom. The context does not provide information about where,Where is Sandra? 
102,office,Mary has traveled to the office.,Where is Mary? 
103,garden,Daniel has gone to the garden.,Where is Daniel? 
104,garden,In the garden.,Where is Daniel? 
105,hallway,Mary is moving to the hallway in the context provided.,Where is Mary? 
