,target,output,question
0,hallway,"Mary got the milk there. This statement is mentioned earlier in the text,",Where is the milk? 
1,hallway,John got the football there. This sentence is from the middle of a passage,Where is the football? 
2,hallway,John got the football there.,Where is the football? 
3,hallway,The football is in K. Le Moyne's black bag.,Where is the football? 
4,garden,Mary discarded the milk. (Chapter XII),Where is the milk? 
5,garden,Sandra put down the milk there.,Where is the milk? 
6,bedroom,Daniel took the football there.,Where is the football? 
7,bedroom,"Sandra grabbed the milk there, Sandra put down the milk there,",Where is the milk? 
8,kitchen,The context does not provide information on the current location of the football.,Where is the football? 
9,kitchen,Daniel grabbed the football there. (twice in the text),Where is the football? 
10,bedroom,John got the football at Gunwalloe.,Where is the football? 
11,hallway,John got the football there.,Where is the football? 
12,garden,Daniel picked up the milk there. It is unclear where the milk was,Where is the milk? 
13,garden,Daniel picked up the milk there.,Where is the milk? 
14,bathroom,"In the context provided, there are a few references to an ""apple,""",Where is the apple? 
15,garden,Mary dropped the milk.,Where is the milk? 
16,garden,"The milk is mentioned in a few places in the text, but it'",Where is the milk? 
17,garden,The context does not provide information on the location of the milk.,Where is the milk? 
18,kitchen,"In the context provided, there are several references to apples, but there",Where is the apple? 
19,kitchen,"Daniel grabbed the apple there. The context does not specify where ""there""",Where is the apple? 
20,bedroom,Mary took the apple there.,Where is the apple? 
21,bedroom,Mary took the apple. (Chapter XXI),Where is the apple? 
22,bathroom,"In the last mentioned action, Sandra discarded the football there. So",Where is the football? 
23,bathroom,Daniel put down the football. It can be inferred that the football is,Where is the football? 
24,bedroom,"In the last part of the text, John grabbed the milk there. However",Where is the milk? 
25,kitchen,John grabbed the milk there.,Where is the milk? 
26,kitchen,John grabbed the milk there.,Where is the milk? 
27,bathroom,Daniel dropped the apple there.,Where is the apple? 
28,bathroom,Daniel picked up the apple there. This sentence implies that Daniel had the apple,Where is the apple? 
29,kitchen,John put down the milk. It can be assumed that the milk is with,Where is the milk? 
30,garden,Daniel dropped the apple in the garden.,Where is the apple? 
31,garden,"Daniel travelled to the garden with the apple, but it is not mentioned",Where is the apple? 
32,kitchen,Mary Leavenworth has the football.,Where is the football? 
33,kitchen,Sandra put down the apple there.,Where is the apple? 
34,kitchen,The text does not provide information on where the apple is in the final sentence,Where is the apple? 
35,office,Sandra got the milk there.,Where is the milk? 
36,kitchen,John took the football there.,Where is the football? 
37,kitchen,John took the football there.,Where is the football? 
38,kitchen,John took the football there.,Where is the football? 
39,bedroom,"Sandra journeyed to the bathroom.

Based on the context,",Where is the milk? 
40,bedroom,The context provided does not mention or give information about the location of milk.,Where is the milk? 
41,office,"The milk is mentioned several times in the text, but its location is not",Where is the milk? 
