,target,output,question
0,football,"Answer: apple

Example:

Fred gave the apple to Fred. Fred gave the apple to Fred. Fred",What did Fred give to Jeff? 
1,Fred,"Answer: Fred

Example:

Fred picked up the football there. Fred handed the football to Fred.",Who gave the football to Jeff? 
2,football,"Answer: apple

Question: What did Fred give to Jeff?

Answer: apple

Question:",What did Fred give to Jeff? 
3,Jeff,"Answer: Fred

Question: Who did Fred give the football to?

Answer: Fred

Question",Who did Fred give the football to? 
4,Fred,"Answer: Fred

Example:

Fred gave the football to Fred. Fred gave the football to Fred.",Who did Jeff give the football to? 
5,Jeff,"Answer: Fred

Example:

Fred took the apple to Fred. Fred gave the apple to
Fred",Who gave the apple? 
6,Bill,"Answer: Fred

Example:

Fred took the apple from the man's hand. Fred handed it to",Who received the apple? 
7,apple,"Answer: apple

Example:

Fred gave the apple to Bill. Bill went to the kitchen. Fred",What did Bill give to Fred? 
8,apple,"Answer: apple

Example:

Fred gave the apple to Bill. Bill passed the apple to Fred.",What did Bill give to Fred? 
9,Fred,"Answer: Fred

Example:

Fred took the apple to Mary. Mary gave the apple to
him.",Who received the apple? 
10,Mary,"Answer: Mrs. Lockington Beauty

Question: Who gave the milk?

Answer: Mrs.",Who received the milk? 
11,milk,"Answer: Bill

Example:

Fred took the football there. Fred gave the football to Bill. Bill travelled",What did Mary give to Bill? 
12,Bill,"Answer: Fred

Example:

Fred took the football there. Fred gave the football to Bill. Bill went",Who received the milk? 
13,Bill,"Answer: Fred

Example:

Fred took the football there. Fred handed the football to Bill. Bill",Who did Mary give the milk to? 
14,milk,"Answer: milk

Example:

Fred took the apple there. Fred gave the apple to Bill. Bill went",What did Mary give to Bill? 
15,Jeff,"Answer: The

Rocket Corps.

The Rocket Corps was a small,

small,

small,",Who received the football? 
16,Fred,"Answer: Fred

Example:

Fred handed the football to Fred. Fred passed the football to Fred.",Who gave the football to Jeff? 
17,football,"Answer: the milk

Question: What did Fred give to Jeff? Answer: the milk

Question: What did",What did Fred give to Jeff? 
18,Jeff,"Answer: Fred

Example:

Fred took the football to Mrs. Fred. Mrs. Fred took the",Who received the football? 
19,Mary,"Answer: Fred

Example:

Fred took the apple there. Fred handed the apple to Bill. Bill",Who gave the milk? 
20,milk,"Answer: milk

Question: What did Mary give to Fred?

Answer: milk

Question:",What did Jeff give to Mary? 
21,Mary,"Answer: Mary

Example:

Fred took the apple there. Fred gave the apple to Fred. Fred went",Who gave the milk to Jeff? 
22,Mary,"Answer: Fred

Example:

Fred

Example:

Fred

Example:",Who gave the milk to Jeff? 
23,Bill,"Answer: Fred

Example:

Fred took the apple to Mary. Mary gave the apple to Fred.",Who gave the apple to Jeff? 
24,Jeff,"Answer: Fred

Example:

Fred took the apple to Bill. Bill went to the kitchen. Fred",Who gave the apple? 
25,apple,"Answer: apple

Question: What did Fred give to Bill?

Answer: apple

Question:",What did Jeff give to Fred? 
26,Fred,"Answer: Fred

Example:

Fred took the apple from the garden. Fred gave it to Bill.",Who received the apple? 
27,Jeff,"Answer: Fred

Example:

Fred

Example:

Fred

Example:",Who received the apple? 
28,Jeff,"Answer: Fred

Example:

Fred took the apple to Bill. Bill went to the kitchen. Fred",Who gave the apple? 
29,Fred,"Answer: Fred

Example:

Fred took the apple to Bill. Bill passed the apple to Fred.",Who did Jeff give the apple to? 
30,Mary,"Answer: Fred

Example:

Fred picked up the apple there. Fred gave the apple to Bill. Bill",Who gave the milk? 
