,target,output,question
0,sheep,"mouse (She is a mouse herself, but she is afraid of mice according to the context.)",What is gertrude afraid of?
1,wolf,wolf,What is gertrude afraid of?
2,sheep,"mouse (but the context does not provide this information, I'm just guessing based on the",What is winona afraid of?
3,sheep,mice,What is winona afraid of?
4,mouse,"mouse

<context>
Mice are afraid of sheep. Wolves are afraid of sheep",What is gertrude afraid of?
5,wolf,wolf,What is winona afraid of?
6,cat,"cat

<context>
Wolves are afraid of sheep. Sheep are afraid of cats",What is gertrude afraid of?
7,wolf,mouse,What is jessica afraid of?
8,sheep,"mouse

<context>
Mice are afraid of sheep. Emily is a mouse. She",What is winona afraid of?
9,wolf,wolf,What is emily afraid of?
10,cat,"mouse

<context>
Mice are afraid of wolves. Gertrude is a",What is jessica afraid of?
11,sheep,sheep,What is emily afraid of?
12,sheep,mouse,What is gertrude afraid of?
13,sheep,"mouse (She is a mouse herself, but she is afraid of a different animal species according to the",What is gertrude afraid of?
14,wolf,wolf,What is gertrude afraid of?
15,wolf,"mice (The context states that wolves are afraid of mice, but the question asks about",What is emily afraid of?
16,cat,mouse,What is jessica afraid of?
17,wolf,wolf,What is gertrude afraid of?
18,cat,"mouse

<context>
Sheep are afraid of wolves. Mice are afraid of",What is jessica afraid of?
19,wolf,sheep,What is emily afraid of?
20,cat,"mouse

<context>
Wolves are afraid of mice. Cats are afraid of",What is jessica afraid of?
21,wolf,mouse,What is winona afraid of?
22,mouse,"mouse (since wolves are afraid of mice and gertrude is a wolf, it follows",What is gertrude afraid of?
23,sheep,mouse,What is gertrude afraid of?
24,cat,cat,What is winona afraid of?
25,mouse,mouse,What is jessica afraid of?
26,sheep,"mouse

<context>
Sheep are afraid of mice. Wolves are afraid of",What is jessica afraid of?
27,mouse,mouse,What is winona afraid of?
28,cat,"cat

<context>

<context>
Cats are afraid of wolves.",What is gertrude afraid of?
29,wolf,cat (based on the given context),What is jessica afraid of?
30,cat,"mouse

<context>
Sheep are afraid of cats. Jessica is a sheep. M",What is jessica afraid of?
31,cat,"cat (based on the context provided, Winona is a wolf and wolves are afraid of cats",What is winona afraid of?
32,cat,wolf,What is gertrude afraid of?
33,sheep,"cat (or mice, since mice are afraid of cats and winona is a mouse,",What is winona afraid of?
34,sheep,sheep,What is gertrude afraid of?
35,wolf,"cat (from the given context, cats are afraid of wolves, but gertrude is a",What is gertrude afraid of?
36,cat,mouse,What is emily afraid of?
37,sheep,mouse,What is jessica afraid of?
38,wolf,wolf,What is gertrude afraid of?
39,mouse,"mouse

<context>
Mice are afraid of cats. Emily is a mouse. C",What is jessica afraid of?
40,wolf,"mouse

<context>
Cats are afraid of wolves. Jessica is a cat.",What is jessica afraid of?
41,cat,"mouse (Gertrude or Winona)

Explanation: Based on the context",What is emily afraid of?
42,cat,"cat (based on the given context, Gertrude is a sheep and cats are afraid of sheep",What is gertrude afraid of?
43,cat,wolf,What is gertrude afraid of?
44,wolf,mouse,What is emily afraid of?
45,wolf,"mouse

<context>
Mice are afraid of sheep. Emily is a mouse. Wol",What is jessica afraid of?
46,cat,cat,What is winona afraid of?
47,mouse,"mouse (Wolves are afraid of mice, but Emily is a wolf, so Emily cannot be",What is emily afraid of?
48,wolf,sheep,What is emily afraid of?
49,sheep,"cat (based on the given context, even though the text states that cats are afraid of sheep,",What is jessica afraid of?
50,wolf,wolf,What is emily afraid of?
51,cat,"wolf (Wolves are afraid of cats, but that information is not relevant to Emily being a sheep",What is emily afraid of?
52,sheep,"cat (from the given context, wolves are afraid of sheep, cats are afraid of wolves",What is winona afraid of?
53,cat,cat (Answer should contain only one word - an animal species. Do not write anything else after,What is gertrude afraid of?
54,sheep,sheep,What is winona afraid of?
55,mouse,"mouse

<context>
Mice are afraid of cats. Jessica is a mouse. She",What is winona afraid of?
56,wolf,mouse.,What is winona afraid of?
57,mouse,"mouse

<context>
Cats are afraid of wolves. Sheep are afraid of",What is emily afraid of?
58,wolf,wolf,What is winona afraid of?
59,wolf,wolf,What is gertrude afraid of?
60,cat,"cat

<context>
Wolves are afraid of sheep. Sheep are afraid of cats",What is gertrude afraid of?
61,wolf,"mouse (since cats are afraid of mice and mice are afraid of sheep, it follows that",What is winona afraid of?
62,sheep,"cat (based on the given context, Winona is a wolf and wolves are afraid of cats",What is winona afraid of?
63,sheep,"mouse

<context>
Mice are afraid of wolves. Wolves are afraid of",What is jessica afraid of?
64,cat,"cat (based on the given context, Winona is a mouse and mice are afraid of cats",What is winona afraid of?
65,mouse,mouse,What is emily afraid of?
66,sheep,"cat (from the given context, cats are afraid of sheep, but the question asks about Jessica,",What is jessica afraid of?
67,cat,"mouse

<context>
Mice are afraid of wolves. Sheep are afraid of",What is jessica afraid of?
68,sheep,"mouse (but the context does not provide this information, I'm just guessing based on the",What is winona afraid of?
69,sheep,mouse,What is gertrude afraid of?
70,mouse,"mouse

<context>
Cats are afraid of mice. Mice are afraid of",What is emily afraid of?
71,sheep,"mouse (from the given context, mice are afraid of sheep, but gertrude is a",What is gertrude afraid of?
72,wolf,"mouse

<context>
Wolves are afraid of mice. Mice are afraid of",What is gertrude afraid of?
73,mouse,mouse,What is jessica afraid of?
74,sheep,cat,What is winona afraid of?
75,cat,"cat

<context>
Wolves are afraid of sheep. Cats are afraid of w",What is emily afraid of?
76,mouse,mouse,What is gertrude afraid of?
77,mouse,"mouse

<context>
Wolves are afraid of mice. Mice are afraid of",What is jessica afraid of?
78,sheep,"mouse

<context>
Wolves are afraid of sheep. Sheep are afraid of m",What is jessica afraid of?
79,mouse,"mouse

<context>
Wolves are afraid of mice. Mice are afraid of",What is jessica afraid of?
80,cat,"cat

<context>
Cats are afraid of wolves. Wolves are afraid of",What is jessica afraid of?
81,mouse,"mouse (Wolves are afraid of mice, and Winona is a wolf.)",What is winona afraid of?
82,wolf,wolf,What is gertrude afraid of?
83,mouse,mouse,What is winona afraid of?
84,sheep,"mouse

<context>
Cats are afraid of sheep. Wolves are afraid of sheep",What is emily afraid of?
85,wolf,"mouse

<context>
Wolves are afraid of cats. Sheep are afraid of m",What is gertrude afraid of?
86,sheep,"mouse

<context>
Mice are afraid of sheep. Cats are afraid of w",What is winona afraid of?
87,mouse,mice,What is winona afraid of?
88,sheep,"mouse

<context>
Cats are afraid of sheep. Winona is a cat.",What is emily afraid of?
89,mouse,"mouse

<context>
Mice are afraid of wolves. Emily is a mouse.",What is winona afraid of?
90,mouse,mice,What is winona afraid of?
91,wolf,wolf,What is gertrude afraid of?
92,sheep,"cat (from the given context, cats are afraid of sheep, but the question asks about Jessica,",What is jessica afraid of?
93,cat,"mouse

<context>
Mice are afraid of cats. Wolves are afraid of cats",What is jessica afraid of?
