,target,output,question
0,Jeff,"“I never had a great deal of a law office. They

“They’d have a great deal",Who did Fred give the football to? 
1,Bill,"MANLIUS _and_ LICINIUS _and_

    MANLIUS",Who did Mary give the milk to? 
2,Jeff,"""I'd be able to do something for him. ""And now tell me something for him. ""I'd",Who did Fred give the milk to? 
3,milk,Answer: Mary gave Fred the milk.,What did Mary give to Fred? 
4,Fred,"""I'll be a man. ""I'll be a man. ""I'll be a man. """,Who received the milk? 
5,apple,"Answer: Mary gave an apple to Jeff.





THE BLAISDELS'",What did Mary give to Jeff? 
6,apple,Answer: A picture of a doll.,What did Mary give to Jeff? 
7,apple,The,What did Fred give to Bill? 
8,Jeff,"Jeff.

The young woman had been brought up in the city, and had never been to the country. She had",Who gave the milk to Fred? 
9,Fred,"Answer: Uncle Peter.

Question: Who is the girl that Peter loves? Answer: Eleanor.",Who gave the apple to Mary? 
10,Jeff,"the to the blood, and the blood.
to the blood.
to the blood. The blood.",Who received the football? 
11,Jeff,"and to him.

and the world.

the world.

the world.

the",Who did Mary give the football to? 
12,milk,"Answer: Mary gave Bill a shilling.

Question: What did the Semi-drunk do when",What did Mary give to Bill? 
13,Bill,"Answer: ""Regy"" Van Bibber, with a smile of relief, ""I'll send him to",Who did Mary give the milk to? 
14,milk,Answer: Mary gave Bill a milk.,What did Mary give to Bill? 
15,apple,"(_Shouts._) I'll take the soup. (_Shouts._)

WHITWELL. I",What did Fred give to Mary? 
16,Mary,"And I never sent it to buy it to
her. ""I never sent it to buy it to her. And I",Who received the football? 
17,apple,I have to do so. I have to do so. I have to do so. I have to do so. I,What did Fred give to Bill? 
18,Jeff,He had to pay for it. He had to pay for it. He had to pay for it. He,Who received the apple? 
19,Bill,"the train from the station.
     the train from the station.
     the train from the station.",Who did Mary give the football to? 
20,Fred,,Who gave the milk to Jeff? 
21,Mary,Answer: The Kaed.,Who received the milk? 
22,Mary,"""I gave it to them."" ""I gave it to them."" ""I gave it to them."" ""I gave it",Who gave the milk? 
23,milk,"‘I am going to London. I am going to London.

‘I am going to London. I",What did Bill give to Mary? 
24,milk,Answer: Jeff gave to Bill a package of cartridges.,What did Jeff give to Bill? 
25,football,"""We'll proceed to explore! ""We'll proceed to explore! ""We'll proceed to explore! """,What did Jeff give to Fred? 
26,Mary,"""I have given it to you, Ginger, and you, Ginger, and you,
too. """,Who gave the football? 
27,Mary,"COPYRIGHT, 1862.

COPYRIGHT, 1862",Who gave the apple to Bill? 
28,Fred,"Answer: Hans Dunnerwust.

The boys had been in the mountains.

The apple.",Who received the apple? 
29,Mary,"The Assembly, and the Senate, and the House of
the people, and the
the people, and the",Who gave the milk to Bill? 
30,milk,Answer: Mary gave Jeff a letter.,What did Mary give to Jeff? 
31,Mary,"[The King, who had been the King.

[The King, who had been the King.",Who gave the milk? 
32,Fred,"Answer: Fred

XI

Croyden and Macloud, with the letter and the money",Who gave the apple to Mary? 
33,football,"Answer: A football.





THE SHAFT OF A PILLAR. I.",What did Bill give to Mary? 
34,apple,"the
the
the
the
the
the
the
the
the
the
the
the",What did Fred give to Mary? 
35,apple,the stomatic to the stomatic to the stagnate to the stomatic to the stomatic to,What did Fred give to Bill? 
36,Jeff,Answer: Fred gave the milk.,Who gave the milk? 
37,Bill,"the fruit. ""This solution. ""This solution. ""This solution. ""This solution. ""This solution. """,Who did Mary give the apple to? 
38,Fred,"""I have not made a gift to her.

""I have not made a gift to her.

""",Who gave the football to Mary? 
39,milk,Answer: Mary gave Fred a pair of boots.,What did Mary give to Fred? 
40,milk,,What did Fred give to Mary? 
41,Mary,"Answer: The football was given by the old man.

Question: What did the old man do with the",Who gave the football? 
42,Fred,"Answer: Fred.




518. The apple was received by Fred.",Who received the apple? 
43,Mary,"“The Shire Horse Society.

“The Shire Horse Society.

“The Sh",Who gave the apple? 
44,Fred,,Who gave the apple to Bill? 
45,apple,"the blood, and the blood, and the blood, and the blood, and the blood, and the blood, and the",What did Fred give to Bill? 
46,Fred,"Answer: Fred.

    [Footnote 100]

    [Footnote 101",Who received the apple? 
47,Fred,"Fred.


The Suffrage Bill was introduced in the House of Commons on June 14, 1",Who received the milk? 
48,Mary,"Answer: The answer to the question.

Answer: The answer to the question.

Answer: The",Who received the football? 
49,apple,"/The best Place for Painter._

/The best Place for Painter._

/",What did Bill give to Mary? 
50,apple,"‘I am here with a smile. I am here with a smile.
      ‘I am here with",What did Mary give to Fred? 
51,apple,"'I have not, and I have not, and I have not, and I have not, and I have not,",What did Fred give to Bill? 
52,apple,,What did Fred give to Bill? 
53,milk,"'A pint of milk.' 'I'm sure you'll get a pint of milk,' said Fred. 'I",What did Jeff give to Fred? 
54,Mary,"Answer: Jeff

Question: What did the Brownies do when they saw the swimming-bath?",Who received the milk? 
55,Jeff,"""I'd better to see a doctor."" ""I'd better to see a doctor."" ""I'd better",Who gave the football? 
56,Bill,"Answer: Bill

Question: What did Fred do with the football?

Answer: Fred

Question",Who gave the football to Fred? 
57,Mary,"""I've got the
answer to the question. ""I've got the answer to the question.
""",Who received the football? 
58,Mary,"Answer: Mary gave the football to Fred.




CHAPTER XXVII.--THE M",Who gave the football to Fred? 
59,Jeff,"Answered.

Answered.

Answered.

Answered.

Answered.",Who did Bill give the milk to? 
60,Fred,"Answer: Cuddie.




                              CHAPTER XVII. ––––––",Who gave the football to Jeff? 
61,Jeff,"it. And he took up the apple. And he

the apple. And he took up the apple. And",Who gave the apple to Fred? 
62,Bill,"""I have,"" said Bill.

""I have,"" said Fred.

""I have,"" said",Who received the milk? 
63,Jeff,"Who, and who, and who, and who, and who, and who, and who, and who, and who",Who did Bill give the apple to? 
64,milk,"COPYRIGHT, 1911, PATRIOT PUB. The answer is a",What did Mary give to Fred? 
