,target,output,question
0,cinema,"Based on the context provided, Fred was at the cinema before going to the kitchen. The context states",Where was Fred before the kitchen? 
1,kitchen,"Based on the context provided, Fred was in the kitchen before he moved to the bedroom.",Where was Fred before the bedroom? 
2,office,"Based on the context provided, Fred was at the office before he went to the bedroom.",Where was Fred before the bedroom? 
3,cinema,"Before going to the bedroom this evening, Fred was in the kitchen.",Where was Fred before the bedroom? 
4,park,"Based on the context provided, Fred was at the park before going to the school.",Where was Fred before the school? 
5,cinema,"Based on the context provided, there is no information given about where Bill was before he went to the",Where was Bill before the park? 
6,bedroom,Mary was in the bedroom before she went to the kitchen.,Where was Mary before the kitchen? 
7,office,"Based on the context provided, Fred was at the office before going to the bedroom.",Where was Fred before the bedroom? 
8,bedroom,"Before going to the cinema this evening, Bill was at the bedroom. Therefore, the answer is """,Where was Bill before the cinema? 
9,school,"Based on the context provided, Fred was at the school before going to the office.",Where was Fred before the office? 
10,school,"Based on the context provided, Julie was at the school before she went to the cinema.",Where was Julie before the cinema? 
11,office,"Based on the context provided, Mary was at the office before going to the bedroom. She traveled to",Where was Mary before the bedroom? 
12,cinema,"Based on the context provided, Bill was at the school before going to the park.",Where was Bill before the park? 
13,office,"Based on the context provided, Bill was at the office before he went to the park. (Yes",Where was Bill before the park? 
14,office,"Before going to the park this morning, Fred was at the office. (Based on the context provided",Where was Fred before the park? 
15,school,"Before going to the cinema this morning, Bill was at the school. (Based on the context provided",Where was Bill before the cinema? 
16,bedroom,"Based on the context provided, Bill was in the bedroom before going to the office.",Where was Bill before the office? 
17,office,"Before going to the cinema this afternoon, Julie was at the office. And before going to the cinema",Where was Julie before the cinema? 
18,park,"Based on the context provided, Bill was at the park before he went to the cinema.",Where was Bill before the cinema? 
19,bedroom,"Before going to the kitchen this afternoon, Julie was at the park.",Where was Julie before the kitchen? 
20,school,"Based on the context provided, Bill was at the school before he went to the park. Here'",Where was Bill before the park? 
21,school,"Based on the context provided, Fred was at the school before he went to the kitchen.",Where was Fred before the kitchen? 
22,kitchen,Fred was in the kitchen before he went to the cinema.,Where was Fred before the cinema? 
23,kitchen,"Based on the context provided, Mary was in the bedroom before she went to the office.",Where was Mary before the office? 
24,cinema,"Based on the context provided, Bill was at the cinema before going to the office.",Where was Bill before the office? 
25,park,Mary was at the park before she went to the cinema. The context states that she moved to the,Where was Mary before the cinema? 
26,office,"Before going to the school in the morning, Julie was at the office.",Where was Julie before the school? 
27,cinema,Mary was at the kitchen before she went to the office.,Where was Mary before the office? 
28,school,"Based on the context provided, Fred was at the school before going to the office.",Where was Fred before the office? 
29,office,"Before going to the cinema this evening, Mary was at home in the bedroom. (Based on the",Where was Mary before the cinema? 
30,office,"Mary was at the office before she went to the cinema. (Based on the context provided, there",Where was Mary before the cinema? 
31,kitchen,"Based on the context provided, Mary was in the kitchen before she moved to the office.",Where was Mary before the office? 
32,school,"Before going to the bedroom, Bill was at the school or the kitchen, based on the context provided",Where was Bill before the bedroom? 
33,cinema,"Based on the context provided, before going to the bedroom this morning, Julie was at the cinema.",Where was Julie before the bedroom? 
34,park,"Based on the context provided, Fred was at the park before he went to the school.",Where was Fred before the school? 
35,kitchen,"Before going to the school this afternoon, Julie was at the kitchen.",Where was Julie before the school? 
36,kitchen,"Before Bill moved to the cinema this morning, he was in the kitchen.",Where was Bill before the cinema? 
37,cinema,Fred was at the cinema before he went to the park.,Where was Fred before the park? 
38,bedroom,"Based on the context provided, Fred was in the bedroom before going to the school.",Where was Fred before the school? 
39,cinema,"Based on the context provided, Fred was at the cinema before going to the office.",Where was Fred before the office? 
40,office,"Based on the context provided, Mary was at the office before she went to the school.",Where was Mary before the school? 
41,office,"Based on the context provided, Julie was at the school before she went to the kitchen this morning.",Where was Julie before the kitchen? 
42,bedroom,"Before going to the cinema this afternoon, Julie was in the bedroom.",Where was Julie before the cinema? 
43,school,"Based on the context provided, Bill was at the school before going to the kitchen.",Where was Bill before the kitchen? 
44,kitchen,"Based on the context provided, Julie was at the park before going to the office this morning. She",Where was Julie before the office? 
45,office,"Based on the context provided, Bill was at the school before he went to the park.",Where was Bill before the park? 
46,kitchen,Mary was at the kitchen before she went to the office. There is no mention of her being anywhere,Where was Mary before the office? 
47,school,"Before going to the park this afternoon, Bill was at the office.",Where was Bill before the park? 
48,bedroom,"Before going to the kitchen this morning, Julie was in the bedroom. Before going to the cinema this",Where was Julie before the kitchen? 
49,office,"Based on the context provided, Mary was at the office before she went to the park this morning.",Where was Mary before the park? 
50,bedroom,"Before going to the park this morning, Bill was in the bedroom. (Based on the context provided",Where was Bill before the park? 
51,cinema,"Based on the context provided, Fred was at the cinema before he went to the school.",Where was Fred before the school? 
52,office,"Before going to the cinema this morning, Fred was at the office.",Where was Fred before the cinema? 
53,kitchen,The context does not provide information on where Julie was before she went to the park. The given context,Where was Julie before the park? 
54,kitchen,"Before going to the cinema this evening, Bill was at the kitchen. However, the context also ment",Where was Bill before the cinema? 
55,cinema,"Before going to the school this morning, Julie was at the cinema. (Based on the context provided",Where was Julie before the school? 
56,school,"Based on the context provided, Bill was at the school before he went to the park.",Where was Bill before the park? 
57,kitchen,"Based on the context provided, there is no information given about where Mary was before she went to the",Where was Mary before the bedroom? 
58,kitchen,"Mary was at the office before she went to the park. (Based on the context provided, the",Where was Mary before the park? 
59,school,"Based on the context provided, Mary was at the school before she went to the park.",Where was Mary before the park? 
60,office,The context does not provide enough information to determine exactly where Fred was before he went to the park this,Where was Fred before the park? 
61,bedroom,"Before going to the office this afternoon, Mary was at the bedroom.",Where was Mary before the office? 
62,kitchen,Mary was at her home before the park. None of the given context mentions Mary being at the,Where was Mary before the park? 
63,school,"Based on the context provided, Fred was at the school before he went to the kitchen.",Where was Fred before the kitchen? 
64,office,"Based on the context provided, Julie was at the office before going to the bedroom this morning. Yes",Where was Julie before the bedroom? 
65,school,"Based on the context provided, Fred was at the cinema before going to the office.",Where was Fred before the office? 
66,school,"Based on the context provided, Mary was at the school before she went to the cinema. The context",Where was Mary before the cinema? 
67,park,"Based on the context provided, Julie was at the bedroom before going to the office.",Where was Julie before the office? 
68,cinema,"Based on the context provided, Bill was at the cinema before going to the kitchen.",Where was Bill before the kitchen? 
69,park,"Based on the context provided, Bill was at the park before going to the school.",Where was Bill before the school? 
70,cinema,"Before going to the bedroom this morning, Julie was at the cinema.",Where was Julie before the bedroom? 
71,school,"Before going to the office this evening, Mary was at the park (based on the context provided).",Where was Mary before the office? 
72,park,"Based on the context provided, Bill was at the park before going to the office.",Where was Bill before the office? 
73,park,"Based on the context provided, Bill was at the cinema before he went to the bedroom.",Where was Bill before the bedroom? 
74,kitchen,"Based on the context provided, there is no information given about where Julie was before she went to the",Where was Julie before the school? 
75,office,Fred was at the office before he went to the cinema.,Where was Fred before the cinema? 
76,office,"Before going to the kitchen this afternoon, Mary was at the office.",Where was Mary before the kitchen? 
77,cinema,"Based on the context provided, Fred was at the cinema before he moved to the school.",Where was Fred before the school? 
78,bedroom,"Mary was in the bedroom before she went to the cinema. (Based on the context provided, the",Where was Mary before the cinema? 
79,kitchen,"Based on the context provided, Fred was in the kitchen before he went back to the bedroom.",Where was Fred before the bedroom? 
80,bedroom,"Before going to the kitchen, Fred was either at the park or the bedroom based on the context provided",Where was Fred before the kitchen? 
81,school,"Before going to the office this afternoon, Mary was at the cinema.",Where was Mary before the office? 
82,bedroom,"Based on the context provided, Fred was in the bedroom before going to the park.",Where was Fred before the park? 
83,school,"Before going to the kitchen, Bill was either at the school or in the bedroom based on the context",Where was Bill before the kitchen? 
84,cinema,"Based on the context provided, Fred was at the cinema before he went to the kitchen. However,",Where was Fred before the kitchen? 
85,bedroom,"Before going to the office this evening, Bill was in the bedroom. (Based on the context provided",Where was Bill before the office? 
86,bedroom,"Based on the context provided, Bill was at the bedroom before going to the cinema.",Where was Bill before the cinema? 
87,school,"Based on the context provided, Bill was at a location other than the bedroom before going to the bedroom",Where was Bill before the bedroom? 
88,park,"Based on the context provided, Fred was at the bedroom before going to the school in the morning.",Where was Fred before the school? 
89,bedroom,"Based on the context provided, Fred was at the office before he went to the cinema.",Where was Fred before the cinema? 
90,bedroom,"Based on the context provided, there is no information given about where Julie was before she went to the",Where was Julie before the office? 
91,bedroom,"Based on the context provided, Julie was in the bedroom before she went to the cinema.",Where was Julie before the cinema? 
92,cinema,Mary was at the cinema before she went to the park. The context states that she traveled to the,Where was Mary before the park? 
93,office,"Based on the context provided, Bill was at the office before going to the kitchen.",Where was Bill before the kitchen? 
94,kitchen,"Based on the context provided, there is no information given about Julie's location before she went to",Where was Julie before the park? 
95,school,"Before going to the park this afternoon, Fred was either at the school or in the bedroom. Based",Where was Fred before the park? 
96,cinema,"Based on the context provided, Julie was at the cinema before she went to the office.",Where was Julie before the office? 
97,bedroom,"Based on the context provided, Mary was in the bedroom before going to the office.",Where was Mary before the office? 
98,office,"Based on the context provided, Bill was at the bedroom before going to the school. Therefore, the",Where was Bill before the school? 
99,park,"Based on the context provided, Fred was at the park before moving to the office.",Where was Fred before the office? 
100,kitchen,Fred was at the park before the cinema.,Where was Fred before the cinema? 
101,park,"Before going to the kitchen this morning, Mary was at the park.",Where was Mary before the kitchen? 
102,cinema,The context does not provide enough information to determine exactly where Julie was before she went to the office.,Where was Julie before the office? 
103,park,"Based on the context provided, Fred was at the park before he went to the kitchen.",Where was Fred before the kitchen? 
104,park,Bill was at the park before going to the office.,Where was Bill before the office? 
105,kitchen,"Based on the context provided, Julie was in a different room before going to the bedroom. However,",Where was Julie before the bedroom? 
106,office,"Based on the context provided, Mary was at the office before she went to the bedroom.",Where was Mary before the bedroom? 
107,kitchen,"Based on the context provided, Mary was in the kitchen before going to the bedroom. Here's",Where was Mary before the bedroom? 
108,cinema,"Based on the context provided, Bill was at the cinema before he went to the park.",Where was Bill before the park? 
109,kitchen,"Before going to the cinema this afternoon, Fred was at the kitchen this morning. Therefore, the answer",Where was Fred before the cinema? 
110,kitchen,"Based on the context provided, Mary was at the office before she went to the bedroom.",Where was Mary before the bedroom? 
111,park,"Based on the context provided, Julie was at the park before going to the office.",Where was Julie before the office? 
112,office,"Based on the context provided, Mary was at the kitchen before she went to the school. Therefore,",Where was Mary before the school? 
113,bedroom,"Based on the context provided, Bill was at his bedroom before going to the school. Therefore, the",Where was Bill before the school? 
114,school,Mary was at the school before she went to the park.,Where was Mary before the park? 
115,kitchen,"Based on the context provided, Bill was in the kitchen before he went to the bedroom.",Where was Bill before the bedroom? 
116,bedroom,"Based on the context provided, Julie was in the bedroom before she went to the park. However,",Where was Julie before the park? 
117,cinema,"Before going to the park this morning, Bill was at the cinema the previous day.",Where was Bill before the park? 
118,park,"Before going to the school this afternoon, Bill was at the park in the morning and at the bedroom",Where was Bill before the school? 
119,office,"Before going to the cinema this evening, Julie was in the bedroom. This is based on the information",Where was Julie before the cinema? 
120,office,"Based on the context provided, Fred was at the office before he went to the park.",Where was Fred before the park? 
121,park,"Before going to the cinema, Julie was at the park. (Based on the context provided, there",Where was Julie before the cinema? 
122,school,"Based on the context provided, Mary was at the school before she went to the park.",Where was Mary before the park? 
123,office,"Based on the context provided, Mary was in the office before she went to the kitchen this morning.",Where was Mary before the kitchen? 
124,school,"Before going to the cinema, Fred was at the office or at home since the context mentions that",Where was Fred before the cinema? 
125,bedroom,"Before going to the kitchen this morning, Julie was in the bedroom. The context states that she went",Where was Julie before the kitchen? 
126,school,"Based on the context provided, Mary was at the school before she went to the cinema.",Where was Mary before the cinema? 
127,kitchen,"Based on the context provided, Mary was in the kitchen before she went to the park.",Where was Mary before the park? 
128,bedroom,"Based on the context provided, Bill was in the bedroom before he went to the park.",Where was Bill before the park? 
129,bedroom,"Based on the context provided, Mary was in the bedroom before she went to the kitchen.",Where was Mary before the kitchen? 
130,office,"Before going to the bedroom, Bill was at the office or at home (as mentioned in the context",Where was Bill before the bedroom? 
131,school,"Based on the context provided, Fred was at the school before he went to the kitchen.",Where was Fred before the kitchen? 
132,bedroom,"Based on the context provided, Bill was at the bedroom before going to the office.",Where was Bill before the office? 
133,kitchen,"Before going to the park this evening, Julie was in the kitchen.",Where was Julie before the park? 
134,kitchen,"Before going to the office this morning, Julie was in the kitchen.",Where was Julie before the office? 
135,park,"Based on the context provided, there is no information given about where Fred was before he traveled to the",Where was Fred before the school? 
136,cinema,"Before going to the kitchen this morning, Fred was at the cinema.",Where was Fred before the kitchen? 
137,kitchen,"Based on the context provided, Bill was at the kitchen before going to the school.",Where was Bill before the school? 
138,bedroom,Mary was in the bedroom before she went to the kitchen.,Where was Mary before the kitchen? 
139,cinema,The context does not provide enough information to determine exactly where Fred was before he went to the bedroom this,Where was Fred before the bedroom? 
140,office,"Based on the context provided, Mary was at the office before she went to the school.",Where was Mary before the school? 
141,bedroom,"Based on the context provided, there is no information given about where Bill was before he went to the",Where was Bill before the school? 
142,park,"Based on the context provided, Fred was at the park before going to the office.",Where was Fred before the office? 
143,kitchen,"Based on the context provided, Julie was at the kitchen before she moved to the bedroom. There is",Where was Julie before the bedroom? 
144,cinema,"Before going to the bedroom, Mary was likely at a different location based on the context provided. The",Where was Mary before the bedroom? 
145,bedroom,"Based on the context provided, Bill was in the bedroom before he went to the park.",Where was Bill before the park? 
146,park,"Based on the context provided, Bill was at the park before he went to the school.",Where was Bill before the school? 
147,park,"Based on the context provided, Fred was at the park before going to the bedroom.",Where was Fred before the bedroom? 
148,bedroom,"Based on the context provided, Julie was in the bedroom before going to the school.",Where was Julie before the school? 
149,kitchen,"Based on the context provided, Mary was in the kitchen before she went to the park this morning.",Where was Mary before the park? 
150,bedroom,"Based on the context provided, there is no explicit information given about where Fred was before he went to",Where was Fred before the kitchen? 
151,school,"Before going to the cinema, Bill was at the school.",Where was Bill before the cinema? 
152,office,The context does not provide information on where Fred was before he went to the school this morning.,Where was Fred before the school? 
153,kitchen,Mary was at the park before she went to the bedroom.,Where was Mary before the bedroom? 
154,school,"Based on the context provided, Mary was at the school before she went to the kitchen.",Where was Mary before the kitchen? 
155,school,"Before Julie went to the park, she was at the school.",Where was Julie before the park? 
156,school,"Mary was in the bedroom before she went to the office. (Based on the context provided, the",Where was Mary before the office? 
157,bedroom,"Based on the context provided, Bill was in the bedroom before going to the cinema.",Where was Bill before the cinema? 
158,school,"Before going to the office this morning, Bill was likely at home or some other location. However,",Where was Bill before the office? 
