,target,output
0,hallway,The most recent location of John is hallway.
1,bathroom,Mary went to the bathroom.
2,kitchen,Sandra is in the kitchen.
3,hallway,Sandra is in the kitchen.
4,kitchen,Sandra is in the kitchen.
5,hallway,The most recent location of Sandra is hallway.
6,garden,The most recent location of Sandra is garden.
7,hallway,The most recent location of Daniel is hallway.
8,office,The most recent location of Sandra is hallway.
9,office,The most recent location of Daniel is hallway.
10,kitchen,Mary journeyed to the kitchen.
11,garden,Mary went to the kitchen.
12,office,The most recent location of Daniel is office.
13,bedroom,Mary went to the kitchen.
14,bedroom,Mary went to the kitchen.
15,kitchen,The most recent location of John is hallway.
16,garden,The most recent location of John is hallway.
17,kitchen,The most recent location of John is kitchen.
18,office,Mary went to the hallway.
19,kitchen,The most recent location of John is kitchen.
20,hallway,Mary journeyed to the kitchen.
21,office,The most recent location of John is office.
22,office,The most recent location of John is the bathroom.
23,hallway,Sandra is in the office.
24,bedroom,The most recent location of Daniel is bedroom.
25,bedroom,The most recent location of Sandra is bedroom.
26,bedroom,Mary went back to the kitchen.
27,kitchen,The most recent location of Daniel is kitchen.
28,kitchen,The most recent location of Daniel is kitchen.
29,kitchen,The most recent location of Daniel is kitchen.
30,hallway,The most recent location of Sandra is hallway.
31,office,The most recent location of John is office.
32,kitchen,The most recent location of Sandra is kitchen.
33,kitchen,The most recent location of Sandra is kitchen.
34,bathroom,Sandra moved to the hallway.
35,office,Mary went back to the bedroom.
36,bathroom,Mary went back to the bedroom.
37,garden,Mary went back to the bedroom.
38,kitchen,Sandra is in the hallway.
39,bedroom,The most recent location of Daniel is bedroom.
40,bathroom,The most recent location of Sandra is office.
41,garden,The most recent location of Daniel is garden.
42,bathroom,The most recent location of Sandra is office.
43,hallway,The most recent location of Daniel is hallway.
44,garden,The most recent location of Daniel is garden.
