,target,output,question
0,kitchen,In the river.,Where is the football? 
1,garden,In the kitchen,Where is the milk? 
2,bedroom,In the bedroom,Where is the apple? 
3,bedroom,Mary took it to the bedroom,Where is the apple? 
4,kitchen,In the kitchen,Where is the apple? 
5,hallway,In the milk.,Where is the apple? 
6,kitchen,In the kitchen,Where is the milk? 
7,garden,In the kitchen,Where is the milk? 
8,bedroom,Mary got it from the kitchen and took it to the bedroom.,Where is the milk? 
9,bathroom,In the fridge.,Where is the milk? 
10,bathroom,In the hallway.,Where is the football? 
11,bedroom,In the kitchen,Where is the milk? 
12,bathroom,In the kitchen,Where is the apple? 
13,kitchen,In the bathroom,Where is the football? 
14,bedroom,On the table near the altar,Where is the apple? 
15,garden,On the table,Where is the apple? 
16,bedroom,In the kitchen,Where is the football? 
17,bedroom,In the pocket of Daniel's coat.,Where is the apple? 
18,garden,In the American River,Where is the milk? 
19,garden,In the kitchen.,Where is the milk? 
20,office,In the stomach of the horse.,Where is the apple? 
21,bedroom,In the bedroom,Where is the milk? 
22,garden,In the kitchen,Where is the milk? 
23,bathroom,In the office.,Where is the milk? 
24,office,In the kitchen,Where is the apple? 
25,garden,In the garden.,Where is the football? 
26,garden,In the kitchen,Where is the football? 
27,bedroom,In the garden.,Where is the apple? 
28,hallway,In the cherry bookcase,Where is the apple? 
29,hallway,In Daniel's stomach,Where is the apple? 
30,hallway,In the bathroom.,Where is the apple? 
31,garden,In the library.,Where is the football? 
32,hallway,In the hallway,Where is the apple? 
33,kitchen,In the hallway,Where is the football? 
34,hallway,In the kitchen.,Where is the milk? 
35,kitchen,In the kitchen,Where is the apple? 
36,office,In the kitchen.,Where is the milk? 
37,hallway,In the hallway.,Where is the milk? 
38,bathroom,In Toto's stomach.,Where is the milk? 
39,bathroom,In the kitchen,Where is the milk? 
40,bathroom,In the bathroom,Where is the football? 
41,hallway,In the garden.,Where is the football? 
42,garden,In the garden with the birds.,Where is the apple? 
43,bedroom,In the hallway.,Where is the apple? 
44,kitchen,In the kitchen.,Where is the milk? 
45,bedroom,In the kitchen,Where is the milk? 
46,hallway,In the kitchen,Where is the apple? 
47,garden,In the kitchen.,Where is the milk? 
48,kitchen,In the baseball club's possession.,Where is the football? 
49,bathroom,In the bedroom.,Where is the football? 
50,garden,In the bathroom.,Where is the milk? 
51,bedroom,In the garden,Where is the apple? 
52,hallway,In Mrs. Rafferty's wash tub.,Where is the milk? 
53,hallway,In the kitchen.,Where is the milk? 
54,office,In the bedroom,Where is the milk? 
55,kitchen,Mary picked it up in the hallway.,Where is the apple? 
56,bathroom,In the bathroom.,Where is the milk? 
57,bathroom,In the fridge,Where is the milk? 
58,office,In Burt's room.,Where is the football? 
59,garden,In the hallway.,Where is the football? 
60,kitchen,The apple is in the bedroom.,Where is the apple? 
61,bathroom,In the kitchen.,Where is the apple? 
62,garden,In the possession of the old woman.,Where is the football? 
63,bathroom,In the kitchen.,Where is the milk? 
64,bathroom,In the refrigerator.,Where is the milk? 
65,hallway,In the hallway.,Where is the milk? 
66,bedroom,In the hallway.,Where is the football? 
67,garden,In the hallway.,Where is the football? 
68,bedroom,In Louisville,Where is the football? 
69,bathroom,In Mary's pocket.,Where is the apple? 
70,garden,In the pantry.,Where is the milk? 
71,office,In the bedroom,Where is the milk? 
72,office,In the bedroom.,Where is the football? 
73,hallway,In the stomach of the dog.,Where is the football? 
74,garden,In the possession of the rolling mill workers.,Where is the football? 
75,office,In the kitchen.,Where is the milk? 
76,kitchen,In the garden.,Where is the football? 
77,office,In the refrigerator.,Where is the milk? 
78,kitchen,In Daniel's stomach.,Where is the apple? 
79,kitchen,In the hallway.,Where is the football? 
80,office,The football is in the office.,Where is the football? 
81,kitchen,On the table,Where is the apple? 
82,office,In the kitchen,Where is the apple? 
83,bathroom,In the hallway.,Where is the football? 
84,bathroom,In the hallway,Where is the football? 
85,office,In the bathroom,Where is the milk? 
86,bathroom,In the office,Where is the apple? 
87,bedroom,In the kitchen,Where is the milk? 
88,hallway,In the garden.,Where is the apple? 
89,bedroom,In the hallway,Where is the milk? 
90,bedroom,In the kitchen,Where is the apple? 
91,bathroom,In the hallway.,Where is the football? 
92,bedroom,In the possession of the Confederate Army.,Where is the football? 
93,bedroom,In John's possession,Where is the football? 
94,bedroom,In the hallway.,Where is the apple? 
95,kitchen,On the balcony.,Where is the football? 
96,garden,In the bedroom.,Where is the milk? 
97,office,In the bathroom,Where is the milk? 
98,bedroom,In the bedroom,Where is the milk? 
99,kitchen,On the table in the drawing room,Where is the apple? 
