,target,output,result,question
0,hallway, The milk is in the fridge.,0.0,Where is the milk? 
1,bathroom, The milk is in the kitchen.,0.0,Where is the milk? 
2,bedroom, The milk is in the basement.,0.0,Where is the milk? 
3,bathroom, The apple is in the ground.,0.0,Where is the apple? 
4,office, The football is in Howkins.,0.0,Where is the football? 
5,office, The apple is in the tree.,0.0,Where is the apple? 
6,garden, The football is in the field.,0.0,Where is the football? 
7,office, The apple is in the tree.,0.0,Where is the apple? 
8,office, The football is in the field.,0.0,Where is the football? 
9,garden, The football is in Howkins.,0.0,Where is the football? 
10,bedroom, The football is in John's chest.,0.0,Where is the football? 
11,kitchen, The milk is in the kitchen.,1.0,Where is the milk? 
12,office," The football is in the Howkins, W., Hillmorton Grounds, Rugby.",0.0,Where is the football? 
13,bathroom, The milk is in the fridge.,0.0,Where is the milk? 
14,bedroom, The apple is in the tree.,0.0,Where is the apple? 
15,bathroom, The apple is in the tree.,0.0,Where is the apple? 
16,garden," The football is in Howkins, W., Hillmorton Grounds, Rugby.",0.0,Where is the football? 
17,kitchen, The milk is in the fridge.,0.0,Where is the milk? 
18,bedroom, The football is in the stadium.,0.0,Where is the football? 
19,office, The milk is in the fridge.,0.0,Where is the milk? 
20,bedroom, The apple is in the tree.,0.0,Where is the apple? 
21,bedroom, The football is in his chest.,0.0,Where is the football? 
22,bathroom, The milk is in the fridge.,0.0,Where is the milk? 
23,kitchen, The football is in the field.,0.0,Where is the football? 
24,office, The milk is in the fridge.,0.0,Where is the milk? 
25,kitchen, The milk is in the fridge.,0.0,Where is the milk? 
26,garden, The milk is in the kitchen.,0.0,Where is the milk? 
27,kitchen, The football is in the world.,0.0,Where is the football? 
28,kitchen," The football is in Howkins, W., Hillmorton Grounds, Rugby.",0.0,Where is the football? 
29,kitchen, The milk is in the fridge.,0.0,Where is the milk? 
30,kitchen, The football is in the Hillmorton Grounds.,0.0,Where is the football? 
31,bedroom, The football is in the there.,0.0,Where is the football? 
32,bathroom, The apple is in the ground.,0.0,Where is the apple? 
33,bathroom, The football is in the Hillmorton Grounds.,0.0,Where is the football? 
34,office, The football is in Mary's chest.,0.0,Where is the football? 
35,bedroom, The milk is in the fridge.,0.0,Where is the milk? 
36,bathroom, The football is in the field.,0.0,Where is the football? 
37,office, The milk is in the fridge.,0.0,Where is the milk? 
38,hallway, The football is in the field.,0.0,Where is the football? 
39,garden, The apple is in the vicinity.,0.0,Where is the apple? 
40,bedroom, The football is in Barrow Hall.,0.0,Where is the football? 
41,kitchen, The football is in Barrow Hall.,0.0,Where is the football? 
42,office, The apple is in the tree.,0.0,Where is the apple? 
43,bathroom, The milk is in the fridge.,0.0,Where is the milk? 
44,office, The milk is in the kitchen.,0.0,Where is the milk? 
45,bathroom, The football is in the world.,0.0,Where is the football? 
46,kitchen, The football is in Hillmorton Grounds.,0.0,Where is the football? 
47,bathroom, The football is in the world.,0.0,Where is the football? 
48,kitchen, The football is in the chest.,0.0,Where is the football? 
49,bathroom, The football is in Barrow Hall.,0.0,Where is the football? 
50,hallway, The football is in the field.,0.0,Where is the football? 
51,hallway, The football is in the backyard.,0.0,Where is the football? 
52,hallway, The football is in Barrow Hall.,0.0,Where is the football? 
53,kitchen, The football is in the Hillmorton Grounds.,0.0,Where is the football? 
54,office," The football is in Hillmorton Grounds, Rugby.",0.0,Where is the football? 
55,hallway, The apple is in the apple tree.,0.0,Where is the apple? 
56,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
57,bathroom, The apple is in the tree.,0.0,Where is the apple? 
58,office, The milk is in the fridge.,0.0,Where is the milk? 
59,hallway, The apple is in the tree.,0.0,Where is the apple? 
60,hallway, The football is in the Hillmorton Grounds.,0.0,Where is the football? 
61,office, The apple is in the vicinity.,0.0,Where is the apple? 
62,garden, The milk is in the fridge.,0.0,Where is the milk? 
63,office, The apple is in the ground.,0.0,Where is the apple? 
64,hallway, The football is in Barrow Hall.,0.0,Where is the football? 
65,office, The milk is in the fridge.,0.0,Where is the milk? 
66,garden, The apple is in the tree.,0.0,Where is the apple? 
67,hallway, The football is in Barrow Hall.,0.0,Where is the football? 
68,bedroom, The football is in the Hillmorton Grounds.,0.0,Where is the football? 
69,kitchen, The apple is in the tree.,0.0,Where is the apple? 
70,bedroom," The football is in Howkins, W., Hillmorton Grounds, Rugby.",0.0,Where is the football? 
71,hallway, The apple is in the tree.,0.0,Where is the apple? 
72,hallway, The apple is in the ground.,0.0,Where is the apple? 
73,bedroom, The apple is in the tree.,0.0,Where is the apple? 
74,hallway, The apple is in the ground.,0.0,Where is the apple? 
75,kitchen, The milk is in the fridge.,0.0,Where is the milk? 
76,kitchen, The football is in his chest.,0.0,Where is the football? 
77,hallway," The football is in Howkins, W., Hillmorton Grounds, Rugby.",0.0,Where is the football? 
78,garden, The apple is in the kitchen.,0.0,Where is the apple? 
79,garden, The apple is in front of the gate.,0.0,Where is the apple? 
80,bathroom, The apple is in the tree.,0.0,Where is the apple? 
81,hallway, The milk is in the fridge.,0.0,Where is the milk? 
82,bedroom, The apple is in the vicinity.,0.0,Where is the apple? 
83,bedroom, The apple is in the tree.,0.0,Where is the apple? 
84,bathroom, The apple is in the tree.,0.0,Where is the apple? 
85,hallway, The milk is in the fridge.,0.0,Where is the milk? 
86,hallway, The football is in Hillmorton Grounds.,0.0,Where is the football? 
87,garden, The football is in Barrow Hall.,0.0,Where is the football? 
88,bathroom, The apple is in the gate.,0.0,Where is the apple? 
89,garden, The milk is in the kitchen.,0.0,Where is the milk? 
90,hallway, The apple is in Ohio.,0.0,Where is the apple? 
91,hallway, The milk is in the fridge.,0.0,Where is the milk? 
92,bathroom, The milk is in the kitchen.,0.0,Where is the milk? 
93,kitchen, The apple is in the tree.,0.0,Where is the apple? 
94,hallway, The apple is in the tree.,0.0,Where is the apple? 
95,garden, The milk is in the fridge.,0.0,Where is the milk? 
96,garden, The milk is in the kitchen.,0.0,Where is the milk? 
97,garden, The football is in the there.,0.0,Where is the football? 
98,garden, The milk is in the kitchen.,0.0,Where is the milk? 
99,bathroom, The milk is in the fridge.,0.0,Where is the milk? 
