task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,lr_scheduler,max_n_segments,input_size,num_mem_tokens,model_path,num_steps,best_valid_exact_match,key_size,value_size,num_pairs
associative_retrieval,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_4l4hd64.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,64,linear,2,,4,../runs/test/associative_retrieval//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem4_bs64_regular_bptt-2_4l4hd64/run_1,1050,1.0,4,4,1
associative_retrieval,,/home/jovyan/rmt/wip/base_models/gptconfigs/gpt2_tiny_4l4hd64.json,transformers:GPT2LMHeadModel,decoder,0.0001,64,linear,3,,4,../runs/test/associative_retrieval//lr1e-04_linear_adamw_wd1e-03_k4-v4-p2-3x2048_mem4_bs64_regular_bptt-3_4l4hd64/run_1,5000,0.6398000121116638,4,4,2
associative_retrieval,,/home/jovyan/rmt/wip/base_models/gptconfigs/gpt2_tiny_4l4hd64.json,transformers:GPT2LMHeadModel,decoder,0.0001,64,linear,3,,4,../runs/test/associative_retrieval//lr1e-04_linear_adamw_wd1e-03_k4-v4-p2-3x2048_mem4_bs64_regular_bptt-3_4l4hd64/run_1,5000,0.27880001068115234,4,4,2
associative_retrieval,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_4l4hd64.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,64,linear,4,,4,../runs/test/associative_retrieval//lr1e-04_linear_adamw_wd1e-03_k4-v4-p3-4x2048_mem4_bs64_regular_bptt-4_4l4hd64/run_2,600,0.0,4,4,3
associative_retrieval,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_4l4hd128.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0003,128,linear,2,,4,../runs/test/associative_retrieval/gpt-neox/lr3e-04_linear_adamw_wd1e-03_k1-v1-p1-2x2048_mem4_bs512_regular_bptt-2_4l4hd128/run_1,300,0.0,1,1,1
associative_retrieval,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_4l4hd128.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0003,128,linear,2,,4,../runs/test/associative_retrieval/gpt-neox/lr3e-04_linear_adamw_wd1e-03_k1-v1-p1-2x2048_mem4_bs512_regular_bptt-2_4l4hd128/run_1,2000,1.0,1,1,1
associative_retrieval,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_4l4hd128.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0003,128,linear,3,,4,../runs/test/associative_retrieval/gpt-neox/lr3e-04_linear_adamw_wd1e-03_k1-v1-p2-3x2048_mem4_bs512_regular_bptt-3_4l4hd128/run_1,10000,1.0,1,1,2
associative_retrieval,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_4l4hd128.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0003,128,linear,4,,4,../runs/test/associative_retrieval/gpt-neox/lr3e-04_linear_adamw_wd1e-03_k1-v1-p3-4x2048_mem4_bs512_regular_bptt-4_4l4hd128/run_1,10000,1.0,1,1,3
associative_retrieval,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_4l4hd128.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0003,128,linear,6,,4,../runs/test/associative_retrieval/gpt-neox/lr3e-04_linear_adamw_wd1e-03_k1-v1-p5-6x2048_mem4_bs512_regular_bptt-6_4l4hd128/run_1,10000,0.9980000257492065,1,1,5
associative_retrieval,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_4l4hd128.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0003,128,linear,11,,4,../runs/test/associative_retrieval/gpt-neox/lr3e-04_linear_adamw_wd1e-03_k1-v1-p10-11x2048_mem4_bs512_regular_bptt-11_4l4hd128/run_1,10000,1.0,1,1,10
