,target,output,question
0,football,"Answer: A straight piece of bad news.

Question",What did Fred give to Jeff? 
1,Fred,Answer: K.,Who gave the football to Jeff? 
2,football,"Answer: The football.

Question: What did Jeff give",What did Fred give to Jeff? 
3,Jeff,"Answer: Jeff.

Question: Who did Jeff hand the",Who did Fred give the football to? 
4,Fred,"Answer: Fred.

Question: Who was the maniac",Who did Jeff give the football to? 
5,Jeff,"Answer: Halliday.

Question: What was the",Who gave the apple? 
6,Bill,"Answer: The little girl, Peggy.

Question",Who received the apple? 
7,apple,Answer: A blow on the head.,What did Bill give to Fred? 
8,apple,"Answer: The apple.

Question: What did Fred",What did Bill give to Fred? 
9,Fred,Answer: Mary.,Who received the apple? 
10,Mary,"Answer: Mary.

Question: Who was the first",Who received the milk? 
11,milk,"Answer: The milk.

Question: What did the",What did Mary give to Bill? 
12,Bill,"Answer: Mandy

Question: What was the cause",Who received the milk? 
13,Bill,"Answer: Bill

Question: What did the doctor say",Who did Mary give the milk to? 
14,milk,"Answer: The milk.

Question: What did Bill",What did Mary give to Bill? 
15,Jeff,"Answer: Angelo Hall.

Question: Who received",Who received the football? 
16,Fred,,Who gave the football to Jeff? 
17,football,"Answer: A book of poetry, and a
picture of",What did Fred give to Jeff? 
18,Jeff,Answer: Cousin Cæsar Simon.,Who received the football? 
19,Mary,"Answer: Mary.

Question: Who was the first",Who gave the milk? 
20,milk,"Answer: The milk.

     * ""The Trial of James",What did Jeff give to Mary? 
21,Mary,"Answer: The Quaker lady, Mary
     Hicks, who,",Who gave the milk to Jeff? 
22,Mary,Answer: The woman. Question: Who gave the milk to Mary? Answer,Who gave the milk to Jeff? 
23,Bill,Answer: Bill,Who gave the apple to Jeff? 
24,Jeff,"Answer: Bill

Question: Who gave the apple?",Who gave the apple? 
25,apple,"Answer: A cup of coffee.

Question: What",What did Jeff give to Fred? 
26,Fred,"Answer: The trailer.

Question: Who was the",Who received the apple? 
27,Jeff,"Answer: Jeff

Question: Who was the person who",Who received the apple? 
28,Jeff,"Answer: Jeff.

Question: Who gave the apple? Answer:",Who gave the apple? 
29,Fred,"Answer: Fred

Question: Who did Bill give the",Who did Jeff give the apple to? 
30,Mary,"Answer: The cow.




  [Illustration",Who gave the milk? 
31,Bill,Answer: Bill.,Who gave the milk? 
32,Bill,Answer: The waitress at the hotel.,Who gave the milk to Mary? 
33,milk,"Answer: A very fine and large
coach, with",What did Bill give to Mary? 
34,apple,"Answer: The apple.

1st July, 167",What did Mary give to Fred? 
35,Jeff,"Answer: Jeff.

Question: Who did Jeff give the milk to",Who did Fred give the milk to? 
36,Jeff,Answer: Jeff.,Who did Fred give the milk to? 
37,milk,"Answer: The answer is not given.

Question:",What did Jeff give to Mary? 
38,milk,"Answer: The milk.

Question: What did Bill",What did Jeff give to Mary? 
39,Fred,"Answer: Bill

Question: Who gave the milk?",Who gave the apple? 
40,Mary,"Answer: The milkman.

Question: Who gave",Who gave the milk? 
41,milk,"Answer: A pair of saddle horses, and a
pair",What did Mary give to Fred? 
42,Jeff,Answer: The milk was given by the milkman.,Who gave the milk? 
43,Fred,Answer: Miss Maggie Duff,Who received the milk? 
44,Mary,"Answer: The milkman.

Question: Who picked",Who gave the milk? 
45,Bill,"Answer: The Girondins.

     * ""Memoires",Who did Mary give the milk to? 
46,milk,"Answer: The milk.

Question: What did Bill leave the milk",What did Mary give to Bill? 
47,Mary,"Answer: The surgeon.

Question: Who gave",Who gave the milk? 
48,Mary,Answer: Mary.,Who did Bill give the milk to? 
49,Bill,"Answer: The Colonel.

Question: Who was the",Who gave the milk to Mary? 
50,Mary,Answer: The Colonel. Question: Who gave the apple to Mary? Answer,Who gave the apple to Fred? 
51,Fred,"Answer: Dr. Inglis.




CHAPTER",Who gave the apple to Mary? 
52,apple,"Answer: A letter from Dr. Inglis,
who was in",What did Fred give to Mary? 
53,apple,"Answer: A pair of gloves.

Question: What",What did Mary give to Jeff? 
54,apple,"Answer: A bird in a cage.

Question:",What did Mary give to Jeff? 
55,Fred,"Answer: Arne Kampen.

Question: Who",Who received the football? 
56,football,"Answer: A football.

Question: What did Fred",What did Bill give to Fred? 
57,Bill,Answer: Cousin Cæsar Simon.,Who gave the apple? 
58,Bill,"Answer: Bill

Question: Who did Bill give the",Who did Mary give the apple to? 
59,Jeff,"Answer: Mary.

Question: Who did Mary give the apple to",Who did Bill give the apple to? 
60,Jeff,,Who did Bill give the apple to? 
61,Bill,"Answer: Bill.

Question: Who gave the apple",Who gave the apple to Jeff? 
62,Jeff,"Answer: Jeff.

Question: Who gave the apple",Who gave the apple to Bill? 
63,Bill,"Answer: The person who received the apple.

Question: Who received",Who received the apple? 
64,Mary,"Answer: Mary.

Question: Who gave the football",Who gave the milk? 
65,Mary,Answer: Dr. Inglis.,Who gave the apple to Bill? 
66,Bill,"Answer: To Bill.

Question: Who did Bill",Who did Mary give the apple to? 
67,Mary,"Answer: Mary.

Question: Who did Mary pass",Who did Bill give the apple to? 
68,apple,"Answer: A piece of cotton seed oil.

Question",What did Bill give to Mary? 
69,Mary,"Answer: Mary.

Question: Who did Mary give",Who did Bill give the apple to? 
70,apple,Answer: A peck of trouble. Question: What did Jeff give to,What did Fred give to Jeff? 
71,Jeff,"Answer: Fred.

Question: Who discarded the apple? Answer",Who gave the football? 
72,Jeff,"Answer: The author of this book.


<context>",Who gave the football? 
73,apple,"Answer: The apple.




CHAPTER",What did Fred give to Bill? 
74,apple,"Answer: A silver dollar.

Question: What did",What did Fred give to Bill? 
75,Fred,"Answer: The man who gave the football was the
deputy sh",Who gave the football? 
76,Fred,Answer: The senorita Cota Ramierez,Who gave the football? 
77,Mary,Answer: Bray,Who received the football? 
78,Mary,Answer: Amy,Who gave the football? 
79,football,"Answer: A kiss.

Question: What did Amy",What did Mary give to Fred? 
80,milk,"Answer: A kiss.

Question: What did Jeff",What did Fred give to Jeff? 
81,milk,Answer: A pair of spurs.,What did Fred give to Jeff? 
82,Fred,,Who did Jeff give the milk to? 
83,milk,"Answer: The milk.

Question: What did Fred",What did Jeff give to Fred? 
84,Jeff,"Answer: Bill.

Question: Who was the father",Who gave the milk to Fred? 
85,Fred,"Answer: Fred.

Question: Who did Eli give",Who did Mary give the apple to? 
86,Fred,"Answer: Fred.

Question: Who gave the apple",Who gave the apple to Mary? 
87,Mary,Answer: I did. Question: Who gave the apple? Answer: I,Who gave the apple? 
88,Jeff,"Answer: Jeff.

Question: Who did Jeff give",Who did Mary give the apple to? 
89,Jeff,"Answer: The Earl of Douglas.

Question: Who was",Who received the football? 
90,football,"Answer: The football.

Question: What did Jeff",What did Mary give to Jeff? 
91,Mary,"The scent of buds and spice,
         The",Who received the football? 
92,Mary,Answer: Mary.,Who gave the football? 
93,Jeff,"Answer: Jeff.

Question: Who did Jeff give",Who did Mary give the football to? 
94,Bill,"Answer: Bill


Question: Who did Bill give",Who did Fred give the apple to? 
95,Jeff,"Answer: Burt

Question: Who was the first",Who did Mary give the apple to? 
96,Mary,"Answer: Burt Clifford

Question: Who",Who gave the apple to Jeff? 
97,apple,"Answer: The crimson sheen of the blood-stained
sw",What did Jeff give to Fred? 
98,Fred,"Answer: The Douglas. [312] The Douglas, with his",Who did Jeff give the apple to? 
99,milk,Answer: A ring containing a signet or private seal. The Lady of,What did Bill give to Mary? 
100,Bill,"Answer: Jimmieboy.

Question: What",Who did Mary give the apple to? 
101,Bill,"Choice: Miss Trotter

Explanation: The",Who received the apple? 
102,Fred,"Answer: Bill gave the apple to Fred.

Question",Who gave the apple? 
103,Bill,Answer: Bill.,Who gave the apple? 
104,apple,"Answer: The apple.

Question: What did Bill",What did Mary give to Bill? 
105,Jeff,Answer: The first person who received the milk was a,Who received the milk? 
106,Mary,"Answer: The Earl of Arundel.

Question",Who gave the milk? 
107,Jeff,"Answer: Jeff.




/Chap. XC",Who did Mary give the milk to? 
108,football,"Answer: A football.

Question: What did Mary give to Bill",What did Bill give to Mary? 
109,Mary,"Answer: The same who gave the milk.

Question: Who gave",Who gave the football? 
110,apple,,What did Jeff give to Mary? 
111,apple,"Answer: The apple.

Question: What did Mary",What did Jeff give to Mary? 
112,Mary,"Answer: Mary.

Question: What is the meaning",Who gave the apple? 
113,Mary,"Answer: The glover, Simon Glover, did",Who gave the apple? 
114,Mary,"Hint: The answer is in the text.

<",Who received the apple? 
115,Bill,"Answer: The mother.

Question: Who gave the",Who gave the milk? 
116,milk,"Answer: Milk.

Question: What did the",What did Mary give to Bill? 
117,Bill,"Answer: Bill


<context>

Question",Who did Mary give the milk to? 
118,milk,"Answer: A milk-white football.

Question:",What did Bill give to Mary? 
119,Mary,"<context>


THE MAGISTRATE",Who did Bill give the milk to? 
120,milk,Answer: A milk-maid.,What did Mary give to Bill? 
121,Mary,,Who gave the milk? 
122,Mary,Answer: Bill.,Who gave the milk? 
123,Jeff,Answer: Jeff.,Who did Bill give the football to? 
124,Bill,"Answer: The Confederates.

Question: Who was",Who gave the football to Jeff? 
125,Jeff,"Answer: Watson.

Question: Who was the doctor",Who received the football? 
126,Jeff,"Answer: Gerhardt.

Question: Who was",Who gave the football to Bill? 
127,football,,What did Jeff give to Bill? 
128,football,"Answer: The football.

Question: What did Fred",What did Jeff give to Bill? 
129,apple,"Answer: A football.

Question: What did Mary",What did Fred give to Mary? 
130,Bill,"Answer: Stella Hassy.

Question: Who",Who received the apple? 
131,apple,"Answer: A box of cigars.

Question:",What did Mary give to Bill? 
132,apple,"Answer: A silver watch.

Question: What did",What did Mary give to Bill? 
133,apple,"Answer: A half dozen
eggs.

Question: What did",What did Jeff give to Mary? 
134,Fred,"Answer: Bill gave the apple.

Question: Who",Who gave the apple? 
135,football,"Answer: A football.

Question: What did Bru",What did Fred give to Jeff? 
136,football,Answer: A football.,What did Fred give to Jeff? 
137,Jeff,Answer: Fred. Question: Who gave the football to Jeff? Answer:,Who gave the football? 
138,Fred,"Answer: Max Wilson.

Question: Who did Max",Who did Jeff give the football to? 
139,football,"Answer: A football.

Question: What did Mary",What did Fred give to Mary? 
140,football,"Answer: A football.

Question: What did Fred",What did Jeff give to Mary? 
141,Mary,"<context>

Answer: The men of the Nin",Who received the football? 
142,football,"Answer: The football.

      Question: What did",What did Mary give to Jeff? 
143,Jeff,"Answer: The Duke of Devonshire.

Question",Who gave the football? 
144,Bill,--Ver.,Who received the apple? 
145,Fred,"Answer: The Mahdi.

Question: Who was",Who received the apple? 
146,Fred,"Answer: The Duke of Devonshire.

Question",Who received the apple? 
147,Mary,"Answer: Mary.

Question: Who did Fred give",Who did Bill give the football to? 
148,Bill,"Answer: Bill

Question: Who was the person seen",Who gave the football to Mary? 
149,Fred,"Answer: Mary.

Question: What was the football",Who received the football? 
150,Bill,,Who received the apple? 
151,Jeff,"Answer: Easton.

Question: Who gave the",Who gave the apple to Bill? 
152,Bill,Answer: Bill,Who received the apple? 
153,Bill,"Hint: Jimmy

<context>

Question: Who",Who gave the apple to Jeff? 
154,apple,"Answer: A bottle of beer.

Question: What",What did Bill give to Jeff? 
155,football,"Mary gave Bill a football.

Question: What did Bill",What did Mary give to Bill? 
156,football,"Mary gave Bill the football there.
Answer: The football",What did Mary give to Bill? 
157,Mary,"Answer: Mary.

Question: Who did Mandy",Who did Bill give the football to? 
158,football,"Answer: A kiss.


<context>",What did Bill give to Mary? 
159,Bill,"Answer: Bill


<context>

Question",Who received the apple? 
160,Bill,"Answer: Bill

Question: Who did Bill give the",Who did Fred give the apple to? 
161,apple,"Answer: A hundred dollars.

Question: What did",What did Fred give to Bill? 
162,apple,Answer: A copy of the book he was writing.,What did Fred give to Bill? 
163,Fred,"Answer: The Goodwood Plunger

Question:",Who gave the apple? 
164,Jeff,"Answer: Christine


<context>",Who received the apple? 
165,Jeff,"Answer: K.



<context>",Who received the apple? 
166,Jeff,Answer: Mary.,Who received the apple? 
167,Jeff,"Answer: Harry West

Question: Who was the first",Who received the apple? 
168,apple,"Answer: A kiss.

Question: What did E",What did Mary give to Jeff? 
169,Bill,"Answer: Mary gave the milk to Fred.

Question",Who gave the milk to Fred? 
170,football,"Answer: A letter.

Question: What did Bill",What did Mary give to Bill? 
171,Bill,"Answer: To her brother Bill.

Question: Who",Who did Mary give the football to? 
172,football,"Answer: A brother.




                              CHAPTER XVI.",What did Bill give to Mary? 
173,football,"Answer: A pair of gloves.

Question: What did Mary give",What did Bill give to Mary? 
174,Mary,Answer: Mary.,Who did Bill give the football to? 
175,football,"Answer: The football

Question: What did Mary give",What did Jeff give to Bill? 
176,football,"Answer: The football.

Question: What did Mary",What did Bill give to Mary? 
177,Mary,"Answer: The Mayas.

Question: Where did",Who received the football? 
