,target,output,question
0,bedroom,,What is the bathroom east of?
1,bedroom,,What is west of the kitchen?
2,bathroom,"tions, and conditions.",What is north of the garden?
3,bedroom,Answer: The kitchen utensilethre is dirty.,What is south of the kitchen?
4,bedroom,Answer: The kitchen.,What is east of the kitchen?
5,garden,Answer: The bathroom west of is the kitchen.,What is the bathroom west of?
6,kitchen,,What is east of the bedroom?
7,bathroom,"Answer: The garden south of is the garden of the inn at Mestre, which is mentioned in",What is the garden south of?
8,kitchen,Answer: The nose will be found in the passage.,What is south of the office?
9,office,Answer: The hallway,What is east of the hallway?
10,garden,s.,What is north of the office?
11,garden,had.,What is south of the kitchen?
12,bathroom,"What do notions to be made of her disappearance, and her.",What is east of the kitchen?
13,garden,What is a kitchen utmoster at the girl's kitchen?,What is west of the kitchen?
14,garden,Answer: The girl's a side of the room.,What is north of the bedroom?
15,garden,"Answer: According to the passage, there is a garden east of the hallway.",What is east of the hallway?
16,hallway,"Answer: According to the context, there is a hallway that leads east of the office. This",What is east of the office?
17,office,"Answer: The ""Age of Reason, what is the case.",What is south of the bathroom?
18,garden,Answer: The room.,What is the bedroom north of?
19,garden,Answer: The kitchen.,What is the kitchen west of?
20,garden,"What is the case of the 63,5",What is the office east of?
21,garden,,What is the bathroom south of?
22,bathroom,"Answer: According to the passage, the bathroom is north of the bedroom.",What is north of the bedroom?
23,bathroom,Answer: The bedroom is south of the living room.,What is the bedroom south of?
24,hallway,Answer: The bedroom west of is the Prisoner's cell.,What is the bedroom west of?
25,office,Ansight of her.,What is east of the bathroom?
26,office,And that he had a chair.,What is north of the bedroom?
27,hallway,,What is west of the bathroom?
28,garden,Answer: The girl'south,What is the bathroom north of?
29,garden,Answer: The passage.,What is north of the office?
30,bedroom,Answer: The kitchen.,What is east of the kitchen?
31,kitchen,Answer: The bathroom is east of the kitchen.,What is the bathroom east of?
32,bathroom,Answer: The Shere was a good and bad and good and evil and good and evil,What is north of the garden?
33,kitchen,Arabian merchant.,What is the bedroom west of?
34,bedroom,Answer: The kitchen.,What is the kitchen south of?
35,garden,,What is the bathroom east of?
36,office,"a, and thus, and thus, and thus, thus, thus, thus, thus, thus",What is south of the hallway?
37,bedroom,,What is north of the bathroom?
38,bedroom,,What is the bathroom east of?
39,office,"Answer:

A 
A 
A 
A 
A",What is north of the bedroom?
40,bathroom,"Answer: The kitchen utens of the heat, the earth's center of the earth's",What is south of the kitchen?
41,bedroom,,What is west of the office?
42,kitchen,He was a momentumorized that he was.,What is the garden south of?
43,garden,What is turned out of the door.,What is south of the bedroom?
44,garden,Answer: The passage.,What is the office south of?
45,hallway,"Answer: The ""Bul the ""Bal Bullier the ""Bal Bullier the",What is the office east of?
46,garden,Answer: The south of the office.,What is south of the office?
47,garden,A.,What is west of the bedroom?
48,garden,What is the heart by the issues of the heart by the heart by the issues of the heart by,What is east of the hallway?
49,garden,Answer: The Count Clairmont's office.,What is the office south of?
50,bedroom,Answer: The passage from the hallway.,What is the hallway north of?
51,garden,What is a question of the lady's honor and glory of the lady's honor and grace,What is north of the bathroom?
52,hallway,"Answer: The girl's a question.


The girl is a question",What is the bedroom north of?
53,bathroom,"Answer: The garden of xli tmzi ytwns, 8",What is east of the garden?
54,bathroom,,What is west of the bedroom?
55,garden,"Answer: According to the text, the bedroom is west of the hallway.",What is east of the hallway?
56,hallway,,What is the bedroom east of?
57,kitchen,Answer: The passage.,What is west of the hallway?
58,hallway,theirenumber.,What is south of the bedroom?
59,kitchen,s.,What is the garden north of?
60,hallway,,What is the bedroom north of?
61,bedroom,the,What is south of the hallway?
62,kitchen,"the heart, and the heart, and the heart and the kidneys, and kidneys",What is the hallway north of?
63,hallway,,What is west of the bedroom?
64,bedroom,Answer: The sun is concentrated in the rays butter of the sun is concentrated,What is east of the garden?
65,office,Answer: The bedroom is located north of the kitchen.,What is the bedroom north of?
66,bathroom,,What is the bedroom north of?
67,office,What is marked off the Church's presence of the marriage.,What is the garden south of?
68,kitchen,Answer: The bathroom west of is the kitchen.,What is the bathroom west of?
69,garden,"What is the west, the west, the east of their lives of their owners, the west",What is the hallway east of?
70,bathroom,justice.,What is south of the bedroom?
71,kitchen,A.,What is the garden south of?
72,garden,the soldiers with their faces in the soldiers with their faces in theirs of theirsold,What is the bedroom south of?
73,bathroom,"the altar, and unions in the altar",What is north of the office?
74,bathroom,Answer: The hallmarkets the way the Southern cause. The Southerners. The Southerners.,What is the hallway north of?
75,bedroom,s of the field.,What is south of the hallway?
76,bedroom,s,What is the hallway east of?
77,bathroom,Answer: The palace of the palace of Sennacheribian king Sennacheribian S,What is north of the office?
78,kitchen,Answer: The question is based on the fact that the case that advanced in stone. The Greeks,What is east of the garden?
79,hallway,"Answer:

The Supervisor at the idea of the Supervisor at the",What is the kitchen south of?
80,garden,"er, and passionate, and enthusiastic, and devoted to her.",What is west of the office?
81,office,early the saddle him.,What is the bedroom west of?
82,kitchen,a.,What is the hallway south of?
83,garden,,What is the office west of?
84,bathroom,the men.,What is north of the hallway?
85,office,,What is west of the garden?
