,target,output,question
0,bedroom,hallway,What is the bathroom east of?
1,bedroom,"bedroom

<context>
The living room is north of the kitchen. The hallway is east",What is west of the kitchen?
2,bathroom,bathroom,What is north of the garden?
3,bedroom,bathroom,What is south of the kitchen?
4,bedroom,"bedroom

<context>
The living room is north of the office. The office is east",What is east of the kitchen?
5,garden,"hallway

<context>
The living room is north of the kitchen. The kitchen is south",What is the bathroom west of?
6,kitchen,kitchen,What is east of the bedroom?
7,bathroom,There is no information provided about what the garden is south of in the context given. Answer: N,What is the garden south of?
8,kitchen,kitchen,What is south of the office?
9,office,office,What is east of the hallway?
10,garden,garden,What is north of the office?
11,garden,garden,What is south of the kitchen?
12,bathroom,bathroom,What is east of the kitchen?
13,garden,garden,What is west of the kitchen?
14,garden,"office

<context>
The living room is east of the kitchen. The kitchen is south",What is north of the bedroom?
15,garden,bathroom,What is east of the hallway?
16,hallway,Answer: The given context does not provide information about what is east of the office.,What is east of the office?
17,office,office,What is south of the bathroom?
18,garden,kitchen,What is the bedroom north of?
19,garden,"No, the kitchen is not west of anything in the given context. The bedroom is west of the",What is the kitchen west of?
20,garden,hallway,What is the office east of?
21,garden,kitchen,What is the bathroom south of?
22,bathroom,bathroom,What is north of the bedroom?
23,bathroom,"There is no information given about what is south of the bedroom in the context provided. Therefore, I",What is the bedroom south of?
24,hallway,"Answer: hallway

<context>
The living room is north of the office. The office",What is the bedroom west of?
25,office,office,What is east of the bathroom?
26,office,"office

<context>
The living room is east of the kitchen. The kitchen is south",What is north of the bedroom?
27,hallway,"office

<context>
The library is north of the living room. The living room is",What is west of the bathroom?
28,garden,office,What is the bathroom north of?
29,garden,bathroom,What is north of the office?
30,bedroom,"bedroom

<context>
The living room is north of the office. The office is east",What is east of the kitchen?
31,kitchen,hallway,What is the bathroom east of?
32,bathroom,bathroom,What is north of the garden?
33,kitchen,hallway,What is the bedroom west of?
34,bedroom,bedroom,What is the kitchen south of?
35,garden,"No information is given about what the bathroom is east of in the context provided. Therefore, an answer",What is the bathroom east of?
36,office,office,What is south of the hallway?
37,bedroom,Answer: bedroom,What is north of the bathroom?
38,bedroom,office,What is the bathroom east of?
39,office,"office

<context>
The living room is east of the kitchen. The kitchen is west",What is north of the bedroom?
40,bathroom,bathroom,What is south of the kitchen?
41,bedroom,bathroom,What is west of the office?
42,kitchen,"There is no information given about what is south of the garden in the context provided. Therefore, I",What is the garden south of?
43,garden,"garden

<context>
The living room is east of the kitchen. The kitchen is north",What is south of the bedroom?
44,garden,hallway,What is the office south of?
45,hallway,"Answer: The question asks for the location that is east of the office, but the context does not",What is the office east of?
46,garden,bedroom,What is south of the office?
47,garden,"garden

<context>
The living room is north of the kitchen. The kitchen is east",What is west of the bedroom?
48,garden,garden,What is east of the hallway?
49,garden,hallway,What is the office south of?
50,bedroom,garden,What is the hallway north of?
51,garden,office,What is north of the bathroom?
52,hallway,"garden

<context>
The living room is east of the kitchen. The kitchen is north",What is the bedroom north of?
53,bathroom,kitchen,What is east of the garden?
54,bathroom,bathroom,What is west of the bedroom?
55,garden,garden,What is east of the hallway?
56,hallway,kitchen,What is the bedroom east of?
57,kitchen,kitchen,What is west of the hallway?
58,hallway,hallway,What is south of the bedroom?
59,kitchen,bathroom,What is the garden north of?
60,hallway,Answer: hallway,What is the bedroom north of?
61,bedroom,office,What is south of the hallway?
62,kitchen,"garden

<context>
The living room is east of the kitchen. The kitchen is south",What is the hallway north of?
63,hallway,"garden

<context>
The living room is north of the kitchen. The kitchen is east",What is west of the bedroom?
64,bedroom,office,What is east of the garden?
65,office,"garden

<context>
The library is east of the office. The office is north of",What is the bedroom north of?
66,bathroom,hallway,What is the bedroom north of?
67,office,bedroom,What is the garden south of?
68,kitchen,garden,What is the bathroom west of?
69,garden,bathroom,What is the hallway east of?
70,bathroom,bathroom,What is south of the bedroom?
71,kitchen,office,What is the garden south of?
72,garden,hallway,What is the bedroom south of?
73,bathroom,bathroom,What is north of the office?
74,bathroom,office,What is the hallway north of?
75,bedroom,"bedroom

<context>
The living room is east of the kitchen. The kitchen is north",What is south of the hallway?
76,bedroom,bathroom,What is the hallway east of?
77,bathroom,bathroom,What is north of the office?
78,kitchen,"kitchen

<context>
The living room is north of the kitchen. The dining room is",What is east of the garden?
79,hallway,office,What is the kitchen south of?
80,garden,"bedroom (in this context, ""west"" refers to a direction opposite to ""east"")",What is west of the office?
81,office,Answer: No information provided. The context only mentions the locations to the east of the bedroom.,What is the bedroom west of?
82,kitchen,bathroom,What is the hallway south of?
83,garden,Answer: No information provided. The context only mentions the locations to the east of the office and,What is the office west of?
84,bathroom,bathroom,What is north of the hallway?
85,office,"office

<context>
The living room is north of the kitchen. The kitchen is south",What is west of the garden?
86,office,"office

<context>
The living room is north of the kitchen. The kitchen is south",What is west of the garden?
87,garden,kitchen,What is east of the bathroom?
88,bathroom,kitchen,What is north of the office?
89,kitchen,hallway,What is the bedroom west of?
90,office,"There is no information given about the bathroom being south of any location in the context provided. Therefore,",What is the bathroom south of?
91,office,office,What is east of the bedroom?
92,bedroom,bedroom,What is south of the office?
93,bathroom,Answer: There is no information provided about the garden being west of any location in the context.,What is the garden west of?
94,garden,hallway,What is the bedroom west of?
95,hallway,kitchen,What is north of the garden?
96,bedroom,"Answer: bedroom (it was given as east of the kitchen in the context, so the kitchen cannot",What is the kitchen west of?
97,kitchen,"office

<context>
The library is north of the office. The office is south of",What is west of the bedroom?
98,bathroom,"office

<context>
The living room is east of the kitchen. The kitchen is west",What is the kitchen north of?
99,garden,bedroom,What is the office north of?
100,bedroom,bedroom,What is east of the hallway?
101,kitchen,kitchen,What is south of the hallway?
102,bedroom,bathroom,What is the office west of?
103,bathroom,"garden

<context>
The living room is east of the kitchen. The kitchen is west",What is the kitchen north of?
104,hallway,hallway,What is west of the bedroom?
105,bedroom,bedroom,What is west of the kitchen?
106,office,"office

<context>
The living room is east of the kitchen. The living room is",What is the kitchen south of?
