,target,output,question
0,football,"football (Document[119]):""Fred gave the football to Jeff .",What did Fred give to Jeff? 
1,Fred,"Fred (Document[159]):""Fred gave the football to Jeff",Who gave the football to Jeff? 
2,football,"football (Document[110]):""Fred gave the football to Jeff .",What did Fred give to Jeff? 
3,Jeff,"Jeff (Document[119]):""Fred picked up the football there . Jack",Who did Fred give the football to? 
4,Fred,"Fred (Document[159]):""Jeff handed the football to Fred.""",Who did Jeff give the football to? 
5,Jeff,"Fred (Document[119]):""Fred gave the apple to John",Who gave the apple? 
6,Bill,"Bill (Document[119]):""Bill received the apple.""",Who received the apple? 
7,apple,"apple (Document[15]):""Bill handed the apple to Fred . There",What did Bill give to Fred? 
8,apple,"apple (Document[12]):""Bill handed the apple to Fred . Mary",What did Bill give to Fred? 
9,Fred,"Fred (Document[32]):""Fred travelled to the garden .",Who received the apple? 
10,Mary,"Fred (Document[157]):""Fred got the milk there .",Who received the milk? 
11,milk,"milk (Document[21]):""Mary gave the milk to Bill . I",What did Mary give to Bill? 
12,Bill,"Bill (Document[1880]):""Bill dropped the football .",Who received the milk? 
13,Bill,"Bill (Document[119]):""Mary moved to the garden . There is",Who did Mary give the milk to? 
14,milk,"Milk (Document[119]):""Mary moved to the garden . yes",What did Mary give to Bill? 
15,Jeff,"Jimmy (Document[26]):""Jimmy received the football . He was",Who received the football? 
16,Fred,"Jimmy (Document[27]):""Jimmy travelled to the garden .",Who gave the football to Jeff? 
17,football,"the confession (Document[129]):""Fred gave the confession",What did Fred give to Jeff? 
18,Jeff,"Fred (Document[129]):""Fred was the one who received",Who received the football? 
19,Mary,"Mary (Document[26]):""Mary passed the milk to Jeff.""",Who gave the milk? 
20,milk,"Milk (Document[43]):""Fred journeyed to the hallway .",What did Jeff give to Mary? 
21,Mary,"Mary (Document[24]):""Mary went to the hallway .",Who gave the milk to Jeff? 
22,Mary,"Mary (Document[25]):""Mary went to the hallway .",Who gave the milk to Jeff? 
23,Bill,"Bill (Document[10]):""Bill went to the hallway . It does",Who gave the apple to Jeff? 
24,Jeff,"Bill (Document[3]):""Bill gave the apple to Jeff""",Who gave the apple? 
25,apple,"apple (Document[11]):""Jeff went back to the garden . He",What did Jeff give to Fred? 
26,Fred,"Fred (Document[129]):""Fred went to the bathroom",Who received the apple? 
27,Jeff,"Jeff (Document[119]):""Jeff went back to the hall",Who received the apple? 
28,Jeff,"Fred (Document[119]):""Fred journeyed to the hall",Who gave the apple? 
29,Fred,"Cracker (Document[119]):""Cracker, I am delighted",Who did Jeff give the apple to? 
30,Mary,"Bill (Document[119]):""Bill took the milk there .",Who gave the milk? 
31,Bill,"Bill (Document[156]):""Bill gave the milk to Mary""",Who gave the milk? 
32,Bill,"Bill (Document[129]):""Bill dropped the milk . All that remains",Who gave the milk to Mary? 
33,milk,"milk (Document[159]):""Bill gave the milk to Mary",What did Bill give to Mary? 
34,apple,"apple (Document[15]):""Mary gave the apple to Fred.""",What did Mary give to Fred? 
35,Jeff,"Jeff (Document[132]):""Fred went back to the hallway .",Who did Fred give the milk to? 
36,Jeff,"Jeff (Document[32]):""Fred went back to the garden . Fred took",Who did Fred give the milk to? 
37,milk,"milk (Document[31]):""Fred went to the hallway .",What did Jeff give to Mary? 
38,milk,"milk (Document[11]):""Fred went to the hallway .",What did Jeff give to Mary? 
39,Fred,"Bill (Document[1150]):""Bill went to the bedroom .",Who gave the apple? 
40,Mary,"Fred (Document[1154]):""Fred put down the milk",Who gave the milk? 
41,milk,"milk (Document[1159]):""Mary moved to the kitchen",What did Mary give to Fred? 
42,Jeff,"Fred (Document[129]):""Fred put down the milk there",Who gave the milk? 
43,Fred,"Fred (Document[179]):""Fred put down the milk there",Who received the milk? 
44,Mary,"Fred (Document[129]):""Fred put down the milk there",Who gave the milk? 
45,Bill,"Bill (Document[119]):""Bill went back to the garden . and",Who did Mary give the milk to? 
46,milk,"milk (Document[11]):""Mary went back to the hallway",What did Mary give to Bill? 
47,Mary,"Bill (Document[119]):""Mary went back to the bathroom .",Who gave the milk? 
48,Mary,"Mary (Document[11]):""Bill journeyed to the office . This is",Who did Bill give the milk to? 
49,Bill,"Bill (Document[119]):""Bill journeyed to the hallway .",Who gave the milk to Mary? 
50,Mary,"Mary (Document[119]):""Mary gave the apple to Fred",Who gave the apple to Fred? 
51,Fred,"Fred (Document[12]):""Fred went to the garden . Where",Who gave the apple to Mary? 
