,target,output,question
0,football,"football

<context>
Frank was so furious and desperate",What did Fred give to Jeff? 
1,Fred,"Fred.

<context>
""Huejugilla el",Who gave the football to Jeff? 
2,football,football,What did Fred give to Jeff? 
3,Jeff,Jeff,Who did Fred give the football to? 
4,Fred,Fred. (Answer given based on the context provided and the question asked,Who did Jeff give the football to? 
5,Jeff,Jeff,Who gave the apple? 
6,Bill,Fred,Who received the apple? 
7,apple,"apple (from the context, Bill handed the apple to Fred)",What did Bill give to Fred? 
8,apple,"apple

(Note: The text mentions Bill giving the apple to",What did Bill give to Fred? 
9,Fred,Fred (twice),Who received the apple? 
10,Mary,Mary,Who received the milk? 
11,milk,milk,What did Mary give to Bill? 
12,Bill,Bill,Who received the milk? 
13,Bill,Bill.,Who did Mary give the milk to? 
14,milk,milk,What did Mary give to Bill? 
15,Jeff,Jeff,Who received the football? 
16,Fred,Fred.,Who gave the football to Jeff? 
17,football,football,What did Fred give to Jeff? 
18,Jeff,Jeff,Who received the football? 
19,Mary,Mary,Who gave the milk? 
20,milk,milk,What did Jeff give to Mary? 
21,Mary,Mary,Who gave the milk to Jeff? 
22,Mary,Mary,Who gave the milk to Jeff? 
23,Bill,Bill.,Who gave the apple to Jeff? 
24,Jeff,"Bill (gave the apple to Jeff)

Explanation:",Who gave the apple? 
25,apple,apple,What did Jeff give to Fred? 
26,Fred,Fred. (The apple was passed to Fred by Jeff.),Who received the apple? 
27,Jeff,Jeff,Who received the apple? 
28,Jeff,Jeff gave the apple to Fred.,Who gave the apple? 
29,Fred,Fred.,Who did Jeff give the apple to? 
30,Mary,Mary,Who gave the milk? 
31,Bill,Bill,Who gave the milk? 
32,Bill,Bill.,Who gave the milk to Mary? 
33,milk,milk,What did Bill give to Mary? 
34,apple,apple,What did Mary give to Fred? 
35,Jeff,Jeff,Who did Fred give the milk to? 
36,Jeff,Jeff,Who did Fred give the milk to? 
37,milk,"milk

(Note: The context provided is a letter written by Els",What did Jeff give to Mary? 
38,milk,"milk

(Note: In the given context, it is mentioned that",What did Jeff give to Mary? 
39,Fred,"Fred

(Note: The context provided contains multiple instances of people giving",Who gave the apple? 
40,Mary,"Fred (or Mary, depending on which instance of them giving the milk is",Who gave the milk? 
41,milk,"milk

(Note: In the given context, it is mentioned that",What did Mary give to Fred? 
42,Jeff,"Fred (gave the milk to someone, but it was not explicitly stated",Who gave the milk? 
43,Fred,Fred (twice) and Jeff (twice),Who received the milk? 
44,Mary,Jeff (multiple times) and Bill (multiple times),Who gave the milk? 
45,Bill,Bill,Who did Mary give the milk to? 
46,milk,milk,What did Mary give to Bill? 
47,Mary,Mary,Who gave the milk? 
48,Mary,Mary,Who did Bill give the milk to? 
49,Bill,Bill,Who gave the milk to Mary? 
50,Mary,Mary,Who gave the apple to Fred? 
51,Fred,"Jeff

[Explanation: The text states that ""Jeff",Who gave the apple to Mary? 
52,apple,apple,What did Fred give to Mary? 
53,apple,apple,What did Mary give to Jeff? 
54,apple,apple,What did Mary give to Jeff? 
55,Fred,Fred,Who received the football? 
56,football,football,What did Bill give to Fred? 
57,Bill,Bill.,Who gave the apple? 
58,Bill,Bill.,Who did Mary give the apple to? 
59,Jeff,Mary (in the first instance) or Jeff (in the second instance),Who did Bill give the apple to? 
60,Jeff,Jeff,Who did Bill give the apple to? 
61,Bill,Mary (from the context where Mary gave the apple to Jeff before Jeff gave,Who gave the apple to Jeff? 
62,Jeff,Jeff (twice),Who gave the apple to Bill? 
63,Bill,Jeff (twice) and Bill (twice),Who received the apple? 
64,Mary,Mary,Who gave the milk? 
65,Mary,Mary,Who gave the apple to Bill? 
66,Bill,Bill (twice),Who did Mary give the apple to? 
67,Mary,Mary,Who did Bill give the apple to? 
68,apple,apple,What did Bill give to Mary? 
69,Mary,Mary,Who did Bill give the apple to? 
70,apple,"apple (in the first part of the context)
football (in",What did Fred give to Jeff? 
71,Jeff,Jeff,Who gave the football? 
72,Jeff,Jeff,Who gave the football? 
73,apple,apple (in one of the instances),What did Fred give to Bill? 
74,apple,"apple

(Note: The context provided contains multiple instances of the same",What did Fred give to Bill? 
75,Fred,"Fred

[I cannot see any mention of a football in the context",Who gave the football? 
76,Fred,"Fred

(Answer given based on the context provided, with the",Who gave the football? 
77,Mary,Mary,Who received the football? 
78,Mary,"Fred (twice) and Bill. However, the question asks who gave",Who gave the football? 
79,football,football,What did Mary give to Fred? 
80,milk,milk,What did Fred give to Jeff? 
81,milk,"milk

<context>
So home, and after a walk with",What did Fred give to Jeff? 
82,Fred,Fred,Who did Jeff give the milk to? 
83,milk,milk,What did Jeff give to Fred? 
84,Jeff,Jeff,Who gave the milk to Fred? 
85,Fred,Fred,Who did Mary give the apple to? 
86,Fred,Fred.,Who gave the apple to Mary? 
87,Mary,"Mary (gave the apple to Jeff)

Explanation:",Who gave the apple? 
88,Jeff,"Jeff. (However, it's important to note that the text ment",Who did Mary give the apple to? 
89,Jeff,Jeff,Who received the football? 
90,football,football,What did Mary give to Jeff? 
91,Mary,Mary,Who received the football? 
92,Mary,Jeff,Who gave the football? 
93,Jeff,Jeff,Who did Mary give the football to? 
94,Bill,Bill.,Who did Fred give the apple to? 
95,Jeff,Jeff,Who did Mary give the apple to? 
96,Mary,Mary.,Who gave the apple to Jeff? 
97,apple,"apple

Explanation: The text states that ""Jeff passed",What did Jeff give to Fred? 
98,Fred,Fred,Who did Jeff give the apple to? 
99,milk,"milk

<context>
Here she instantly flew into the
arms",What did Bill give to Mary? 
100,Bill,Bill,Who did Mary give the apple to? 
101,Bill,Bill,Who received the apple? 
102,Fred,Fred passed the apple to Bill.,Who gave the apple? 
103,Bill,"Fred (or Bill, depending on which instance of the apple transfer you are",Who gave the apple? 
104,apple,apple,What did Mary give to Bill? 
105,Jeff,"Jeff (based on the given context, Mary gave the milk to Jeff)",Who received the milk? 
106,Mary,"Mary

Question: To whom did Mary give the milk?",Who gave the milk? 
