Unnamed: 0,target,output,question
0,hallway,"XV. THE MILLER


    ""I am not a man to be trif",Where is the milk? 
1,hallway,,Where is the football? 
2,hallway,"Answer: In the garden.




                               CHAPTER XI.

                        THE",Where is the football? 
3,hallway,"Answer: In the hallway.

Question: Where is the football?

Answer: In the hallway.",Where is the football? 
4,garden,"Answer: The milk is in the kitchen.




                              CHAPTER XIII. “",Where is the milk? 
5,garden,"Answer: In the garden.

Question: Where is the garden?

Answer: In the office.",Where is the milk? 
6,bedroom,"Answer: In the garden.

Question: Where is the football?

Answer: In the garden.",Where is the football? 
7,bedroom,"Answer: In the kitchen.

Question: Where is the football?

Answer: In the garden.",Where is the milk? 
8,kitchen,"Answer: In the kitchen.

Question: Where is the milk?

Answer: In the garden.",Where is the football? 
9,kitchen,"Answer: In the kitchen.

Question: Where is the milk?

Answer: In the hallway.",Where is the football? 
10,bedroom,"Answer: In the bedroom.

Question: Where is the bedroom?

Answer: In the office.",Where is the football? 
11,hallway,"Answer: In the kitchen.

Question: Where is the milk?

Answer: In the office.",Where is the football? 
12,garden,"Answer: In the kitchen.

Question: Where is the football?

Answer: In the hallway.",Where is the milk? 
13,garden,"Mary answered: In the kitchen.

Daniel answered: In the kitchen.

John answered: In the",Where is the milk? 
14,bathroom,"Answer: In the kitchen.

Question: Where is the football?

Answer: In the hallway.",Where is the apple? 
15,garden,"And yet, how hard to be harsh to him,
     Who has so little strength to bear",Where is the milk? 
16,garden,"Answer: I don't know.

Question: Where is the milk?

Answer: I don",Where is the milk? 
17,garden,"Answer: In the kitchen.


A: I think the answer is

 The milk is in the",Where is the milk? 
18,kitchen,,Where is the apple? 
19,kitchen,Answer: In the kitchen.,Where is the apple? 
20,bedroom,"Answer: The apple is in the bedroom.

Question: Where is the apple?

Answer: The",Where is the apple? 
21,bedroom,Answer: In the bedroom.,Where is the apple? 
22,bathroom,"Answer: In the kitchen.

Question: Where is the football?

Answer: In the kitchen.",Where is the football? 
23,bathroom,Answer: In the kitchen.,Where is the football? 
24,bedroom,"Answer: In the kitchen.

Question: Where is the football?

Answer: In the bedroom.",Where is the milk? 
