from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,lr_scheduler,max_n_segments,num_mem_tokens,model_path,exact_match,k2,freeze_model_weights
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,1,16,/home/jovyan/rmt/runs/babilong_no_dist/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_1,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,1,16,/home/jovyan/rmt/runs/babilong_no_dist/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_1x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_1,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,2,16,/home/jovyan/rmt/runs/babilong_no_dist/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_1,0.9979979991912842,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,2,16,/home/jovyan/rmt/runs/babilong_no_dist/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_2x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_1,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,4,16,/home/jovyan/rmt/runs/babilong_no_dist/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_1,0.9989989995956421,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,4,16,/home/jovyan/rmt/runs/babilong_no_dist/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_1,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,8,16,/home/jovyan/rmt/runs/babilong_no_dist/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_1,0.9979979991912842,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,8,16,/home/jovyan/rmt/runs/babilong_no_dist/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_1,0.9929929971694946,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,16,16,/home/jovyan/rmt/runs/babilong_no_dist/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_eval_qs_from_cpt_32x512_longfrom_dataset_qa12-10/run_1,0.9969969987869263,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,128,linear,16,16,/home/jovyan/rmt/runs/babilong_no_dist/qa1_single-supporting-fact/gpt2/linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_eval_from_cpt_32x512_long_from_dataset_qa12-10/run_1,0.9729729890823364,-1,False
