Unnamed: 0,target,output,question
0,hallway,hallway,Where is the milk? 
1,hallway,hallway,Where is the football? 
2,hallway,hallway,Where is the football? 
3,hallway,kitchen,Where is the football? 
4,garden,discarded,Where is the milk? 
5,garden,garden,Where is the milk? 
6,bedroom,Answer: bedroom,Where is the football? 
7,bedroom,bedroom,Where is the milk? 
8,kitchen,Answer: kitchen,Where is the football? 
9,kitchen,Answer: kitchen,Where is the football? 
10,bedroom,bedroom,Where is the football? 
11,hallway,Answer: hallway,Where is the football? 
12,garden,Answer: The milk is in the kitchen.,Where is the milk? 
13,garden,bathroom,Where is the milk? 
14,bathroom,bathroom,Where is the apple? 
15,garden,Answer: garden,Where is the milk? 
16,garden,Answer: garden,Where is the milk? 
17,garden,Answer: bedroom,Where is the milk? 
18,kitchen,Answer: kitchen,Where is the apple? 
19,kitchen,Answer: Discarded,Where is the apple? 
20,bedroom,bedroom,Where is the apple? 
21,bedroom,office,Where is the apple? 
22,bathroom,bathroom,Where is the football? 
23,bathroom,bathroom,Where is the football? 
24,bedroom,bedroom,Where is the milk? 
25,kitchen,kitchen.,Where is the milk? 
26,kitchen,kitchen,Where is the milk? 
27,bathroom,bathroom,Where is the apple? 
28,bathroom,kitchen,Where is the apple? 
29,kitchen,Answer: kitchen,Where is the milk? 
30,garden,garden,Where is the apple? 
31,garden,Garden.,Where is the apple? 
32,kitchen,Answer: bedroom,Where is the football? 
33,kitchen,Answer: kitchen,Where is the apple? 
34,kitchen,Answer: kitchen,Where is the apple? 
35,office,Sandra's location,Where is the milk? 
36,kitchen,Answer: kitchen,Where is the football? 
37,kitchen,Answer: kitchen,Where is the football? 
38,kitchen,Answer: In the kitchen.,Where is the football? 
39,bedroom,Answer: bedroom,Where is the milk? 
40,bedroom,hallway.,Where is the milk? 
41,office,office.,Where is the milk? 
42,office,office.,Where is the milk? 
43,office,bathroom.,Where is the milk? 
44,kitchen,kitchen,Where is the apple? 
45,bedroom,bedroom,Where is the milk? 
46,office,office,Where is the football? 
47,bathroom,bathroom,Where is the football? 
48,bathroom,bathroom,Where is the football? 
49,bedroom,discarded,Where is the milk? 
50,bathroom,bathroom,Where is the milk? 
51,hallway,Answer: hallway,Where is the apple? 
52,kitchen,Answer: kitchen,Where is the football? 
53,kitchen,Answer: kitchen,Where is the football? 
54,kitchen,Answer: kitchen,Where is the football? 
55,bathroom,discarded,Where is the apple? 
56,bathroom,bathroom,Where is the milk? 
57,kitchen,kitchen,Where is the milk? 
58,kitchen,bathroom,Where is the milk? 
59,bedroom,bedroom,Where is the apple? 
60,garden,garden.,Where is the milk? 
61,garden,garden,Where is the milk? 
62,kitchen,kitchen,Where is the football? 
63,kitchen,kitchen,Where is the football? 
64,kitchen,Answer: kitchen,Where is the football? 
65,kitchen,kitchen,Where is the football? 
66,kitchen,discarded,Where is the football? 
67,bedroom,bedroom,Where is the milk? 
68,bedroom,Answer: bedroom,Where is the milk? 
69,bedroom,Answer: The football is in the kitchen.,Where is the football? 
70,garden,garden,Where is the apple? 
71,garden,Garden,Where is the apple? 
72,bathroom,bathroom,Where is the apple? 
73,bathroom,Answer: bedroom,Where is the apple? 
74,bathroom,Answer: bathroom,Where is the apple? 
75,office,office,Where is the apple? 
76,hallway,Answer: hallway,Where is the milk? 
77,hallway,Answer: hallway,Where is the milk? 
78,hallway,Answer: hallway,Where is the milk? 
79,hallway,Answer: hallway,Where is the milk? 
80,bathroom,bathroom,Where is the football? 
81,bathroom,bathroom,Where is the football? 
82,kitchen,Answer: discarded,Where is the football? 
83,kitchen,Answer: discarded,Where is the football? 
84,kitchen,Answer: In the kitchen.,Where is the football? 
85,bathroom,kitchen.,Where is the milk? 
86,kitchen,hallway,Where is the apple? 
87,bathroom,bathroom,Where is the milk? 
88,bedroom,bedroom,Where is the football? 
89,kitchen,office.,Where is the apple? 
90,kitchen,kitchen,Where is the milk? 
91,kitchen,Answer: kitchen,Where is the milk? 
92,kitchen,Answer: kitchen,Where is the milk? 
93,kitchen,Answer: kitchen,Where is the milk? 
94,kitchen,Answer: office,Where is the milk? 
95,bathroom,bathroom,Where is the football? 
96,bathroom,bathroom,Where is the football? 
97,bathroom,bathroom,Where is the football? 
98,bathroom,bathroom,Where is the football? 
99,hallway,Answer: The hallway.,Where is the milk? 
100,office,discarded,Where is the milk? 
101,office,discarded,Where is the milk? 
102,kitchen,Answer: kitchen,Where is the milk? 
103,kitchen,Answer: discarded,Where is the milk? 
104,bedroom,Answer: bedroom,Where is the football? 
105,bathroom,discarded,Where is the football? 
106,bedroom,Answer: discarded,Where is the milk? 
107,bathroom,Answer: bathroom,Where is the apple? 
108,bedroom,Answer: hallway,Where is the milk? 
109,bathroom,Answer: bathroom,Where is the apple? 
110,bedroom,office.,Where is the football? 
111,bedroom,office.,Where is the football? 
112,bedroom,Answer: discarded,Where is the football? 
113,bedroom,Answer: in the office,Where is the football? 
114,office,Answer: in the garden,Where is the apple? 
115,office,office.,Where is the football? 
116,hallway,garden,Where is the football? 
117,office,bathroom,Where is the milk? 
118,bedroom,bathroom,Where is the milk? 
119,bathroom,discarded,Where is the apple? 
120,hallway,hallway.,Where is the apple? 
121,bedroom,bedroom.,Where is the milk? 
122,garden,discarded,Where is the apple? 
123,garden,Answer: kitchen,Where is the football? 
124,garden,Answer: In the kitchen.,Where is the football? 
125,kitchen,office,Where is the football? 
126,kitchen,Answer: kitchen,Where is the football? 
127,kitchen,Answer: bathroom,Where is the football? 
128,bedroom,Answer: bedroom,Where is the football? 
129,bedroom,Answer: kitchen,Where is the football? 
130,kitchen,kitchen,Where is the football? 
131,kitchen,kitchen,Where is the football? 
132,kitchen,kitchen,Where is the milk? 
133,hallway,Answer: hallway,Where is the football? 
134,hallway,Answer: hallway,Where is the football? 
135,office,office,Where is the football? 
136,office,office,Where is the milk? 
137,office,bedroom,Where is the football? 
138,kitchen,Answer: kitchen,Where is the football? 
139,bathroom,Answer: bathroom,Where is the football? 
140,bedroom,bedroom.,Where is the football? 
141,bedroom,kitchen.,Where is the football? 
142,bedroom,Answer: office,Where is the football? 
143,bedroom,bedroom.,Where is the football? 
144,garden,Answer: garden,Where is the football? 
145,kitchen,kitchen,Where is the apple? 
146,bathroom,discarded,Where is the milk? 
147,garden,Answer: garden,Where is the milk? 
148,kitchen,Answer: The apple is in the kitchen.,Where is the apple? 
149,kitchen,Answer: kitchen,Where is the apple? 
150,bedroom,bedroom.,Where is the apple? 
151,bedroom,bathroom,Where is the apple? 
152,bedroom,bathroom,Where is the apple? 
153,kitchen,Answer: In the kitchen.,Where is the football? 
154,kitchen,Answer: kitchen,Where is the football? 
155,hallway,In the hallway.,Where is the football? 
156,hallway,In the hallway.,Where is the football? 
157,bedroom,bedroom,Where is the milk? 
158,bedroom,bathroom,Where is the milk? 
159,hallway,bathroom,Where is the football? 
160,garden,garden,Where is the apple? 
161,garden,Garden,Where is the apple? 
162,garden,discarded,Where is the apple? 
163,garden,Answer: bedroom,Where is the apple? 
164,bedroom,Answer: kitchen,Where is the football? 
165,garden,garden,Where is the football? 
166,garden,discarded,Where is the football? 
167,hallway,hallway,Where is the apple? 
168,hallway,hallway,Where is the apple? 
169,office,Sandra's office.,Where is the football? 
