Unnamed: 0,target,output,question
0,office,"Answer: Before the bathroom the apple was in the hallway.



SCENE V


_The",Where was the apple before the bathroom? 
1,office,"Answer: Before the hallway the apple was in the office.



SCENE VII",Where was the apple before the hallway? 
2,office,"Answer: Before the hallway the apple was in the office.

Question: Where was the football before the garden",Where was the apple before the hallway? 
3,bathroom,Answer: Before the garden the football was in the hallway.,Where was the football before the garden? 
4,bathroom,John put down the football there.,Where was the football before the garden? 
5,garden,Answer: Before the bathroom the apple was in the garden.,Where was the apple before the bathroom? 
6,kitchen,Answer: In the kitchen.,Where was the milk before the office? 
7,kitchen,Answer: Before the office the apple was in the hallway.,Where was the apple before the office? 
8,kitchen,Before the office the apple was in the garden.,Where was the apple before the office? 
9,bedroom,Answer: Before the office the apple was in the hallway.,Where was the apple before the office? 
10,garden,"Answer: Before the bedroom the apple was in the office.

Question: Where was the football before the bedroom",Where was the apple before the bedroom? 
11,garden,Answer: Before the bedroom the apple was in the hallway.,Where was the apple before the bedroom? 
12,garden,Answer: Before the bathroom the milk was in the office.,Where was the milk before the bathroom? 
13,garden,Answer: Before the bathroom the milk was in the office.,Where was the milk before the bathroom? 
14,garden,Before the bathroom the milk was in the bedroom.,Where was the milk before the bathroom? 
15,kitchen,"Answer: Before the garden the football was in the hallway.

---------------------------",Where was the football before the garden? 
16,kitchen,Answer: Before the garden the football was in the office.,Where was the football before the garden? 
17,garden,"A: The milk was in the office before the bedroom.

The milk was in the office before the",Where was the milk before the bedroom? 
18,garden,"Answer: Before the bedroom the milk was in the kitchen.




[Decoration]",Where was the milk before the bedroom? 
19,bedroom,"A: The football was in the hallway.

The football was in the hallway.

The football",Where was the football before the bathroom? 
20,garden,"A: The football was in the hallway before the hallway.

The football was in the hallway before the",Where was the football before the hallway? 
21,garden,"Answer: Before the office the football was in the garden.




THE BROWNIES ON THE",Where was the football before the office? 
22,hallway,Answer: Before the garden the football was in the hallway.,Where was the football before the garden? 
23,office,"Answer: Before the kitchen the milk was in the hallway.




/Chap. LXX",Where was the milk before the kitchen? 
24,kitchen,,Where was the milk before the bedroom? 
25,bathroom,Answer: Before the bedroom the football was in the garden.,Where was the football before the bedroom? 
26,office,"Answer: Before the bedroom the football was in the office.

Question: Where was the football before the office",Where was the football before the bedroom? 
27,garden,Answer: Before the office the football was in the bedroom.,Where was the football before the office? 
28,garden,Before the office the football was in the garden.,Where was the football before the office? 
29,garden,"Answer: Before the office the apple was in the garden.




{1802}",Where was the apple before the office? 
30,bathroom,"Answer: Before the hallway the apple was in the kitchen.

Question: Where was the apple before the hallway",Where was the apple before the hallway? 
31,office,"Answer: Before the kitchen the apple was in the bathroom.

Question: Where was the football before the bedroom",Where was the apple before the kitchen? 
32,office,Answer: Before the kitchen the apple was in the bathroom.,Where was the apple before the kitchen? 
33,hallway,Answer: The milk was in the garden before the bedroom.,Where was the milk before the bedroom? 
34,bedroom,"A: The milk was in the office before the garden.

The milk was in the office before the",Where was the milk before the garden? 
35,hallway,"A: The answer is:

Before the hallway the apple was in the kitchen.

Explanation",Where was the apple before the bathroom? 
36,hallway,"Answer: Before the kitchen the football was in the garden.

and that the influence of Sterne is trace",Where was the football before the kitchen? 
37,bathroom,"Answer: Before the kitchen the apple was in the bathroom.


is of special interest is the case of",Where was the apple before the kitchen? 
38,garden,Answer: Before the bathroom the apple was in the kitchen.,Where was the apple before the bathroom? 
39,garden,"Answer: Before the bathroom the apple was in the kitchen.

Question: Where was the football before the garden",Where was the apple before the bathroom? 
40,garden,"Answer: Before the hallway the football was in the garden.

Question: Where was the football before the kitchen",Where was the football before the hallway? 
41,garden,"Answer: Before the hallway the football was in the garden.

Question: Where was the football before the hallway",Where was the football before the hallway? 
42,garden,Answer: Before the hallway the milk was in the bathroom.,Where was the milk before the hallway? 
43,hallway,"Answer: Before the bathroom the milk was in the office.

Question: Where was the football before the hallway",Where was the milk before the bathroom? 
44,bathroom,"Answer: Before the hallway the football was in the garden.



A:",Where was the football before the hallway? 
45,bedroom,Answer: Before the bathroom the apple was in the kitchen.,Where was the apple before the bathroom? 
46,bedroom,Answer: Before the bathroom the apple was in the kitchen.,Where was the apple before the bathroom? 
47,bedroom,"Answer: Before the bathroom the apple was in the hallway.




                              CHAPTER IV",Where was the apple before the bathroom? 
48,bedroom,"Answer: Before the bathroom the apple was in the hallway.




                              CHAPTER VII",Where was the apple before the bathroom? 
49,bedroom,"Answer: Before the hallway the milk was in the bathroom.

Question: Where was the football before the hallway",Where was the milk before the hallway? 
50,kitchen,"Answer: Before the garden the apple was in the office.

Question: Where was the milk before the office?",Where was the apple before the garden? 
51,garden,Answer: Before the bedroom the apple was in the bathroom.,Where was the apple before the bedroom? 
52,garden,Answer: Before the kitchen the football was in the garden.,Where was the football before the kitchen? 
53,bathroom,Answer: Before the bedroom the apple was in the bathroom.,Where was the apple before the bedroom? 
54,bathroom,"Answer: Before the bedroom the apple was in the bathroom.

Question: Where was the football before the garden",Where was the apple before the bedroom? 
55,office,Answer: Before the hallway the football was in the kitchen.,Where was the football before the hallway? 
56,kitchen,Answer: Before the office the apple was in the hallway.,Where was the apple before the office? 
