,target,output,question
0,office,,Where was the apple before the bathroom? 
1,office,,Where was the apple before the hallway? 
2,office,,Where was the apple before the hallway? 
3,bathroom,,Where was the football before the garden? 
4,bathroom,,Where was the football before the garden? 
5,garden,,Where was the apple before the bathroom? 
6,kitchen,,Where was the milk before the office? 
7,kitchen,,Where was the apple before the office? 
8,kitchen,Answer: Before the office the apple was in the garden.,Where was the apple before the office? 
9,bedroom,,Where was the apple before the office? 
10,garden,,Where was the apple before the bedroom? 
11,garden,,Where was the apple before the bedroom? 
12,garden,,Where was the milk before the bathroom? 
13,garden,,Where was the milk before the bathroom? 
14,garden,,Where was the milk before the bathroom? 
15,kitchen,,Where was the football before the garden? 
16,kitchen,,Where was the football before the garden? 
17,garden,,Where was the milk before the bedroom? 
18,garden,Answer: Before the bedroom the milk was in the kitchen.,Where was the milk before the bedroom? 
19,bedroom,,Where was the football before the bathroom? 
20,garden,,Where was the football before the hallway? 
21,garden,,Where was the football before the office? 
22,hallway,,Where was the football before the garden? 
23,office,,Where was the milk before the kitchen? 
24,kitchen,,Where was the milk before the bedroom? 
25,bathroom,,Where was the football before the bedroom? 
26,office,,Where was the football before the bedroom? 
27,garden,,Where was the football before the office? 
28,garden,Answer: Before the office the football was in the garden.,Where was the football before the office? 
29,garden,,Where was the apple before the office? 
30,bathroom,Answer: Before the hallway the apple was in the office.,Where was the apple before the hallway? 
31,office,,Where was the apple before the kitchen? 
32,office,,Where was the apple before the kitchen? 
33,hallway,,Where was the milk before the bedroom? 
34,bedroom,,Where was the milk before the garden? 
35,hallway,,Where was the apple before the bathroom? 
36,hallway,,Where was the football before the kitchen? 
37,bathroom,,Where was the apple before the kitchen? 
38,garden,,Where was the apple before the bathroom? 
39,garden,,Where was the apple before the bathroom? 
40,garden,,Where was the football before the hallway? 
41,garden,,Where was the football before the hallway? 
42,garden,,Where was the milk before the hallway? 
43,hallway,,Where was the milk before the bathroom? 
44,bathroom,,Where was the football before the hallway? 
45,bedroom,,Where was the apple before the bathroom? 
46,bedroom,,Where was the apple before the bathroom? 
47,bedroom,,Where was the apple before the bathroom? 
48,bedroom,,Where was the apple before the bathroom? 
49,bedroom,,Where was the milk before the hallway? 
50,kitchen,,Where was the apple before the garden? 
51,garden,,Where was the apple before the bedroom? 
52,garden,,Where was the football before the kitchen? 
53,bathroom,,Where was the apple before the bedroom? 
54,bathroom,,Where was the apple before the bedroom? 
55,office,,Where was the football before the hallway? 
56,kitchen,,Where was the apple before the office? 
57,office,,Where was the football before the garden? 
58,office,,Where was the football before the bedroom? 
59,garden,,Where was the apple before the hallway? 
60,hallway,,Where was the football before the bedroom? 
61,bathroom,,Where was the football before the hallway? 
62,bedroom,,Where was the football before the kitchen? 
63,garden,,Where was the football before the bathroom? 
64,garden,,Where was the football before the bathroom? 
65,bathroom,,Where was the milk before the office? 
66,bathroom,,Where was the milk before the office? 
67,bathroom,,Where was the milk before the office? 
68,garden,Answer: Before the bedroom the football was in the garden.,Where was the football before the bedroom? 
69,kitchen,Answer: Before the bathroom the football was in the kitchen.,Where was the football before the bathroom? 
70,office,Answer: Before the hallway the football was in the garden.,Where was the football before the hallway? 
71,hallway,,Where was the apple before the garden? 
72,bathroom,,Where was the milk before the kitchen? 
73,kitchen,,Where was the apple before the bathroom? 
74,garden,,Where was the apple before the bathroom? 
75,garden,,Where was the milk before the hallway? 
76,hallway,,Where was the milk before the office? 
77,garden,,Where was the milk before the hallway? 
78,office,Answer: Before the bathroom the apple was in the office.,Where was the apple before the bathroom? 
79,office,,Where was the apple before the bathroom? 
80,kitchen,,Where was the milk before the office? 
81,kitchen,,Where was the milk before the office? 
82,kitchen,,Where was the milk before the office? 
83,bathroom,Answer: Before the hallway the apple was in the office.,Where was the apple before the hallway? 
84,bathroom,,Where was the milk before the bedroom? 
85,garden,,Where was the apple before the bathroom? 
86,bathroom,,Where was the milk before the kitchen? 
87,bathroom,,Where was the milk before the kitchen? 
88,garden,,Where was the milk before the bathroom? 
89,bathroom,,Where was the football before the bedroom? 
90,hallway,,Where was the milk before the kitchen? 
91,hallway,,Where was the milk before the kitchen? 
92,garden,,Where was the milk before the bedroom? 
93,bedroom,,Where was the football before the kitchen? 
94,kitchen,,Where was the apple before the bedroom? 
95,kitchen,,Where was the apple before the hallway? 
96,kitchen,,Where was the apple before the hallway? 
97,hallway,,Where was the apple before the kitchen? 
98,bedroom,,Where was the milk before the bathroom? 
99,bathroom,,Where was the milk before the bedroom? 
100,office,,Where was the milk before the bathroom? 
101,office,,Where was the milk before the bathroom? 
102,bedroom,Answer: Before the office the football was in the garden.,Where was the football before the office? 
103,bedroom,Answer: Before the office the football was in the garden.,Where was the football before the office? 
104,office,,Where was the milk before the bathroom? 
105,hallway,,Where was the football before the bathroom? 
106,garden,,Where was the football before the hallway? 
107,garden,,Where was the football before the hallway? 
108,hallway,,Where was the apple before the bathroom? 
109,hallway,,Where was the apple before the bathroom? 
110,garden,Answer: Before the hallway the apple was in the kitchen.,Where was the apple before the hallway? 
111,garden,,Where was the apple before the hallway? 
112,hallway,,Where was the football before the kitchen? 
113,hallway,,Where was the football before the kitchen? 
114,kitchen,,Where was the apple before the garden? 
115,hallway,,Where was the milk before the bathroom? 
116,hallway,,Where was the milk before the bathroom? 
117,hallway,,Where was the milk before the bathroom? 
118,bedroom,,Where was the football before the office? 
119,bedroom,Answer: Before the office the football was in the garden.,Where was the football before the office? 
120,garden,Answer: Before the kitchen the apple was in the garden.,Where was the apple before the kitchen? 
121,garden,,Where was the milk before the hallway? 
122,garden,,Where was the milk before the hallway? 
123,garden,,Where was the milk before the hallway? 
124,office,,Where was the apple before the garden? 
125,kitchen,,Where was the milk before the garden? 
126,kitchen,,Where was the milk before the garden? 
127,kitchen,,Where was the milk before the garden? 
128,office,,Where was the apple before the kitchen? 
129,office,,Where was the apple before the kitchen? 
130,garden,,Where was the milk before the kitchen? 
131,bathroom,,Where was the milk before the office? 
132,bathroom,Answer: Before the office the milk was in the kitchen.,Where was the milk before the office? 
133,bathroom,,Where was the milk before the office? 
134,bathroom,,Where was the apple before the hallway? 
135,garden,,Where was the football before the kitchen? 
136,garden,,Where was the football before the kitchen? 
137,garden,,Where was the football before the kitchen? 
138,bedroom,,Where was the football before the garden? 
139,bedroom,,Where was the football before the garden? 
140,kitchen,,Where was the milk before the bedroom? 
141,kitchen,,Where was the milk before the bedroom? 
142,kitchen,Answer: Before the bedroom the milk was in the kitchen.,Where was the milk before the bedroom? 
143,bathroom,,Where was the football before the hallway? 
144,bathroom,,Where was the football before the hallway? 
145,office,,Where was the football before the garden? 
146,garden,,Where was the football before the hallway? 
147,garden,,Where was the football before the hallway? 
148,garden,,Where was the football before the hallway? 
149,hallway,,Where was the milk before the kitchen? 
150,kitchen,,Where was the milk before the office? 
151,garden,,Where was the apple before the bathroom? 
152,garden,,Where was the apple before the bathroom? 
153,bathroom,,Where was the milk before the kitchen? 
154,bathroom,,Where was the milk before the kitchen? 
155,bathroom,,Where was the apple before the office? 
156,bathroom,,Where was the apple before the office? 
157,bedroom,,Where was the apple before the bathroom? 
158,bedroom,,Where was the apple before the bathroom? 
159,garden,,Where was the apple before the hallway? 
160,office,,Where was the football before the kitchen? 
161,office,,Where was the apple before the bedroom? 
162,office,Answer: Before the kitchen the football was in the garden.,Where was the football before the kitchen? 
163,garden,,Where was the milk before the office? 
164,bathroom,,Where was the milk before the bedroom? 
165,kitchen,,Where was the milk before the office? 
166,kitchen,Answer: Before the office the milk was in the kitchen.,Where was the milk before the office? 
167,kitchen,,Where was the milk before the office? 
168,kitchen,,Where was the milk before the garden? 
169,bedroom,Answer: Before the kitchen the milk was in the office.,Where was the milk before the kitchen? 
170,bathroom,Answer: Before the kitchen the football was in the garden.,Where was the football before the kitchen? 
171,bathroom,,Where was the football before the kitchen? 
172,bathroom,,Where was the football before the office? 
173,bathroom,,Where was the football before the office? 
174,bathroom,,Where was the milk before the office? 
175,office,,Where was the football before the bedroom? 
176,bedroom,,Where was the football before the garden? 
177,kitchen,,Where was the football before the garden? 
178,kitchen,,Where was the football before the garden? 
179,hallway,,Where was the football before the bedroom? 
180,garden,,Where was the milk before the bedroom? 
181,bathroom,,Where was the football before the office? 
182,bathroom,,Where was the football before the office? 
183,bathroom,,Where was the football before the office? 
184,garden,,Where was the apple before the bathroom? 
185,bathroom,,Where was the football before the hallway? 
186,bedroom,,Where was the milk before the bathroom? 
187,kitchen,,Where was the apple before the office? 
188,garden,Answer: Before the office the milk was in the kitchen.,Where was the milk before the office? 
189,garden,,Where was the milk before the office? 
190,kitchen,,Where was the football before the bathroom? 
191,hallway,,Where was the milk before the kitchen? 
192,bedroom,,Where was the football before the bathroom? 
193,hallway,,Where was the milk before the kitchen? 
194,hallway,,Where was the milk before the kitchen? 
195,hallway,,Where was the apple before the office? 
196,bathroom,,Where was the apple before the office? 
197,bedroom,,Where was the apple before the bathroom? 
