,target,output,question
0,bedroom,"Based on the context, the bathroom is east of the bedroom.",What is the bathroom east of?
1,bedroom,The question is asking for the location of something to the west of the kitchen. The,What is west of the kitchen?
2,bathroom,"Based on the context, the location north of the garden is the hallway. The passage",What is north of the garden?
3,bedroom,The kitchen is south of the bathroom.,What is south of the kitchen?
4,bedroom,The kitchen is east of the bedroom.,What is east of the kitchen?
5,garden,The bathroom is located west of the hallway.,What is the bathroom west of?
6,kitchen,"Based on the context, the bedroom is located in the east. The passage states,",What is east of the bedroom?
7,bathroom,The garden south of the bedroom is indicated in the context.,What is the garden south of?
8,kitchen,The kitchen is south of the office.,What is south of the office?
9,office,"The answer to the question is ""garden"".",What is east of the hallway?
10,garden,"The answer to the question ""What is north of the office?"" is the garden.",What is north of the office?
11,garden,The kitchen is south of the bedroom.,What is south of the kitchen?
12,bathroom,"The relevant information to answer the question is:

The hallway is south of the",What is east of the kitchen?
13,garden,The question is asking for the location that is west of the kitchen. The relevant sentence,What is west of the kitchen?
14,garden,The relevant information to answer the question is: The bedroom is north of the kitchen.,What is north of the bedroom?
15,garden,The relevant information to answer the question is: The garden is west of the bathroom.,What is east of the hallway?
16,hallway,The relevant information to answer the question is: The hallway is east of the office.,What is east of the office?
17,office,"Based on the context, the answer is the office.",What is south of the bathroom?
18,garden,The bedroom is north of the kitchen.,What is the bedroom north of?
19,garden,The kitchen is west of the bedroom.,What is the kitchen west of?
20,garden,The office is east of the hallway.,What is the office east of?
21,garden,"Based on the context, the bathroom is south of the kitchen.",What is the bathroom south of?
22,bathroom,"Based on the context, the bedroom is north of the kitchen.",What is north of the bedroom?
23,bathroom,The bedroom is south of the kitchen.,What is the bedroom south of?
24,hallway,The bedroom is west of the hallway.,What is the bedroom west of?
25,office,The relevant information to answer the question is: The kitchen is west of the bathroom.,What is east of the bathroom?
26,office,The relevant information to answer the question is: The bedroom is north of the kitchen.,What is north of the bedroom?
27,hallway,"Based on the context, the answer is the garden. The passage states: ""The",What is west of the bathroom?
28,garden,The bathroom is north of the bedroom.,What is the bathroom north of?
29,garden,The relevant information to answer the question is: The hallway is south of the kitchen.,What is north of the office?
30,bedroom,The kitchen is east of the bedroom.,What is east of the kitchen?
31,kitchen,The bathroom is east of the kitchen in the given context.,What is the bathroom east of?
32,bathroom,The relevant information to answer the question is: The bedroom is north of the kitchen.,What is north of the garden?
33,kitchen,The bedroom is west of the kitchen.,What is the bedroom west of?
34,bedroom,The kitchen is south of the bedroom.,What is the kitchen south of?
35,garden,"Based on the context, the bathroom is east of the garden.",What is the bathroom east of?
36,office,The hallway is south of the kitchen.,What is south of the hallway?
37,bedroom,"Based on the context, the bathroom is located in the hallway, which is south of",What is north of the bathroom?
