target,output,question
bathroom,bathroom,Where is Mary? 
kitchen,kitchen,Where is Sandra? 
kitchen,kitchen,Where is Mary? 
kitchen,kitchen,Where is John? 
bedroom,bedroom,Where is Sandra? 
office,office,Where is John? 
garden,garden,Where is Mary? 
bathroom,bathroom,Where is Sandra? 
kitchen,kitchen,Where is Mary? 
bedroom,bedroom,Where is John? 
office,office,Where is Daniel? 
office,office,Where is Daniel? 
bathroom,bathroom,Where is Mary? 
bathroom,bathroom,Where is Sandra? 
bathroom,bathroom,Where is Sandra? 
hallway,hallway,Where is Mary? 
kitchen,kitchen,Where is Sandra? 
office,office,Where is Daniel? 
kitchen,kitchen,Where is Sandra? 
bedroom,bedroom,Where is John? 
