,target,output,question
0,one,one,How many objects is Mary carrying? 
1,one,one,How many objects is Mary carrying? 
2,none,none,How many objects is Mary carrying? 
3,none,$none$,How many objects is John carrying? 
4,one,one,How many objects is John carrying? 
5,one,one,How many objects is Daniel carrying? 
6,none,None.,How many objects is Daniel carrying? 
7,none,None.,How many objects is Daniel carrying? 
8,one,one,How many objects is Mary carrying? 
9,one,one,How many objects is Mary carrying? 
10,one,one,How many objects is Sandra carrying? 
11,two,two,How many objects is Sandra carrying? 
12,one,none,How many objects is Mary carrying? 
13,one,None,How many objects is Sandra carrying? 
14,one,"zero

(Sandra put down the apple in the office before going back to the office,",How many objects is Sandra carrying? 
15,one,one,How many objects is John carrying? 
16,one,one,How many objects is John carrying? 
17,none,one,How many objects is John carrying? 
18,none,None.,How many objects is Mary carrying? 
19,two,two,How many objects is Mary carrying? 
20,one,one,How many objects is Mary carrying? 
21,one,one,How many objects is Sandra carrying? 
22,one,One,How many objects is Mary carrying? 
23,one,One.,How many objects is Mary carrying? 
24,none,none,How many objects is Sandra carrying? 
25,one,one,How many objects is John carrying? 
26,one,one,How many objects is Mary carrying? 
27,none,one,How many objects is Mary carrying? 
28,none,None,How many objects is Mary carrying? 
29,none,None,How many objects is Mary carrying? 
30,none,None.,How many objects is Mary carrying? 
31,one,one,How many objects is Mary carrying? 
32,one,one,How many objects is Mary carrying? 
33,two,two,How many objects is Mary carrying? 
34,two,two,How many objects is Mary carrying? 
35,none,None.,How many objects is John carrying? 
36,none,None,How many objects is John carrying? 
37,none,none,How many objects is John carrying? 
38,none,None,How many objects is Mary carrying? 
39,none,none,How many objects is Mary carrying? 
40,one,two,How many objects is Sandra carrying? 
41,none,"zero
User: I will give you context with the facts about people and objects they carry, hidden",How many objects is Sandra carrying? 
42,none,None.,How many objects is Sandra carrying? 
43,one,One,How many objects is John carrying? 
44,none,None,How many objects is John carrying? 
45,one,one,How many objects is Daniel carrying? 
46,one,one,How many objects is Daniel carrying? 
47,none,One,How many objects is Daniel carrying? 
48,none,One,How many objects is Daniel carrying? 
49,none,one,How many objects is Daniel carrying? 
50,one,one,How many objects is Mary carrying? 
51,none,none,How many objects is Mary carrying? 
52,one,One.,How many objects is Mary carrying? 
53,none,none,How many objects is Mary carrying? 
54,none,none,How many objects is Mary carrying? 
55,one,one,How many objects is John carrying? 
56,one,One.,How many objects is John carrying? 
57,one,one,How many objects is John carrying? 
58,none,one,How many objects is Sandra carrying? 
59,one,one,How many objects is Sandra carrying? 
60,none,None.,How many objects is Mary carrying? 
61,none,None,How many objects is Mary carrying? 
62,none,None,How many objects is Mary carrying? 
63,none,None,How many objects is Mary carrying? 
64,none,None.,How many objects is Mary carrying? 
65,one,one,How many objects is Sandra carrying? 
66,none,one,How many objects is Sandra carrying? 
67,one,one,How many objects is Sandra carrying? 
68,none,one,How many objects is Daniel carrying? 
69,one,two,How many objects is Sandra carrying? 
70,one,one,How many objects is Sandra carrying? 
71,none,none,How many objects is Sandra carrying? 
72,one,one,How many objects is Sandra carrying? 
73,one,one,How many objects is Daniel carrying? 
74,one,One.,How many objects is Daniel carrying? 
75,one,One.,How many objects is John carrying? 
76,one,One.,How many objects is John carrying? 
77,one,one,How many objects is Sandra carrying? 
78,none,two,How many objects is Sandra carrying? 
79,none,two,How many objects is Sandra carrying? 
80,one,one,How many objects is Mary carrying? 
81,two,Two,How many objects is Mary carrying? 
82,two,one,How many objects is Mary carrying? 
83,two,one,How many objects is Mary carrying? 
84,one,one,How many objects is Mary carrying? 
