,target,output,question
0,kitchen,"Answer: Where was the battle of the garden.

Answer: Where was the battle of the garden.",Where was the football before the garden? 
1,bathroom,"Mary journeyed to the kitchen.

The tombs of the Romans are of a very simple and",Where was the apple before the kitchen? 
2,kitchen,,Where was the apple before the garden? 
3,garden,,Where was the apple before the bedroom? 
4,kitchen,"""I'd be mad. ""I'd be mad. ""I'd be mad. ""I'd",Where was the football before the bathroom? 
5,office,"""I shall be a bear, and he was a bear. But I shall be a bear. But I shall",Where was the football before the hallway? 
6,garden,"Answer: In the hall.


XIV. _THE EARTH'S HOT CENT",Where was the apple before the bathroom? 
7,office,"Answer: In the kitchen. John went to the office. The following
experiments were made: (1) The",Where was the milk before the bathroom? 
8,hallway,"And the
women and children. She had been the
women and children. She had been the
women",Where was the apple before the bathroom? 
9,kitchen,"100.
    the garden.
    the garden.
    the garden.
    the garden.",Where was the milk before the garden? 
10,kitchen,"Answer: In the kitchen.

Question: What is the name of the boy?

Answer: Henry",Where was the milk before the bedroom? 
11,garden,"""I can't believe that she would have the

""I can't believe that she would have the courage",Where was the football before the hallway? 
12,hallway,"""I'll go back to the bedroom. ""I'll go back to the bedroom. ""I'",Where was the milk before the kitchen? 
13,bedroom,"""I'll get it."" ""I'll get it."" ""I'll get it."" ""I'll",Where was the apple before the bathroom? 
14,bedroom,Heard it. 'Heard it. 'Heard it. 'Heard it. 'Heard it. ',Where was the apple before the bathroom? 
15,kitchen,Thee had to be a Quaker. Thee had to be a Quaker. Thee had to be,Where was the milk before the office? 
16,bedroom,The reader will find the,Where was the milk before the kitchen? 
17,bathroom,"hearing, and hears, and hears to the army, and hears, and hears, and",Where was the football before the kitchen? 
18,garden,"the girl. ""I'd, and
the girl. ""She

the girl. ""I'",Where was the milk before the office? 
19,bathroom,"Answer: The football was in the kitchen.





        ""their own house.""",Where was the football before the bedroom? 
20,kitchen,"and Mrs. Godolphin, to the Duke of
and Mrs. Godolphin, to the Duke of",Where was the milk before the office? 
21,kitchen,"the disease, and the disease, and the sore. It it. The disease. The disease.

the joint",Where was the apple before the garden? 
22,bedroom,"'Ere you goin' to 'ave a drink?' 'Ain't
'either,' said O",Where was the milk before the office? 
23,hallway,"""I will ask you to explain these things.

""I will ask you to explain these things.

""",Where was the apple before the bedroom? 
24,bedroom,"""I'll take it."" ""I'll take it."" ""I'll take it."" ""I'll",Where was the apple before the kitchen? 
25,bathroom,"John.

    John.

    John.

    John.

    John.",Where was the apple before the hallway? 
26,bathroom,"The first Shire horse.

The first Shire horse.

The first Shire horse.",Where was the milk before the office? 
27,office,"The girl.

The girl.

The girl.

The girl.

The girl.",Where was the football before the bedroom? 
28,bedroom,"""

""

""

""

""

""

""

""",Where was the football before the hallway? 
29,kitchen,"""And so Henry, and hearken.

""Henry, and hearken. ""Henry,",Where was the apple before the bedroom? 
30,hallway,"The football was in the kitchen.

    The apple was in the bedroom.

    The",Where was the football before the bathroom? 
31,kitchen,"Answer: The milk was in the cow-house.

Question: What did Arne do when he first",Where was the milk before the garden? 
32,office,"the horse. I before the horse.
the horse.
the horse. I, and he, and he,",Where was the milk before the garden? 
33,bedroom,"10 the.
248 the the the.
120 the cyst. They. the",Where was the milk before the garden? 
34,hallway,"""I'll be back."" ""I'll be back."" ""I'll be back."" ""I'll",Where was the football before the bedroom? 
35,hallway,"""I'd be able to see her. And I'd be able to see her. And I'",Where was the apple before the bathroom? 
36,office,"the, and the abdiet. the abrupts of the same the the the the the pulmon, and",Where was the milk before the bathroom? 
37,garden,"Answer: The football was in the bedroom.

Question: What did Aleck do when he found the",Where was the football before the bedroom? 
38,office,,Where was the milk before the kitchen? 
39,garden,"* The bedroom. John.

     * The bedroom. John.

     * The",Where was the milk before the bedroom? 
40,hallway,"[Decoration]




[Decoration]




[Dec",Where was the football before the bathroom? 
41,kitchen,Mary journeyed to the kitchen. Daniel journeyed to the bedroom. Mary journeyed to the kitchen. Daniel journeyed,Where was the apple before the bedroom? 
42,garden,"Answer: In the kitchen.

Question: What did John do when he got to the bathroom?",Where was the apple before the office? 
43,bedroom,"/The/--_Of the Painter's Work._


/The/--_",Where was the apple before the garden? 
44,kitchen,,Where was the apple before the bedroom? 
45,garden,,Where was the apple before the bathroom? 
46,office,Question: Where was the hall. Question: Where was the garden. Question: Where was the hall. Question:,Where was the football before the bedroom? 
47,office,"""I think I should have to be a little boy. I think I should be a little girl. I think I should",Where was the football before the garden? 
48,bathroom,"""And there was the

John went to the bedroom. Smith, and the hall. Smith, and the garden",Where was the apple before the kitchen? 
49,bathroom,The Bey. The Bey. The Bey. The Bey. The Bey. The Bey. The Bey. The Bey,Where was the football before the office? 
50,bedroom,,Where was the football before the kitchen? 
51,bedroom,[Footnote 51: The _Almanach_ of the _Gazette_ of _Par,Where was the football before the kitchen? 
52,garden,"Question: It was. The Earl. The Earl. The Earl.

Question: The Earl. The Earl",Where was the milk before the bedroom? 
53,bathroom,"Answer: In the hallway.

Question: Where was the hallway.

Answer: In the",Where was the milk before the hallway? 
54,garden,"And what's the apple

""I've got a wife, and I've got a wife, and",Where was the apple before the office? 
55,garden,,Where was the football before the kitchen? 
56,office,"Mary journeyed to the kitchen.

The writer of this chapter has been a member of the Suffrage movement.",Where was the milk before the hallway? 
57,bathroom,"The milk was in the kitchen.

    Mary travelled to the office.

    John moved",Where was the milk before the office? 
58,bedroom,"the road. ""I'd him. He' the army. He, and the army, and the army.",Where was the football before the office? 
59,garden,|    1 1 1 1 1 1 1 1 1 1 1,Where was the milk before the office? 
60,garden,"[_Heard the door. Heard the footsteps of the

HANNAH. [_She'd be",Where was the milk before the office? 
61,garden,"""The General."" ""The General,"" said the Colonel, ""I'll be the General."" ""The General,"" said",Where was the milk before the hallway? 
62,hallway,"heard, and a room.

heard, and a room.
heard, and a room",Where was the football before the kitchen? 
63,bathroom,"He had a little time to
himself, and he was to be surprised by the sight of a stranger.",Where was the apple before the hallway? 
64,bathroom,"And I was a
child, and I was a child, and I was a child, and I was a child,",Where was the milk before the kitchen? 
65,bathroom,"Theirs.


Theirs.

Theirs.

Theirs.

The",Where was the milk before the kitchen? 
66,office,"Daniel journeyed to the office.

    [Sidenote: LONDON]

1st April,",Where was the milk before the garden? 
67,hallway,'I'll be the bedroom? 'I'll be the bedroom? 'I'll be,Where was the milk before the bedroom? 
68,kitchen,"Und

    The poem “Der Empfindsamkeit in the
  Und

    The poem “",Where was the milk before the bedroom? 
69,kitchen,"Answer: The milk was in the refrigerator.




THE BROWNIES'",Where was the milk before the office? 
70,garden,"Answer: Upon the kitchen table.


[Illustration: THE FIRST FIGHT AT CHICK",Where was the milk before the bathroom? 
71,bedroom,"Answer: On the table.

The milk.

The milk.

The milk.",Where was the milk before the kitchen? 
72,hallway,"the blood to the to the to the blood, and the blood, and the diath.
the blood to the blood",Where was the apple before the office? 
73,office,The amount of the kitchen. The amount of the kitchen. The amount of the kitchen. The amount of the kitchen. The,Where was the milk before the kitchen? 
74,bedroom,* The _Commercial Advertiser_ of the 1806 had a notice of the,Where was the milk before the garden? 
75,bedroom,Mary.,Where was the apple before the bathroom? 
76,bathroom,"""In the hallway, the very apartment in which Morton slept, and the

""In",Where was the apple before the hallway? 
77,bedroom,"to the

the death, and the army, and the army, and heed to the army, and the",Where was the milk before the kitchen? 
78,bathroom,"Answer: The hallway.

The church of San Clemente, as it now exists, is a very",Where was the apple before the hallway? 
79,kitchen,"Answer: The apple was on the floor.

Question: What did Reuben Tracy do when he first",Where was the apple before the bathroom? 
80,garden,"the army. 'Ten



the army. 'sickness. And he had been.",Where was the apple before the bedroom? 
81,office,"the girl. And so. And so."" ""And so."" ""And so, and he said Hitt. And",Where was the apple before the garden? 
82,kitchen,"""He is in the

""I have seen him, and he is in the garden. I have seen him,",Where was the apple before the garden? 
83,hallway,"in the stomatic. The.

the.
the stomatic.
the stomatic.",Where was the apple before the bedroom? 
84,garden,"""I reckon you're a fool. I reckon you're a fool. I reckon you",Where was the milk before the hallway? 
85,kitchen,"""I'll be by the bedroom. ""I'll be by the bedroom. ""I'",Where was the milk before the bedroom? 
86,bedroom,"The devil.

The devil.

The devil.

The devil.

The devil.",Where was the milk before the hallway? 
87,garden,"Answer: Mary had taken the football.

Question: What did Sandra do when she went to the office",Where was the football before the bathroom? 
88,garden,"Answer: Mary had taken the football and was on her way to the hallway.

   Question:",Where was the football before the hallway? 
89,bathroom,"the army.
the battle, and he who, and the army.
the
the death of the army.",Where was the football before the garden? 
90,office,"the bathroom. And he will be

the bathroom. And he will be
the bathroom.",Where was the apple before the bathroom? 
91,kitchen,"She'd go to the
her. And she's house. ""She's house. And she's",Where was the apple before the office? 
92,bathroom,Question: Question: Question: Question: Question: Question: Question: Question: Question: Question: Question: Question,Where was the football before the office? 
93,garden,I. I. I. I. I. I. I. I. I. I. I. I. I,Where was the milk before the kitchen? 
94,office,"""It was, if you could not see the doctor, and he was, and he
would not see",Where was the football before the hallway? 
95,bathroom,"""I'm not the girl at the kitchen. ""I think I'm not the girl at the kitchen. """,Where was the apple before the kitchen? 
96,office,I to be to be able to be to be to be to be to be to be able to be to be to be,Where was the apple before the kitchen? 
97,bedroom,"Answer: The apple was in the bedroom.

  [107] The Mahdi's",Where was the apple before the bathroom? 
98,garden,"Answer: The church.

Answer: The church.

Answer: The church.

Answer:",Where was the football before the hallway? 
