,target,output,question
0,bedroom,hallway,What is the bathroom east of?
1,kitchen,kitchen,What is south of the office?
2,garden,garden,What is north of the office?
3,garden,garden,What is the bedroom north of?
4,garden,kitchen,What is the bathroom south of?
5,office,office,What is north of the bedroom?
6,bathroom,bathroom,What is north of the garden?
7,bedroom,kitchen,What is west of the office?
8,kitchen,kitchen,What is the garden south of?
9,bathroom,office,What is the hallway north of?
10,bedroom,garden,What is south of the hallway?
11,office,office,What is east of the bedroom?
12,hallway,hallway,What is north of the garden?
13,bedroom,bedroom,What is the garden west of?
14,hallway,hallway,What is east of the bathroom?
15,bathroom,bathroom,What is the office west of?
16,bathroom,bathroom,What is west of the bedroom?
17,kitchen,kitchen,What is north of the hallway?
18,bathroom,bathroom,What is south of the kitchen?
19,office,office,What is south of the bedroom?
20,bedroom,bathroom,What is west of the hallway?
21,office,office,What is east of the bedroom?
22,bedroom,bedroom,What is the hallway south of?
23,kitchen,office,What is west of the bedroom?
24,bedroom,hallway,What is south of the bathroom?
25,hallway,hallway,What is west of the bathroom?
26,office,office,What is south of the hallway?
27,bedroom,bedroom,What is east of the office?
28,garden,garden,What is west of the bathroom?
29,kitchen,kitchen,What is the garden north of?
30,office,office,What is east of the garden?
31,bathroom,kitchen,What is south of the hallway?
32,garden,garden,What is east of the office?
33,bedroom,bedroom,What is south of the hallway?
34,garden,kitchen,What is the hallway east of?
35,kitchen,kitchen,What is south of the hallway?
36,bathroom,hallway,What is the kitchen west of?
37,kitchen,kitchen,What is the bathroom west of?
38,bathroom,bathroom,What is the garden south of?
39,bedroom,bedroom,What is the garden south of?
40,bedroom,kitchen,What is west of the bathroom?
41,garden,garden,What is west of the office?
42,bathroom,office,What is west of the hallway?
43,hallway,hallway,What is north of the kitchen?
44,bathroom,bathroom,What is the hallway north of?
45,office,office,What is the bedroom south of?
46,kitchen,garden,What is west of the office?
47,bedroom,hallway,What is south of the office?
48,office,office,What is the kitchen east of?
49,hallway,hallway,What is south of the bathroom?
50,hallway,kitchen,What is east of the bathroom?
51,bathroom,bathroom,What is the office south of?
52,office,office,What is the hallway east of?
53,kitchen,kitchen,What is the bedroom south of?
54,kitchen,kitchen,What is the hallway west of?
55,bathroom,bathroom,What is the bedroom east of?
56,bedroom,bedroom,What is the kitchen south of?
57,office,office,What is the kitchen west of?
58,kitchen,office,What is the hallway south of?
59,office,kitchen,What is the bedroom east of?
60,bathroom,bathroom,What is east of the kitchen?
61,kitchen,kitchen,What is the bathroom south of?
62,bedroom,bathroom,What is the kitchen north of?
63,kitchen,kitchen,What is the garden east of?
64,kitchen,kitchen,What is south of the hallway?
65,kitchen,office,What is the garden east of?
66,hallway,hallway,What is north of the garden?
67,garden,garden,What is the bedroom south of?
68,garden,bathroom,What is the hallway south of?
69,office,office,What is west of the kitchen?
70,bedroom,bedroom,What is east of the office?
71,hallway,hallway,What is south of the kitchen?
72,bedroom,bedroom,What is east of the garden?
73,bedroom,bedroom,What is west of the kitchen?
74,kitchen,kitchen,What is the office west of?
75,bathroom,kitchen,What is the bedroom west of?
76,office,office,What is the bathroom south of?
77,hallway,hallway,What is north of the garden?
78,bathroom,bathroom,What is west of the bedroom?
79,kitchen,kitchen,What is the bedroom north of?
80,bedroom,hallway,What is the kitchen east of?
81,garden,bedroom,What is the bathroom east of?
82,hallway,bathroom,What is the garden west of?
83,kitchen,kitchen,What is the office north of?
84,bedroom,bedroom,What is east of the bathroom?
85,kitchen,kitchen,What is the garden east of?
86,kitchen,garden,What is the hallway west of?
87,bathroom,bathroom,What is east of the garden?
88,hallway,hallway,What is the office north of?
89,bathroom,bathroom,What is east of the office?
90,bathroom,bathroom,What is north of the garden?
91,hallway,hallway,What is east of the bedroom?
92,kitchen,kitchen,What is south of the hallway?
93,hallway,hallway,What is north of the garden?
94,kitchen,kitchen,What is the bathroom west of?
95,bathroom,bathroom,What is the garden north of?
96,bathroom,garden,What is south of the bedroom?
97,bathroom,garden,What is west of the bedroom?
98,bedroom,kitchen,What is the hallway south of?
99,kitchen,garden,What is north of the bedroom?
