,target,output,question
0,one,none,How many objects is Mary carrying? 
1,none,none,How many objects is Mary carrying? 
2,one,one,How many objects is Sandra carrying? 
3,one,none,How many objects is Mary carrying? 
4,none,none,How many objects is Mary carrying? 
5,one,none,How many objects is Sandra carrying? 
6,none,none,How many objects is Sandra carrying? 
7,none,none,How many objects is Daniel carrying? 
8,one,one,How many objects is Mary carrying? 
9,none,none,How many objects is Mary carrying? 
10,one,one,How many objects is John carrying? 
11,none,none,How many objects is Mary carrying? 
12,none,none,How many objects is Mary carrying? 
13,one,none,How many objects is Daniel carrying? 
14,one,one,How many objects is John carrying? 
15,none,none,How many objects is Daniel carrying? 
16,none,none,How many objects is Mary carrying? 
17,one,one,How many objects is Daniel carrying? 
18,none,none,How many objects is John carrying? 
19,one,one,How many objects is Mary carrying? 
20,one,one,How many objects is Daniel carrying? 
21,one,one,How many objects is John carrying? 
22,one,one,How many objects is John carrying? 
23,two,one,How many objects is John carrying? 
24,one,one,How many objects is Sandra carrying? 
25,none,none,How many objects is Sandra carrying? 
26,one,none,How many objects is Mary carrying? 
27,one,none,How many objects is John carrying? 
28,none,none,How many objects is John carrying? 
29,none,none,How many objects is John carrying? 
30,none,none,How many objects is Mary carrying? 
31,one,one,How many objects is Sandra carrying? 
32,one,none,How many objects is Sandra carrying? 
33,one,one,How many objects is Daniel carrying? 
34,none,none,How many objects is Mary carrying? 
35,one,one,How many objects is Mary carrying? 
36,one,one,How many objects is Sandra carrying? 
37,none,none,How many objects is Mary carrying? 
38,one,one,How many objects is Sandra carrying? 
39,one,two,How many objects is Mary carrying? 
40,none,none,How many objects is Sandra carrying? 
41,none,none,How many objects is Mary carrying? 
42,one,one,How many objects is Sandra carrying? 
43,one,none,How many objects is Daniel carrying? 
44,one,none,How many objects is Sandra carrying? 
45,one,none,How many objects is Sandra carrying? 
46,none,one,How many objects is Sandra carrying? 
47,two,one,How many objects is John carrying? 
48,one,one,How many objects is Mary carrying? 
49,none,none,How many objects is Mary carrying? 
50,one,none,How many objects is Sandra carrying? 
51,none,none,How many objects is Sandra carrying? 
52,one,none,How many objects is Mary carrying? 
53,none,none,How many objects is Sandra carrying? 
54,one,one,How many objects is Daniel carrying? 
55,none,none,How many objects is Daniel carrying? 
56,one,one,How many objects is John carrying? 
57,one,none,How many objects is Daniel carrying? 
58,none,none,How many objects is John carrying? 
59,two,two,How many objects is Daniel carrying? 
60,one,two,How many objects is Daniel carrying? 
61,none,none,How many objects is Sandra carrying? 
62,one,one,How many objects is Daniel carrying? 
63,one,one,How many objects is John carrying? 
64,none,none,How many objects is Daniel carrying? 
65,none,none,How many objects is Sandra carrying? 
66,one,one,How many objects is John carrying? 
67,one,one,How many objects is Mary carrying? 
68,none,none,How many objects is John carrying? 
69,none,none,How many objects is Sandra carrying? 
70,none,none,How many objects is Sandra carrying? 
71,none,none,How many objects is Mary carrying? 
72,none,none,How many objects is Mary carrying? 
73,none,none,How many objects is Mary carrying? 
74,none,one,How many objects is John carrying? 
75,none,none,How many objects is John carrying? 
76,none,none,How many objects is Mary carrying? 
77,one,one,How many objects is John carrying? 
78,none,none,How many objects is Sandra carrying? 
79,one,one,How many objects is Daniel carrying? 
80,none,none,How many objects is Daniel carrying? 
81,one,none,How many objects is Mary carrying? 
82,one,none,How many objects is Daniel carrying? 
83,one,none,How many objects is Sandra carrying? 
84,none,none,How many objects is Daniel carrying? 
85,none,none,How many objects is Sandra carrying? 
86,none,none,How many objects is John carrying? 
87,none,none,How many objects is Mary carrying? 
88,none,none,How many objects is Daniel carrying? 
89,none,none,How many objects is Daniel carrying? 
90,none,none,How many objects is Daniel carrying? 
91,two,two,How many objects is Sandra carrying? 
92,one,one,How many objects is Mary carrying? 
93,one,one,How many objects is Sandra carrying? 
94,one,one,How many objects is John carrying? 
95,one,one,How many objects is John carrying? 
96,one,one,How many objects is John carrying? 
97,one,one,How many objects is Mary carrying? 
98,none,none,How many objects is Daniel carrying? 
99,one,one,How many objects is John carrying? 
