,target,output,question
0,hallway,Answer: The milk is in the kitchen.,Where is the milk? 
1,hallway,Answer: The football is in the hallway.,Where is the football? 
2,hallway,Answer: The football is in the hallway.,Where is the football? 
3,hallway,Answer: The football is in the hallway.,Where is the football? 
4,garden,Answer: The milk is in the hallway.,Where is the milk? 
5,garden,"Answer: The milk is mentioned several times throughout the text. For example, when the girls are discuss",Where is the milk? 
6,bedroom,Answer: The football is in the office. Daniel went to the office to get the football.,Where is the football? 
7,bedroom,Answer: The milk is in the kitchen.,Where is the milk? 
8,kitchen,Answer: The football is in the kitchen.,Where is the football? 
9,kitchen,Answer: The football is in the kitchen.,Where is the football? 
10,bedroom,Answer: The football is in the kitchen.,Where is the football? 
11,hallway,Answer: The football is in the hallway.,Where is the football? 
12,garden,Answer: The milk is in the kitchen.,Where is the milk? 
13,garden,Answer: The milk is in the kitchen.,Where is the milk? 
14,bathroom,Answer: The apple are in the kitchen.,Where is the apple? 
15,garden,Answer: The milk is in the fridge.,Where is the milk? 
16,garden,Answer: The milk is in the balcony.,Where is the milk? 
17,garden,Answer: The milk is in the fridge.,Where is the milk? 
18,kitchen,Answer: The apple are in the kitchen.,Where is the apple? 
19,kitchen,Answer: The apple are in the kitchen.,Where is the apple? 
20,bedroom,Answer: The apple are in the kitchen.,Where is the apple? 
21,bedroom,Answer: The apple are in the kitchen.,Where is the apple? 
22,bathroom,Answer: The football is in the hallway.,Where is the football? 
23,bathroom,Answer: The football is in the hallway.,Where is the football? 
24,bedroom,Answer: The milk is in the kitchen.,Where is the milk? 
25,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
26,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
27,bathroom,Answer: The apple are in the kitchen.,Where is the apple? 
28,bathroom,Answer: The apple are in the kitchen.,Where is the apple? 
29,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
30,garden,"Answer: The apple are in the garden. When Daniel travelled to the garden, he dropped the",Where is the apple? 
31,garden,Answer: The apple are in the bedroom.,Where is the apple? 
32,kitchen,Answer: The football is in the bedroom.,Where is the football? 
33,kitchen,Answer: The apple are in the kitchen.,Where is the apple? 
34,kitchen,Answer: The apple are in the kitchen.,Where is the apple? 
35,office,Answer: The milk is in the refrigerator.,Where is the milk? 
36,kitchen,Answer: The football is in the kitchen.,Where is the football? 
37,kitchen,Answer: The football is in the kitchen.,Where is the football? 
38,kitchen,"Answer: The football is in the office. After the children finish reading the story of ""Colonel",Where is the football? 
39,bedroom,Answer: The milk is in the kitchen.,Where is the milk? 
40,bedroom,"Answer: The milk is mentioned several times throughout the text. For example, John went back to the",Where is the milk? 
41,office,Answer: The milk is in the kitchen.,Where is the milk? 
42,office,Answer: The milk was left on the table by John.,Where is the milk? 
43,office,Answer: The milk is in the kitchen.,Where is the milk? 
44,kitchen,Answer: The apple were picked up by Daniel.,Where is the apple? 
45,bedroom,Answer: The milk is in the barn.,Where is the milk? 
46,office,"Answer: The football is in the possession of Sandra, the little girl whom Harry meets in the",Where is the football? 
47,bathroom,"Answer: The football is in the possession of Sandra, who is a young woman in Boston.",Where is the football? 
48,bathroom,Answer: The football is in the bathroom.,Where is the football? 
49,bedroom,Answer: The milk is in the bathroom.,Where is the milk? 
50,bathroom,Answer: The milk is in the fridge.,Where is the milk? 
51,hallway,Answer: The apple are in the kitchen.,Where is the apple? 
52,kitchen,Answer: The football is in the kitchen.,Where is the football? 
53,kitchen,Answer: The football is in the kitchen.,Where is the football? 
54,kitchen,Answer: The football is in the kitchen.,Where is the football? 
55,bathroom,Answer: The apple are in the urn.,Where is the apple? 
56,bathroom,Answer: The milk is in the bathroom.,Where is the milk? 
57,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
58,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
59,bedroom,Answer: The apple are in the kitchen.,Where is the apple? 
60,garden,Answer: The milk is in the kitchen.,Where is the milk? 
61,garden,Answer: The milk is in the garden.,Where is the milk? 
62,kitchen,Answer: The football is in the office.,Where is the football? 
63,kitchen,Answer: The football is in the kitchen.,Where is the football? 
64,kitchen,Answer: The football is in the kitchen.,Where is the football? 
65,kitchen,Answer: The football is in the kitchen. Daniel grabbed the football there.,Where is the football? 
66,kitchen,Answer: The football is in the kitchen. Daniel discarded the football.,Where is the football? 
67,bedroom,Answer: The milk is in the kitchen.,Where is the milk? 
68,bedroom,Answer: The milk is in the bedroom.,Where is the milk? 
69,bedroom,Answer: The football is in the kitchen.,Where is the football? 
70,garden,Answer: The boy got an apple from his parents.,Where is the apple? 
71,garden,Answer: The apple are in the kitchen.,Where is the apple? 
72,bathroom,Answer: The apple are in the kitchen.,Where is the apple? 
73,bathroom,Answer: The apple are in the bedroom.,Where is the apple? 
74,bathroom,Answer: The apple are in the kitchen.,Where is the apple? 
75,office,Answer: The apple are in the balcony.,Where is the apple? 
76,hallway,Answer: The milk is in the fridge.,Where is the milk? 
77,hallway,Answer: The milk is in the kitchen.,Where is the milk? 
78,hallway,Answer: The milk is in the kitchen.,Where is the milk? 
79,hallway,Answer: The milk is in the kitchen.,Where is the milk? 
80,bathroom,Answer: The football is in the kitchen.,Where is the football? 
81,bathroom,Answer: The football is in the bedroom.,Where is the football? 
82,kitchen,Answer: The football is in the kitchen.,Where is the football? 
83,kitchen,Answer: The football is in the bedroom.,Where is the football? 
84,kitchen,Answer: The football is in the kitchen.,Where is the football? 
85,bathroom,Answer: The milk is in the hotel room where Mr. Havens and the boys are staying,Where is the milk? 
86,kitchen,Answer: The apple are in the kitchen.,Where is the apple? 
87,bathroom,Answer: The milk is in the kitchen.,Where is the milk? 
88,bedroom,Answer: The football is in the hallway.,Where is the football? 
89,kitchen,Answer: The apple are in the kitchen.,Where is the apple? 
90,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
91,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
92,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
93,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
94,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
95,bathroom,Answer: The football is in the first location. When a person gets an item in the first location,Where is the football? 
96,bathroom,Answer: The football is in the hallway.,Where is the football? 
97,bathroom,Answer: The football is in the wardroom.,Where is the football? 
98,bathroom,Answer: The football is in the hallway.,Where is the football? 
99,hallway,Answer: The milk is in the kitchen.,Where is the milk? 
100,office,Answer: The milk is in the kitchen.,Where is the milk? 
101,office,Answer: The milk is discarded.,Where is the milk? 
102,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
103,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
104,bedroom,Answer: The football is in the bedroom.,Where is the football? 
105,bathroom,Answer: The football is in the kitchen.,Where is the football? 
106,bedroom,Answer: The milk is in the refrigerator.,Where is the milk? 
107,bathroom,Answer: The apple are in the kitchen.,Where is the apple? 
108,bedroom,Answer: The milk is in the kitchen.,Where is the milk? 
109,bathroom,Answer: The apple are in the bedroom.,Where is the apple? 
110,bedroom,Answer: The football is in John's room.,Where is the football? 
111,bedroom,Answer: The football is in the copse where the rabbit-tracks are thickest.,Where is the football? 
112,bedroom,Answer: The football is in the hallway.,Where is the football? 
113,bedroom,Answer: The football is in the hallway.,Where is the football? 
114,office,Answer: Sandra left the apple in the office.,Where is the apple? 
115,office,Answer: The football is in the possession of the King. After Ellen and Allan-Bane,Where is the football? 
116,hallway,"Answer: The football is in the possession of the maiden Ellen. According to the text, """,Where is the football? 
117,office,Answer: The milk is in the bathroom. Sandra travelled to the bathroom to get,Where is the milk? 
118,bedroom,Answer: The milk is in the bathroom.,Where is the milk? 
119,bathroom,Answer: The apple are in the bathroom.,Where is the apple? 
120,hallway,Answer: The apple are in the kitchen.,Where is the apple? 
121,bedroom,Answer: The milk is in the refrigerator.,Where is the milk? 
122,garden,Answer: The apple are in the basket that Mr. Brice brought with him. When Stephen arriv,Where is the apple? 
123,garden,"Answer: The football is in the hands of John, one of the young men who was talking about",Where is the football? 
124,garden,Answer: The football is in the hallway.,Where is the football? 
125,kitchen,"Answer: The football is in George's Fields, a square directly opposite the Philanthrop",Where is the football? 
126,kitchen,Answer: The football is in the kitchen.,Where is the football? 
127,kitchen,Answer: The football is in the kitchen.,Where is the football? 
128,bedroom,Answer: The football is in the bedroom.,Where is the football? 
129,bedroom,Answer: The football is in the kitchen.,Where is the football? 
130,kitchen,"Answer: The football is with Ben and Glenn. According to the passage, Ben and Glenn",Where is the football? 
131,kitchen,Answer: The football is in the kitchen.,Where is the football? 
132,kitchen,Answer: The milk is in the kitchen. Sandra picked up the football there.,Where is the milk? 
133,hallway,Answer: The football is in the hallway. Sandra picked up the football there.,Where is the football? 
134,hallway,Answer: The football is in Jack's pocket-book. When Ruby finds the facsimile,Where is the football? 
135,office,Answer: The football is in the hallway.,Where is the football? 
136,office,Answer: The milk is in the refrigerator.,Where is the milk? 
137,office,Answer: The football is in the sitting room. When Amy first arrives at the Clifford,Where is the football? 
138,kitchen,Answer: The football is in the hallway.,Where is the football? 
139,bathroom,Answer: The football is in the hallway.,Where is the football? 
140,bedroom,Answer: The football is in the balcony.,Where is the football? 
141,bedroom,Answer: The football is in the bedroom.,Where is the football? 
142,bedroom,Answer: The football is in the possession of Daniel. When Rudolph and Heywood arrive at the,Where is the football? 
143,bedroom,Answer: The football is in the possession of Sandra. After Tom's bicycle accident,Where is the football? 
144,garden,Answer: The football is in the bedroom.,Where is the football? 
145,kitchen,Answer: The apple are in the hostelry where the Rovers are staying. When they,Where is the apple? 
146,bathroom,Answer: The milk is in the kitchen.,Where is the milk? 
147,garden,Answer: The milk is in the kitchen.,Where is the milk? 
148,kitchen,Answer: The apple are in the kitchen.,Where is the apple? 
149,kitchen,"Answer: The apple are in the first location, the kitchen.",Where is the apple? 
150,bedroom,Answer: The apple are in the orchard.,Where is the apple? 
151,bedroom,Answer: The apple are in the kitchen.,Where is the apple? 
152,bedroom,Answer: The apple are in the kitchen.,Where is the apple? 
153,kitchen,Answer: The football is in the hallway.,Where is the football? 
154,kitchen,Answer: The football is in Mary's desk.,Where is the football? 
155,hallway,Answer: The football is in the hallway.,Where is the football? 
156,hallway,Answer: The football is in the hallway.,Where is the football? 
157,bedroom,Answer: The milk is in the kitchen.,Where is the milk? 
158,bedroom,Answer: The milk is in the kitchen.,Where is the milk? 
159,hallway,Answer: The football is in the hallway. Sandra grabbed the football there.,Where is the football? 
160,garden,Answer: The apple are in the bedroom.,Where is the apple? 
161,garden,Answer: The apple are in the garden.,Where is the apple? 
162,garden,Answer: The apple are in the hallway.,Where is the apple? 
163,garden,Answer: The apple are in the bedroom.,Where is the apple? 
164,bedroom,Answer: The football is in the kitchen.,Where is the football? 
165,garden,Answer: The football is in the hallway.,Where is the football? 
166,garden,"Answer: The football is in the possession of Daniel, the hunchback. According to the record",Where is the football? 
167,hallway,Answer: The apple are in the kitchen.,Where is the apple? 
168,hallway,Answer: The dwarf ate the whole apple himself. He divided it into three parts -,Where is the apple? 
169,office,Answer: The football is in the hallway.,Where is the football? 
170,bedroom,Answer: The apple are in the bedroom.,Where is the apple? 
171,bathroom,Answer: The apple are in the kitchen.,Where is the apple? 
172,hallway,Answer: The milk is in the hallway.,Where is the milk? 
173,hallway,Answer: The milk is in the kitchen.,Where is the milk? 
174,bathroom,Answer: The apple are in the hallway.,Where is the apple? 
175,kitchen,Answer: The milk is in the fridge.,Where is the milk? 
176,hallway,"Answer: The apple are in the third volume of the novel, ""Fast Asleep."" The",Where is the apple? 
177,kitchen,Answer: The apple are in the kitchen.,Where is the apple? 
178,office,Answer: The milk is in the kitchen.,Where is the milk? 
179,office,"Answer: The milk is in the kitchen. According to the text, ""As every convenience was provided",Where is the milk? 
180,garden,Answer: The milk is in the kitchen.,Where is the milk? 
181,garden,Answer: The milk is in the hermit's cave. The hermit mentions that Sandra,Where is the milk? 
182,garden,Answer: The milk is in the kitchen.,Where is the milk? 
183,kitchen,Answer: The apple are in the kitchen.,Where is the apple? 
184,kitchen,Answer: The apple are in the garden.,Where is the apple? 
185,office,Answer: The apple are in the kitchen.,Where is the apple? 
186,office,Answer: The apple are in the kitchen.,Where is the apple? 
187,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
188,office,Answer: The apple are in the kitchen.,Where is the apple? 
189,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
190,garden,"Answer: The apple are in the doctor's house. According to the story, the doctor and",Where is the apple? 
191,garden,Answer: The apple are in the pantry.,Where is the apple? 
192,garden,Answer: The apple are in the Tring Park Stud.,Where is the apple? 
193,bedroom,Answer: The milk is in the bedroom.,Where is the milk? 
194,bedroom,Answer: The milk is in the kitchen.,Where is the milk? 
195,bathroom,"Answer: The article mentions that ""John grabbed the apple there."" However, it does not",Where is the apple? 
196,bathroom,Answer: The apple are in the garden.,Where is the apple? 
197,garden,Answer: The milk is in the garden.,Where is the milk? 
198,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
199,kitchen,Answer: The milk is in the kitchen.,Where is the milk? 
200,office,Answer: The milk is in the fridge.,Where is the milk? 
201,office,Answer: The milk is in the fridge.,Where is the milk? 
202,hallway,Answer: The milk is in the kitchen.,Where is the milk? 
203,garden,Answer: The milk is in the garden. Sandra picked up the milk there.,Where is the milk? 
204,garden,Answer: The milk is in the garden. Sandra went back to the garden after buying H,Where is the milk? 
205,office,Answer: The milk is in the office.,Where is the milk? 
206,office,Answer: The milk is in the office.,Where is the milk? 
207,garden,Answer: The apple are in the garden.,Where is the apple? 
208,bathroom,Answer: The milk is in the kitchen.,Where is the milk? 
209,bathroom,Answer: The milk is in the office.,Where is the milk? 
210,kitchen,Answer: The football is in the bathroom.,Where is the football? 
211,kitchen,Answer: The football is in the kitchen.,Where is the football? 
212,kitchen,Answer: The football is in the kitchen.,Where is the football? 
213,kitchen,Answer: The milk is in the fridge.,Where is the milk? 
214,garden,Answer: The football is in the kitchen.,Where is the football? 
215,office,Answer: The apple are in the kitchen.,Where is the apple? 
216,office,Answer: The apple are in the kitchen.,Where is the apple? 
217,office,Answer: The apple are in the kitchen.,Where is the apple? 
218,bathroom,Answer: The milk is in the bathroom.,Where is the milk? 
219,bathroom,Answer: The milk is in the bathroom.,Where is the milk? 
220,office,Answer: The apple are in the kitchen.,Where is the apple? 
221,office,"Answer: The apple are in the Supervisor's office. The Supervisor's daughter,",Where is the apple? 
222,office,"Answer: The apple are in the first location, the kitchen. Charlie went to the kitchen and got",Where is the apple? 
223,bedroom,Answer: The milk is in the refrigerator.,Where is the milk? 
224,bedroom,Answer: The stomach is an organ that takes care of the food we eat. It is,Where is the apple? 
225,bedroom,Answer: The apple are in the kitchen.,Where is the apple? 
226,kitchen,Answer: The apple are in the kitchen.,Where is the apple? 
227,garden,Answer: The football is in the bathroom.,Where is the football? 
228,bathroom,Answer: The milk is in the kitchen.,Where is the milk? 
229,garden,Answer: The football is in the kitchen.,Where is the football? 
230,bathroom,Answer: The football is in the hallway.,Where is the football? 
231,bathroom,Answer: The football is in the hallway.,Where is the football? 
232,bathroom,Answer: The football is in the hallway. Sandra went to the hallway.,Where is the football? 
233,garden,Answer: The apple are in the kitchen.,Where is the apple? 
234,bathroom,Answer: The football is in the hallway.,Where is the football? 
235,bedroom,Answer: The apple are in the kitchen.,Where is the apple? 
236,bedroom,Answer: The apple are in the kitchen.,Where is the apple? 
237,kitchen,Answer: The football is in the bedroom.,Where is the football? 
238,office,Answer: The apple are in the bedroom.,Where is the apple? 
239,garden,Answer: The milk is in the kitchen.,Where is the milk? 
240,hallway,Answer: The apple are in the balcony.,Where is the apple? 
241,hallway,Answer: The apple are in the hallway.,Where is the apple? 
242,kitchen,Answer: The apple are in the kitchen.,Where is the apple? 
243,bathroom,Answer: The apple are in the kitchen.,Where is the apple? 
