,target,output,question
0,Jeff,Fred gave the football to Coningsby.,Who did Fred give the football to? 
1,Bill,"According to the passage, Mary gave the milk to ""the old woman who lives in the house",Who did Mary give the milk to? 
2,Jeff,"Fred gave the milk to the sick man, Colonel Catesby Jennison.",Who did Fred give the milk to? 
3,milk,"According to the story in the book ""The Adventures of Mary"" by Edith Nes",What did Mary give to Fred? 
4,Fred,"According to the passage, the milk was received by Virginia Carvel.",Who received the milk? 
5,apple,"Mary gave Jeff a Christmas present of a ""sad little book"" that she had written.",What did Mary give to Jeff? 
6,apple,Mary gave Jeff a letter.,What did Mary give to Jeff? 
7,apple,Fred gave Bill a drawing of a shaft.,What did Fred give to Bill? 
8,Jeff,"According to the story, the milk was given to Fred by his mother.",Who gave the milk to Fred? 
9,Fred,"According to the passage, it was Uncle Jimmie who gave the apple to Mary.",Who gave the apple to Mary? 
10,Jeff,The patient received the football.,Who received the football? 
11,Jeff,Mary gave the football to Fred.,Who did Mary give the football to? 
12,milk,Answer: Mary gave Bill a pound of tea.,What did Mary give to Bill? 
13,Bill,Mary gave the milk to her baby.,Who did Mary give the milk to? 
14,milk,Mary gave Bill a letter.,What did Mary give to Bill? 
15,apple,Fred gave Mary an apple.,What did Fred give to Mary? 
16,Mary,The football was received by the boy named Pennock.,Who received the football? 
17,apple,Fred gave Bill a letter.,What did Fred give to Bill? 
18,Jeff,"According to the story, Adam received the apple.",Who received the apple? 
19,Bill,"Mary gave the football to her friend, Catharine.",Who did Mary give the football to? 
20,Fred,"Jeff was given the milk by his mother.

Answer: His mother gave him the milk",Who gave the milk to Jeff? 
21,Mary,Answer: Carmen received the milk.,Who received the milk? 
22,Mary,Answer: Carmen gave the milk to the baby.,Who gave the milk? 
23,milk,"Bill gave Mary a ""bunch of keys"" in Chapter 1 of ""The Secret Garden",What did Bill give to Mary? 
24,milk,Answer: Jeff gave Bill a lemon.,What did Jeff give to Bill? 
25,football,Answer: Jeff gave Fred a bicycle.,What did Jeff give to Fred? 
26,Mary,"The football was given by the half-breed Cree, Eagle Feather.",Who gave the football? 
27,Mary,"The answer to the question is: Bill gave the apple to himself.

Explanation",Who gave the apple to Bill? 
28,Fred,"According to the story, the apple was received by Dan Kenyon. Dan Kenyon",Who received the apple? 
29,Mary,Bill's mother gave him the milk.,Who gave the milk to Bill? 
30,milk,"According to the passage, Mary gave Jeff a ""dose of medicine"" when he was in",What did Mary give to Jeff? 
31,Mary,The milk was given by a lady named Lizabeth. She was a kind and compass,Who gave the milk? 
32,Fred,"According to the passage, Mary received the apple from Croyden.

Answer: C",Who gave the apple to Mary? 
33,football,Bill gave Mary a ring.,What did Bill give to Mary? 
34,apple,Fred gave Mary a greenback dollar.,What did Fred give to Mary? 
35,apple,"According to the passage, Fred gave Bill a football.",What did Fred give to Bill? 
36,Jeff,"According to the passage, the milk was given by Mrs. ""Duff.""",Who gave the milk? 
37,Bill,"Mary gave the apple to her son, Colin.",Who did Mary give the apple to? 
38,Fred,"The football was given to Mary by her cousin, Cyril.",Who gave the football to Mary? 
39,milk,"Mary gave Fred a ""little present"" which was a ""little book"" containing """,What did Mary give to Fred? 
40,milk,Fred gave Mary a pink pearl necklace.,What did Fred give to Mary? 
41,Mary,The football was given to Jack Pandy by Sergeant Findlay.,Who gave the football? 
42,Fred,The apple was received by the person who was hiding in the temple. The boys had been searching,Who received the apple? 
43,Mary,The apple was given by the man who was standing on the shore. He gave it to the,Who gave the apple? 
44,Fred,"According to the passage, Bill received the apple from the Praying Mantis.",Who gave the apple to Bill? 
45,apple,Fred gave Bill a glass of water.,What did Fred give to Bill? 
46,Fred,"According to the passage, the apple was received by the ""Original"" (Sterne).",Who received the apple? 
47,Fred,"According to the passage, the milk was received by Harry West.",Who received the milk? 
48,Mary,The football was received by the player shown in the bottom left corner of the image.,Who received the football? 
49,apple,Answer: Bill gave Mary an apple.,What did Bill give to Mary? 
50,apple,Mary gave Fred a kiss.,What did Mary give to Fred? 
51,apple,Fred gave Bill a football.,What did Fred give to Bill? 
52,apple,Fred gave Bill an apple.,What did Fred give to Bill? 
53,milk,Answer: Jeff gave Fred a bunch of flowers.,What did Jeff give to Fred? 
54,Mary,"The milk was received by Jane, the Brownies' maidservant.",Who received the milk? 
55,Jeff,Answer: The football was given by a gentleman to the young man who was rescued from the,Who gave the football? 
56,Bill,"According to the passage, Mr. Smith gave the football to Fred.",Who gave the football to Fred? 
57,Mary,"The football was received by the girl, Carmen.",Who received the football? 
58,Mary,"According to the passage, Mary gave the football to Fred.",Who gave the football to Fred? 
59,Jeff,Bill gave the milk to the baby.,Who did Bill give the milk to? 
60,Fred,"The football was given to Jeff by his friend, Mr. H.I. McCoy",Who gave the football to Jeff? 
61,Jeff,Answer: The apple was given to Fred by Miss Hattie.,Who gave the apple to Fred? 
62,Bill,Answer: The milk was received by the baby.,Who received the milk? 
63,Jeff,"Bill gave the apple to Fred.

Answer: Bill gave the apple to Fred.",Who did Bill give the apple to? 
64,milk,"Mary gave Fred a gift of a ""little book"" containing a list of the names of",What did Mary give to Fred? 
65,Jeff,The apple was received by Catharine.,Who received the apple? 
66,Jeff,"According to the passage, it was Jeff who gave the apple to Bill.",Who gave the apple to Bill? 
67,apple,"Mary gave the baby Jesus to Joseph and Mary.

What was the first thing that Jesus did",What did Mary give to Fred? 
68,Bill,Fred gave the apple to Mary.,Who did Fred give the apple to? 
69,Jeff,"According to the passage, the apple was given by the ""Hermit, by it stood",Who gave the apple? 
70,Bill,"According to the passage, the milk was given to Fred by Miss Maggie.",Who gave the milk to Fred? 
71,Bill,Jeff gave the football to the Union officers.,Who did Jeff give the football to? 
72,Fred,Answer: The milk was given by Jessie.,Who gave the milk? 
73,apple,"Mary gave Bill a ""sweet apple"".",What did Mary give to Bill? 
74,Jeff,"Answer: The milk was received by the lady.

Explanation: In the illustration",Who received the milk? 
75,Bill,Fred gave the milk to Captain Brice.,Who did Fred give the milk to? 
76,Bill,"According to the story, the apple was given by the boy Jimmie to the prisoner.",Who gave the apple? 
77,Jeff,"According to the passage, the apple was given to the young woman by her mistress, Lady",Who gave the apple? 
78,Fred,"The football was received by the young man named Jack.

Answer: Jack received the football",Who received the football? 
79,football,Answer: Mary gave Fred a dress for his sister.,What did Mary give to Fred? 
80,Mary,Jeff gave the apple to the man who was on the opposite side of the river from him.,Who did Jeff give the apple to? 
81,football,Jeff gave Mary a ring.,What did Jeff give to Mary? 
82,Mary,The milk was received by Pauline.,Who received the milk? 
83,milk,"According to the passage, Mary gave Fred a ""small present"" which he mentions in his letter",What did Mary give to Fred? 
84,Mary,Answer: Mary gave the milk.,Who gave the milk? 
85,Bill,"According to the Gospel of Luke, Mary's mother, Elizabeth, gave her milk to",Who gave the milk to Mary? 
86,Mary,The football was received by the young Piegan braves.,Who received the football? 
87,Fred,"According to the story, the apple was given by the old woman, Bess Maclure",Who gave the apple? 
88,milk,Fred gave Bill a football.,What did Fred give to Bill? 
89,Fred,Bill gave the milk to the hunters.,Who did Bill give the milk to? 
90,Jeff,"Answer: The apple was given by Thomas Addis, a Quaker.

Question: What",Who gave the apple? 
91,Fred,Bill gave the apple to Jo.,Who did Bill give the apple to? 
92,Bill,"According to the passage, the football was given to Jeff by the captain of the ship.",Who gave the football to Jeff? 
93,Bill,Answer: Jeff gave the apple to Amy.,Who did Jeff give the apple to? 
94,milk,"Mary gave Bill a gift of a small, beautifully crafted wooden box.",What did Mary give to Bill? 
95,Mary,Bill gave the milk to the cat.,Who did Bill give the milk to? 
96,Mary,"According to the passage, Jeff's mother gave him milk.",Who gave the milk to Jeff? 
97,Fred,"According to the passage, the milk was given by Mrs. Siler.",Who gave the milk? 
98,Bill,Answer: The milk was received by the Minster girls.,Who received the milk? 
99,Fred,"The football was given by the old gentleman, Mr. Clifford, to the boys.",Who gave the football? 
